"","var","sd"
"1","Car1Black",0.0348088833109253
"2","FRI2",0.661906872282761
"3","ETA",0.923782601429137
"4","FRI1",0.962940828038962
"5","GNDVI",0.970949052108822
"6","MCARI",0.99143084763983
"7","ChlIndex",1.02685062866371
"8","NDRE",1.02987277009054
"9","PRI570",1.0533994008536
"10","mRESR",1.05602420161396
"11","GDVI",1.11666542784599
"12","ChlDela",1.15265075343201
"13","TCARI",1.17116545061644
"14","PRI586",1.18483746157723
"15","SIPI",1.20857282537202
"16","Car2Black",1.21878773002885
"17","ND900_680",1.23725498999824
"18","ND900_680",1.23725498999824
"19","VOG3",1.25981737780954
"20","TDVI",1.2913792861124
"21","MNLI",1.31030665521978
"22","VOG1",1.34586196299793
"23","SR750_710",1.3603577809986
"24","IPVI",1.37611069584059
"25","OSAVI",1.37767323118199
"26","RENDVI",1.52327336921816
"27","NDVI1",1.5259992035432
"28","MSR",1.54302191535809
"29","DVI",1.57660694619059
"30","SAVI",1.59717784244468
"31","NDVI705",1.61582357208518
"32","GRVI",1.64048502654687
"33","RDVI",1.69245806969896
"34","VOG2",1.69368322521407
"35","PRI512",1.70321679523376
"36","AntGamon",1.7111147888364
"37","MCARI1",1.74293111288115
"38","ARVI",2.03909516581625
"39","SR700_670",2.55130045776481
"40","SR900_680",3.13060126373181
"41","CarChap",3.77067863674306
"42","EVI",562.398651790931
"43","VARI",944.40821479101
"44","GARI",975.377169094841
"45","mRENDVI",1060.58842685815
"46","msR705",1663.34106126461
