"","wave","value"
"1",339.483,-24.78
"2",339.86,-21.24
"3",340.237,-17.53
"4",340.615,-14.17
"5",340.992,-11.99
"6",341.37,-9.48
"7",341.747,-5.36
"8",342.124,-1.17
"9",342.501,2.74
"10",342.878,5.65
"11",343.256,7.39
"12",343.633,7.66
"13",344.01,7.37
"14",344.387,6.14
"15",344.764,4.39
"16",345.141,2.62
"17",345.518,-0.33
"18",345.895,-2.71
"19",346.272,-5.62
"20",346.649,-8.61
"21",347.025,-9.84
"22",347.402,-12.66
"23",347.779,-15.2
"24",348.156,-17.91
"25",348.532,-20.25
"26",348.909,-22.3
"27",349.286,-24.19
"28",349.662,-25.65
"29",350.039,-27.7
"30",350.415,-27.02
"31",350.792,-27.85
"32",351.168,-30.41
"33",351.545,-31.04
"34",351.921,-31.53
"35",352.297,-31.7
"36",352.674,-32.05
"37",353.05,-32.92
"38",353.426,-33.38
"39",353.803,-33.86
"40",354.179,-33.8
"41",354.555,-35.55
"42",354.931,-35.67
"43",355.307,-35.4
"44",355.683,-34.73
"45",356.059,-34.45
"46",356.435,-34.29
"47",356.811,-34.26
"48",357.187,-33.4
"49",357.563,-33.25
"50",357.939,-32.9
"51",358.315,-32.49
"52",358.691,-32.57
"53",359.066,-31.74
"54",359.442,-31.79
"55",359.818,-32.14
"56",360.194,-32.17
"57",360.569,-31.96
"58",360.945,-31.76
"59",361.32,-32.19
"60",361.696,-31.92
"61",362.071,-31.56
"62",362.447,-31.7
"63",362.822,-31.96
"64",363.198,-32.7
"65",363.573,-32.68
"66",363.948,-32.77
"67",364.324,-33.12
"68",364.699,-33.38
"69",365.074,-32.17
"70",365.449,-31.86
"71",365.825,-31.49
"72",366.2,-31.65
"73",366.575,-31.65
"74",366.95,-31.79
"75",367.325,-32.03
"76",367.7,-31.85
"77",368.075,-31.99
"78",368.45,-31.63
"79",368.825,-31.78
"80",369.2,-32.63
"81",369.575,-32.82
"82",369.949,-32.93
"83",370.324,-32.54
"84",370.699,-32.57
"85",371.074,-32.35
"86",371.448,-32.16
"87",371.823,-31.96
"88",372.197,-31.82
"89",372.572,-32.03
"90",372.947,-31.84
"91",373.321,-32.35
"92",373.695,-32.61
"93",374.07,-33.02
"94",374.444,-31.4
"95",374.819,-31.09
"96",375.193,-31.05
"97",375.567,-31.07
"98",375.942,-31.63
"99",376.316,-31.88
"100",376.69,-32.05
"101",377.064,-31.23
"102",377.438,-31.31
"103",377.812,-30.64
"104",378.186,-30.63
"105",378.56,-32.79
"106",378.934,-32.69
"107",379.308,-32.51
"108",379.682,-31.61
"109",380.056,-31.14
"110",380.43,-30.7
"111",380.804,-30.38
"112",381.178,-31.34
"113",381.551,-31.31
"114",381.925,-31.62
"115",382.299,-31.73
"116",382.672,-31.47
"117",383.046,-31.83
"118",383.42,-31.98
"119",383.793,-32.39
