"","wave","value"
"1",339.483,3.99
"2",339.86,2.58
"3",340.237,1.34
"4",340.615,-0.67
"5",340.992,-1.39
"6",341.37,-1.38
"7",341.747,-2.04
"8",342.124,-3.31
"9",342.501,-4.89
"10",342.878,1.65
"11",343.256,1.53
"12",343.633,0.19
"13",344.01,-0.65
"14",344.387,-1.43
"15",344.764,-2.21
"16",345.141,-2.56
"17",345.518,-2.03
"18",345.895,-3.18
"19",346.272,-4.42
"20",346.649,-5.63
"21",347.025,-5.17
"22",347.402,-5.55
"23",347.779,-5.53
"24",348.156,-4.78
"25",348.532,-4.35
"26",348.909,-4.18
"27",349.286,-3.26
"28",349.662,-1.41
"29",350.039,-0.76
"30",350.415,0.25
"31",350.792,1.66
"32",351.168,1.41
"33",351.545,3.5
"34",351.921,1.83
"35",352.297,0.54
"36",352.674,0.21
"37",353.05,-1.3
"38",353.426,-2.74
"39",353.803,-5.04
"40",354.179,-5.71
"41",354.555,-5.38
"42",354.931,-5.83
"43",355.307,-7.08
"44",355.683,-8.22
"45",356.059,-9.15
"46",356.435,-10.03
"47",356.811,-10.6
"48",357.187,-11.1
"49",357.563,-8.87
"50",357.939,-8.61
"51",358.315,-7.87
"52",358.691,-13.81
"53",359.066,-14.16
"54",359.442,-14.94
"55",359.818,-14.64
"56",360.194,-14.5
"57",360.569,-15.43
"58",360.945,-15.36
"59",361.32,-15.64
"60",361.696,-13.99
"61",362.071,-18.62
"62",362.447,-18.39
"63",362.822,-16.71
"64",363.198,-16.56
"65",363.573,-16.86
"66",363.948,-17.14
"67",364.324,-16.47
"68",364.699,-17.81
"69",365.074,-17.62
"70",365.449,-17.03
"71",365.825,-16.9
"72",366.2,-18.4
"73",366.575,-19.03
"74",366.95,-13.86
"75",367.325,-14.49
"76",367.7,-15.34
"77",368.075,-16.34
"78",368.45,-16.47
"79",368.825,-17.5
"80",369.2,-17.67
"81",369.575,-15.33
"82",369.949,-15.92
"83",370.324,-15.1
"84",370.699,-17.89
"85",371.074,-18.09
"86",371.448,-17.48
"87",371.823,-17.24
"88",372.197,-15.28
"89",372.572,-15.13
"90",372.947,-14.34
"91",373.321,-14.61
"92",373.695,-15.99
"93",374.07,-16.3
"94",374.444,-15.28
"95",374.819,-15.61
"96",375.193,-15.31
"97",375.567,-15.85
"98",375.942,-15.88
"99",376.316,-14.4
"100",376.69,-17.53
"101",377.064,-18.52
"102",377.438,-19.78
"103",377.812,-19.8
"104",378.186,-19.27
"105",378.56,-17.53
"106",378.934,-17.69
"107",379.308,-18.17
"108",379.682,-17.82
"109",380.056,-18.18
"110",380.43,-5.19
"111",380.804,-5.26
"112",381.178,-5.8
"113",381.551,-7.24
"114",381.925,-9.05
"115",382.299,-8.89
"116",382.672,-8.41
"117",383.046,-8.23
"118",383.42,-9.07
"119",383.793,-9.16
"120",384.167,-9.4
"121",384.54,-9.92
"122",384.914,-9.34
"123",385.287,-8.26
"124",385.66,-8.12
"125",386.034,-13.99
"126",386.407,-13.95
"127",386.78,-13.65
"128",387.154,-13.32
"129",387.527,-13.18
"130",387.9,-12.72
"131",388.273,-12.12
"132",388.646,-14.78
"133",389.019,-14.31
"134",389.392,-14.76
"135",389.765,-14.08
"136",390.138,-13.27
"137",390.511,-13.02
"138",390.884,-12.49
"139",391.257,-14.96
"140",391.63,-14.32
"141",392.003,-14.47
"142",392.375,-14.66
"143",392.748,-9.72
"144",393.121,-8.66
"145",393.493,-9.65
"146",393.866,-8.99
"147",394.239,-9.71
"148",394.611,-8.78
"149",394.984,-5.5
"150",395.356,-6.82
"151",395.729,-6.89
"152",396.101,-6.53
"153",396.473,-6.78
"154",396.846,-6.43
"155",397.218,0.69
"156",397.59,1.22
"157",397.963,1.97
"158",398.335,3.07
"159",398.707,6.82
"160",399.079,7.1
"161",399.451,-5.3
"162",399.823,-1.99
"163",400.195,-1.35
"164",400.567,-0.63
"165",400.939,-0.49
"166",401.311,-0.09
"167",401.683,-0.51
"168",402.055,-1.06
"169",402.427,-1.73
"170",402.799,-0.74
"171",403.17,-0.11
"172",403.542,0.34
"173",403.914,-0.37
"174",404.285,-1.64
"175",404.657,-0.55
"176",405.029,-0.96
"177",405.4,-1.23
"178",405.772,-1.24
"179",406.143,-0.63
"180",406.514,0.05
"181",406.886,-0.41
"182",407.257,-0.61
"183",407.629,0.25
"184",408,-0.61
"185",408.371,-1.54
"186",408.742,-2.07
"187",409.114,-2.02
"188",409.485,-3.58
"189",409.856,-4.45
"190",410.227,-4.34
"191",410.598,-5.57
"192",410.969,-5.52
"193",411.34,-4.73
"194",411.711,-9.23
"195",412.082,-10.42
"196",412.453,-9.95
"197",412.824,-10.51
"198",413.194,-10.26
"199",413.565,-10.37
"200",413.936,-13.73
"201",414.307,-13.7
"202",414.677,-14.7
"203",415.048,-13.22
"204",415.418,-12.34
"205",415.789,-13.44
"206",416.159,-21.36
"207",416.53,-22.54
"208",416.9,-23.05
"209",417.271,-24.41
"210",417.641,-28.59
"211",418.012,-29.16
"212",418.382,-28.94
"213",418.752,-33.89
"214",419.122,-34.43
"215",419.493,-35.02
"216",419.863,-34.73
"217",420.233,-35.69
"218",420.603,-35.43
"219",420.973,-32.25
"220",421.343,-31.68
"221",421.713,-30.27
"222",422.083,-30.35
"223",422.453,-29.62
"224",422.823,-29.56
"225",423.193,-29.21
"226",423.562,-30.05
"227",423.932,-29.21
"228",424.302,-30.09
"229",424.672,-30.36
"230",425.041,-29.82
"231",425.411,-26.8
"232",425.78,-25.37
"233",426.15,-25.4
"234",426.52,-25.36
"235",426.889,-24.75
"236",427.258,-24.75
"237",427.628,-24.44
"238",427.997,-24.66
"239",428.367,-24.48
"240",428.736,-24.31
"241",429.105,-25.04
"242",429.474,-24.82
"243",429.844,-24.98
"244",430.213,-25.41
"245",430.582,-25.34
"246",430.951,-25.24
"247",431.32,-23.67
"248",431.689,-22.76
"249",432.058,-23.18
"250",432.427,-23.53
"251",432.796,-24
"252",433.165,-24.06
"253",433.534,-23.82
"254",433.902,-25.44
"255",434.271,-24.91
"256",434.64,-25.12
"257",435.009,-23.87
"258",435.377,-24.52
"259",435.746,-24.76
"260",436.114,-24.92
"261",436.483,-24.35
"262",436.852,-23.52
"263",437.22,-23.63
"264",437.588,-23.13
"265",437.957,-23.21
"266",438.325,-23.04
"267",438.694,-21.54
"268",439.062,-21.57
"269",439.43,-22.37
"270",439.798,-24.89
"271",440.166,-25.01
"272",440.535,-25.87
"273",440.903,-26.07
"274",441.271,-26.93
"275",441.639,-26.87
"276",442.007,-25.93
"277",442.375,-25.85
"278",442.743,-26.27
"279",443.111,-26.22
"280",443.479,-26.53
"281",443.846,-27.28
"282",444.214,-30.24
"283",444.582,-30.92
"284",444.95,-21.91
"285",445.317,-21.08
"286",445.685,-20.68
"287",446.052,-20.7
"288",446.42,-21.43
"289",446.788,-19.98
"290",447.155,-18.88
"291",447.523,-18.92
"292",447.89,-18.47
"293",448.257,-18.63
"294",448.625,-18.69
"295",448.992,-19.22
"296",449.359,-19.69
"297",449.726,-19.99
"298",450.094,-22.08
"299",450.461,-19.36
"300",450.828,-18.37
"301",451.195,-17.72
"302",451.562,-16.26
"303",451.929,-16.38
"304",452.296,-16.66
"305",452.663,-15.88
"306",453.03,-16.23
"307",453.397,-16.38
"308",453.764,-17.11
"309",454.13,-17.62
"310",454.497,-17.86
"311",454.864,-17.36
"312",455.231,-18
"313",455.597,-17.92
"314",455.964,-17.9
"315",456.33,-17.35
"316",456.697,-17.44
"317",457.063,-17.08
"318",457.43,-18.77
"319",457.796,-18.73
"320",458.163,-18.48
"321",458.529,-19.09
"322",458.895,-19.43
"323",459.262,-19.59
"324",459.628,-19.48
"325",459.994,-19.42
"326",460.36,-19.62
"327",460.726,-20.78
"328",461.092,-20.75
"329",461.458,-20.96
"330",461.824,-21
"331",462.19,-20.74
"332",462.556,-20.45
"333",462.922,-20.09
"334",463.288,-20.78
"335",463.654,-29.52
"336",464.02,-30.49
"337",464.385,-29.17
"338",464.751,-28.25
"339",465.117,-27.99
"340",465.482,-29.07
"341",465.848,-28.63
"342",466.214,-28.59
"343",466.579,-28.35
"344",466.945,-27.83
"345",467.31,-28.15
"346",467.675,-28.07
"347",468.041,-28.09
"348",468.406,-28.01
"349",468.772,-28.4
"350",469.137,-31.61
"351",469.502,-31.45
"352",469.867,-31.45
"353",470.232,-32.52
"354",470.597,-30.64
"355",470.963,-30.13
"356",471.328,-30.95
"357",471.693,-31.68
"358",472.058,-31.76
"359",472.422,-30.46
"360",472.787,-29.33
"361",473.152,-28.41
"362",473.517,-28.77
"363",473.882,-28.41
"364",474.246,-28.97
"365",474.611,-29.26
"366",474.976,-30.01
"367",475.34,-30.3
"368",475.705,-31
"369",476.07,-30.62
"370",476.434,-30.56
"371",476.799,-30.56
"372",477.163,-29.96
