"","wave","value"
"1",339.483,-8.42
"2",339.86,-9.01
"3",340.237,-9.74
"4",340.615,-10.42
"5",340.992,-11.07
"6",341.37,-11.64
"7",341.747,-12.34
"8",342.124,-12.91
"9",342.501,-13.49
"10",342.878,-14.17
"11",343.256,-14.6
"12",343.633,-15.01
"13",344.01,-15.43
"14",344.387,-15.86
"15",344.764,-16.4
"16",345.141,-16.74
"17",345.518,-17
"18",345.895,-17.35
"19",346.272,-17.4
"20",346.649,-17.54
"21",347.025,-17.81
"22",347.402,-18.05
"23",347.779,-18.12
"24",348.156,-18.46
"25",348.532,-18.74
"26",348.909,-18.97
"27",349.286,-19.31
"28",349.662,-19.33
"29",350.039,-19.63
"30",350.415,-19.81
"31",350.792,-20.1
"32",351.168,-20.05
"33",351.545,-20.06
"34",351.921,-19.99
"35",352.297,-19.97
"36",352.674,-20.21
"37",353.05,-20.54
"38",353.426,-21.06
"39",353.803,-21.84
"40",354.179,-22.6
"41",354.555,-23.23
"42",354.931,-24
"43",355.307,-24.86
"44",355.683,-25.3
"45",356.059,-25.85
"46",356.435,-26.39
"47",356.811,-26.93
"48",357.187,-27.47
"49",357.563,-28.05
"50",357.939,-28.45
"51",358.315,-28.86
"52",358.691,-29.27
"53",359.066,-29.69
"54",359.442,-30.08
"55",359.818,-30.33
"56",360.194,-30.61
"57",360.569,-31.19
"58",360.945,-31.19
"59",361.32,-31.32
"60",361.696,-31.29
"61",362.071,-31.35
"62",362.447,-31.41
"63",362.822,-31.5
"64",363.198,-31.47
"65",363.573,-31.53
"66",363.948,-31.54
"67",364.324,-31.48
"68",364.699,-31.44
"69",365.074,-31.06
"70",365.449,-30.95
"71",365.825,-30.84
"72",366.2,-30.9
"73",366.575,-30.81
"74",366.95,-30.93
"75",367.325,-30.83
"76",367.7,-30.56
"77",368.075,-30.61
"78",368.45,-30.44
"79",368.825,-30.44
"80",369.2,-30.59
"81",369.575,-30.59
"82",369.949,-30.57
"83",370.324,-30.48
"84",370.699,-30.61
"85",371.074,-30.46
"86",371.448,-30.42
"87",371.823,-30.38
"88",372.197,-30.21
"89",372.572,-30.41
"90",372.947,-30.29
"91",373.321,-30.39
"92",373.695,-30.26
"93",374.07,-30.22
