"","wave","value"
"1",339.483,-24.13
"2",339.86,-20.86
"3",340.237,-17.22
"4",340.615,-13.9
"5",340.992,-11.66
"6",341.37,-9.06
"7",341.747,-5.03
"8",342.124,-0.88
"9",342.501,2.85
"10",342.878,5.37
"11",343.256,7.14
"12",343.633,7.52
"13",344.01,7.33
"14",344.387,6.23
"15",344.764,4.44
"16",345.141,2.59
"17",345.518,-0.34
"18",345.895,-2.87
"19",346.272,-5.96
"20",346.649,-8.69
"21",347.025,-9.66
"22",347.402,-12.41
"23",347.779,-15.08
"24",348.156,-17.64
"25",348.532,-20.06
"26",348.909,-22.24
"27",349.286,-24.14
"28",349.662,-25.8
"29",350.039,-27.69
"30",350.415,-28.76
"31",350.792,-29.96
"32",351.168,-32.51
"33",351.545,-33.11
"34",351.921,-33.54
"35",352.297,-33.84
"36",352.674,-34.26
"37",353.05,-34.96
"38",353.426,-35.3
"39",353.803,-35.5
"40",354.179,-35.5
"41",354.555,-35.31
"42",354.931,-35.16
"43",355.307,-34.81
"44",355.683,-34.37
"45",356.059,-34.09
"46",356.435,-33.89
"47",356.811,-34
"48",357.187,-33.15
"49",357.563,-33.17
"50",357.939,-32.93
"51",358.315,-32.45
"52",358.691,-32.6
"53",359.066,-31.77
"54",359.442,-32
"55",359.818,-32.05
"56",360.194,-32.14
"57",360.569,-31.97
"58",360.945,-31.75
"59",361.32,-32.35
"60",361.696,-32
"61",362.071,-31.53
"62",362.447,-31.72
"63",362.822,-31.96
"64",363.198,-32.87
"65",363.573,-32.58
"66",363.948,-32.72
"67",364.324,-32.55
"68",364.699,-32.75
"69",365.074,-31.24
"70",365.449,-30.94
"71",365.825,-30.62
"72",366.2,-30.89
"73",366.575,-30.94
"74",366.95,-31.05
"75",367.325,-31.04
"76",367.7,-31.16
"77",368.075,-31.3
"78",368.45,-31.38
"79",368.825,-31.61
"80",369.2,-32.76
"81",369.575,-32.71
"82",369.949,-32.8
"83",370.324,-32.42
"84",370.699,-32.25
"85",371.074,-32.03
"86",371.448,-32.1
"87",371.823,-31.76
"88",372.197,-31.91
"89",372.572,-31.99
"90",372.947,-31.75
"91",373.321,-32.21
"92",373.695,-32.59
"93",374.07,-33.01
"94",374.444,-31.53
"95",374.819,-31.43
"96",375.193,-31.41
"97",375.567,-31.34
"98",375.942,-31.95
"99",376.316,-31.97
"100",376.69,-32.15
"101",377.064,-31.34
"102",377.438,-31.28
"103",377.812,-30.62
"104",378.186,-30.4
"105",378.56,-32.44
"106",378.934,-32.44
"107",379.308,-32.15
"108",379.682,-31.05
"109",380.056,-30.67
"110",380.43,-30.38
"111",380.804,-30.33
"112",381.178,-31.39
"113",381.551,-31.29
"114",381.925,-31.42
"115",382.299,-31.81
"116",382.672,-31.66
"117",383.046,-31.8
"118",383.42,-32.14
"119",383.793,-32.58
"120",384.167,-32.55
"121",384.54,-32.8
"122",384.914,-32.73
"123",385.287,-32.26
"124",385.66,-32.03
"125",386.034,-31.85
"126",386.407,-31.53
"127",386.78,-31.4
"128",387.154,-31.12
"129",387.527,-30.9
"130",387.9,-27.08
"131",388.273,-26.78
"132",388.646,-26.63
"133",389.019,-26.92
"134",389.392,-27.21
"135",389.765,-27.14
"136",390.138,-27.5
"137",390.511,-27.41
"138",390.884,-27.65
"139",391.257,-28.01
"140",391.63,-28.12
"141",392.003,-32.69
"142",392.375,-33.1
"143",392.748,-32.99
"144",393.121,-32.82
"145",393.493,-32.79
"146",393.866,-32.82
"147",394.239,-32.75
"148",394.611,-32.89
"149",394.984,-33.04
"150",395.356,-32.98
"151",395.729,-33.04
"152",396.101,-33.08
"153",396.473,-33.04
"154",396.846,-32.78
"155",397.218,-32.36
"156",397.59,-32.05
"157",397.963,-31.74
"158",398.335,-31.41
"159",398.707,-31.35
"160",399.079,-30.98
