"","wave","value"
"1",339.483,-26.96
"2",339.86,-23.55
"3",340.237,-19.67
"4",340.615,-16.24
"5",340.992,-13.83
"6",341.37,-10.88
"7",341.747,-6.56
"8",342.124,-1.9
"9",342.501,2.04
"10",342.878,5.21
"11",343.256,7.32
"12",343.633,8.19
"13",344.01,8.52
"14",344.387,7.73
"15",344.764,6.19
"16",345.141,4.82
"17",345.518,1.89
"18",345.895,-0.19
"19",346.272,-3.1
"20",346.649,-5.53
"21",347.025,-5.8
"22",347.402,-8.47
"23",347.779,-11.19
"24",348.156,-14.11
"25",348.532,-16.5
"26",348.909,-18.44
"27",349.286,-20.45
"28",349.662,-22.18
"29",350.039,-24.33
"30",350.415,-23.2
"31",350.792,-24.24
"32",351.168,-27.64
"33",351.545,-28.28
"34",351.921,-28.89
"35",352.297,-29.28
"36",352.674,-29.73
"37",353.05,-30.54
"38",353.426,-31.26
"39",353.803,-31.54
"40",354.179,-31.86
"41",354.555,-34.15
"42",354.931,-34.39
"43",355.307,-34.04
"44",355.683,-33.56
"45",356.059,-33.04
"46",356.435,-32.76
"47",356.811,-33.14
"48",357.187,-32.47
"49",357.563,-32.33
"50",357.939,-32.1
"51",358.315,-31.36
"52",358.691,-31.48
"53",359.066,-30.26
"54",359.442,-30.48
"55",359.818,-30.96
"56",360.194,-31.1
"57",360.569,-30.7
"58",360.945,-30.14
"59",361.32,-30.69
"60",361.696,-30.23
"61",362.071,-29.62
"62",362.447,-29.76
"63",362.822,-30.15
"64",363.198,-31.42
"65",363.573,-31.22
"66",363.948,-31.28
"67",364.324,-31.44
"68",364.699,-31.78
"69",365.074,-30.24
"70",365.449,-29.87
"71",365.825,-29.53
"72",366.2,-29.85
"73",366.575,-30
"74",366.95,-30.05
"75",367.325,-29.88
"76",367.7,-29.64
"77",368.075,-29.77
"78",368.45,-29.69
"79",368.825,-30.12
"80",369.2,-31.35
"81",369.575,-31.04
"82",369.949,-30.9
"83",370.324,-30.36
"84",370.699,-30.22
"85",371.074,-29.93
"86",371.448,-29.98
"87",371.823,-29.85
"88",372.197,-29.87
"89",372.572,-30.08
"90",372.947,-29.62
"91",373.321,-30.14
"92",373.695,-30.86
"93",374.07,-31.56
"94",374.444,-29.75
"95",374.819,-29.5
"96",375.193,-29.38
"97",375.567,-29.56
"98",375.942,-30.21
"99",376.316,-30.06
"100",376.69,-30.02
"101",377.064,-29.05
"102",377.438,-29.04
"103",377.812,-28.26
"104",378.186,-28.25
"105",378.56,-30.85
"106",378.934,-30.63
"107",379.308,-30.55
"108",379.682,-29.09
"109",380.056,-28.78
"110",380.43,-28.69
"111",380.804,-28.32
"112",381.178,-29.52
"113",381.551,-29.39
"114",381.925,-29.69
