Title,Stock Number,Price,AOI (°),Coating,Color,Cut-Off Wavelength (nm),Cut-On Wavelength (nm),CWL (nm),Dia. (mm),Substrate,Reflection (%),Reflection Wavelength (nm),Dimensions (mm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,Wavelength Tolerance (nm),Parallelism (arcmin),Dimensional Tolerance (mm),CA (%),CWL (µm),FWHM (µm),Coating Specification,Wavelength Range (nm),Surface Flatness
"12.5mm Diameter 45°, Red Dichroic Filter",47-263,$65,45.00 ,Traditional Coated ,Red ,,615.00 ,,12.50 ,N-BK7 ,Rabs = 50% @ 615nm Ravg > 98% @ 640-750nm ,640 - 750 ,,60-40 ,3.00 ,±0.20 ,90.00 ,400 - 595 ,Dichroic Filter ,±15 ,<1 ,±0.25 ,90.00 ,,,Surface 1: Multi-Layer Dichroic Surface 2: Single Layer MgF2 ,400 - 750 ,?/4 
"25mm Diameter 45°, Red Dichroic Filter",47-266,$75,45.00 ,Traditional Coated ,Red ,,615.00 ,,25.00 ,N-BK7 ,Rabs = 50% @ 615nm Ravg > 98% @ 640-750nm ,640 - 750 ,,60-40 ,4.00 ,±0.20 ,90.00 ,400 - 595 ,Dichroic Filter ,±15 ,<1 ,±0.25 ,90.00 ,,,Surface 1: Multi-Layer Dichroic Surface 2: Single Layer MgF2 ,400 - 750 ,?/4 
"35mm Square 45°, Red Dichroic Filter",49-471,$99,45.00 ,Traditional Coated ,Red ,,615.00 ,,,N-BK7 ,Rabs = 50% @ 615nm Ravg > 98% @ 640-750nm ,640 - 750 ,35.0 x 35.0 ,60-40 ,3.00 ,±0.20 ,90.00 ,400 - 595 ,Dichroic Filter ,±15 ,<1 ,±0.25 ,90.00 ,,,Surface 1: Multi-Layer Dichroic Surface 2: Single Layer MgF2 ,400 - 750 ,?/4 
"50mm Square 45°, Red Dichroic Filter",47-948,$125,45.00 ,Traditional Coated ,Red ,,615.00 ,,,N-BK7 ,Rabs = 50% @ 615nm Ravg > 98% @ 640-750nm ,640 - 750 ,50.0 x 50.0 ,60-40 ,4.00 ,±0.20 ,90.00 ,400 - 595 ,Dichroic Filter ,±15 ,<1 ,±0.25 ,90.00 ,,,Surface 1: Multi-Layer Dichroic Surface 2: Single Layer MgF2 ,400 - 750 ,?/4 
"12.5mm Diameter 45°, Green Dichroic Filter",47-265,$65,45.00 ,Traditional Coated ,Green ,,,535.00 ,12.50 ,N-BK7 ,Rabs = 99.7% @ 535nm Ravg >95% from 520-555nm ,520 - 550 ,,60-40 ,3.00 ,±0.20 ,90.00 ,600 - 800 ,Dichroic Filter ,±15 ,<1 ,±0.25 ,90.00 ,0.535 ,0.065 ,Surface 1: Multi-Layer Dichroic Surface 2: Single Layer MgF2 ,520 - 800 ,?/4 
"25mm Diameter 45°, Green Dichroic Filter",47-268,$75,45.00 ,Traditional Coated ,Green ,,,535.00 ,25.00 ,N-BK7 ,Rabs = 99.7% @ 535nm Ravg >95% from 520-555nm ,520 - 550 ,,60-40 ,4.00 ,±0.20 ,90.00 ,600 - 800 ,Dichroic Filter ,±15 ,<1 ,±0.25 ,90.00 ,0.535 ,0.065 ,Surface 1: Multi-Layer Dichroic Surface 2: Single Layer MgF2 ,520 - 800 ,?/4 
"35mm Square 45°, Green Dichroic Filter",49-473,$99,45.00 ,Traditional Coated ,Green ,,,535.00 ,,N-BK7 ,Rabs = 99.7% @ 535nm Ravg >95% from 520-555nm ,520 - 550 ,35.0 x 35.0 ,60-40 ,3.00 ,±0.20 ,90.00 ,600 - 800 ,Dichroic Filter ,±15 ,<1 ,±0.25 ,90.00 ,0.535 ,0.065 ,Surface 1: Multi-Layer Dichroic Surface 2: Single Layer MgF2 ,520 - 800 ,?/4 
"50mm Square 45°, Green Dichroic Filter",47-950,$125,45.00 ,Traditional Coated ,Green ,,,535.00 ,,N-BK7 ,Rabs = 99.7% @ 535nm Ravg >95% from 520-555nm ,520 - 550 ,50.0 x 50.0 ,60-40 ,4.00 ,±0.20 ,90.00 ,600 - 800 ,Dichroic Filter ,±15 ,<1 ,±0.25 ,90.00 ,0.535 ,0.065 ,Surface 1: Multi-Layer Dichroic Surface 2: Single Layer MgF2 ,520 - 800 ,?/4 
"12.5mm Diameter 45°, Blue Dichroic Filter",47-264,$65,45.00 ,Traditional Coated ,Blue ,510.00 ,,,12.50 ,N-BK7 ,Rabs = 50% @ 510nm Ravg > 98% @ 400 - 475nm ,400 - 475 ,,60-40 ,3.00 ,±0.20 ,90.00 ,530 - 800 ,Dichroic Filter ,±15 ,<1 ,±0.25 ,90.00 ,,,Surface 1: Multi-Layer Dichroic Surface 2: Single Layer MgF2 ,400 - 800 ,?/4 
"25mm Diameter 45°, Blue Dichroic Filter",47-267,$75,45.00 ,Traditional Coated ,Blue ,510.00 ,,,25.00 ,N-BK7 ,Rabs = 50% @ 510nm Ravg > 98% @ 400 - 475nm ,400 - 475 ,,60-40 ,4.00 ,±0.20 ,90.00 ,530 - 800 ,Dichroic Filter ,±15 ,<1 ,±0.25 ,90.00 ,,,Surface 1: Multi-Layer Dichroic Surface 2: Single Layer MgF2 ,400 - 800 ,?/4 
