Title,Stock Number,Price,Coating,Dia. (mm),Glass/Filter Number,Substrate,Optical Density OD,Index of Refraction nd,Dimensions (mm),Surface Quality,Transformation Temperature (°C),Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Tolerance (%),Type,Blocking Wavelength Range (nm),Dimensional Tolerance (mm),Parallelism (mm),Manufacturer
"0.1 OD 12.5mm Dia, Absorptive ND Filter",63-456,$26.5,Uncoated ,12.50 ,Hoya ND-70 ,ND Filter Glass ,0.1 ±0.03,1.50 ,,60-40 ,470 ,1.20 ,±0.5 ,79.00 ,±5 ,Neutral Density Filter ,400 - 700 ,±0.1 ,?2 ,EO 
"0.1 OD 25mm Dia, Absorptive ND Filter",63-460,$37.5,Uncoated ,25.00 ,Hoya ND-70 ,ND Filter Glass ,0.1 ±0.03,1.50 ,,60-40 ,470 ,1.20 ,±0.5 ,79.00 ,±5 ,Neutral Density Filter ,400 - 700 ,±0.1 ,?2 ,EO 
"0.1 OD 50mm Sq, Absorptive ND Filter",63-464,$79,Uncoated ,,Hoya ND-70 ,ND Filter Glass ,0.1 ±0.03,1.50 ,50.0 x 50.0 ,80-50 ,470 ,1.20 ,±0.5 ,79.00 ,±5 ,Neutral Density Filter ,400 - 700 ,±0.2 ,?2 ,EO 
"0.1 OD 50mm Dia, Absorptive ND Filter",65-808,$79,Uncoated ,50.00 ,Hoya ND-70 ,ND Filter Glass ,0.1 ±0.03,1.500 ,,60-40 ,470 ,1.20 ,±0.5 ,79.0 ,±5 ,Neutral Density Filter ,400 - 700 ,±0.1 ,?2 ,EO 
"0.15 OD 12.5mm Dia, Absorptive ND Filter",48-523,$26.5,Uncoated ,12.50 ,Hoya ND-70 ,ND Filter Glass ,0.15 ±0.04,1.50 ,,80-50 ,470 ,2.50 ,±0.5 ,70.00 ,±5 ,Neutral Density Filter ,400 - 700 ,±0.1 ,?2 ,EO 
"0.15 OD 25mm Dia, Absorptive ND Filter",46-211,$37.5,Uncoated ,25.00 ,Hoya ND-70 ,ND Filter Glass ,0.15 ±0.04,1.50 ,,80-50 ,470 ,2.50 ,±0.5 ,70.00 ,±5 ,Neutral Density Filter ,400 - 700 ,±0.1 ,?2 ,EO 
"0.15 OD 50mm Sq, Absorptive ND Filter",46-217,$79,Uncoated ,,Hoya ND-70 ,ND Filter Glass ,0.15 ±0.04,1.50 ,50.0 x 50.0 ,60-40 ,470 ,2.50 ,±0.5 ,70.00 ,±5 ,Neutral Density Filter ,400 - 700 ,±0.2 ,?2 ,EO 
"0.15 OD 50mm Dia, Absorptive ND Filter",65-809,$79,Uncoated ,50.00 ,Hoya ND-70 ,ND Filter Glass ,0.15 ±0.04,1.500 ,,80-50 ,470 ,2.50 ,±0.5 ,70.0 ,±5 ,Neutral Density Filter ,400 - 700 ,±0.1 ,?2 ,EO 
"0.2 OD 12.5mm Dia, Absorptive ND Filter",63-457,$26.5,Uncoated ,12.50 ,Hoya ND-50 ,ND Filter Glass ,0.2 ±0.05,1.50 ,,60-40 ,495 ,1.50 ,±0.5 ,63.00 ,±5 ,Neutral Density Filter ,400 - 700 ,±0.1 ,?2 ,EO 
"0.2 OD 25mm Dia, Absorptive ND Filter",63-461,$37.5,Uncoated ,25.00 ,Hoya ND-50 ,ND Filter Glass ,0.2 ±0.05,1.50 ,,60-40 ,495 ,1.50 ,±0.5 ,63.00 ,±5 ,Neutral Density Filter ,400 - 700 ,±0.1 ,?2 ,EO 
