Title,Stock Number,Price,AOI (°),Coating,Color,Cut-Off Wavelength (nm),Cut-On Wavelength (nm),Dia. (mm),Substrate,Operating Temperature (°C),Dimensions (mm),Surface Quality,Thickness (mm),Type,Dimensional Tolerance (mm),CA (%),Cut-On Wavelength Tolerance (?m),Coating Specification,Cut-Off Wavelength Tolerance (?m)
"12.5mm Diameter, Blue Dichroic Filter",52-530,$25,0 ,Additive Color ,Blue ,505 ,,12.50 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,,"Tavg >85% @ 390 - 485nm, Tavg <1.0% @ 525 - 750nm Tabs >80% @ 400 - 485nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"12.5mm Square, Blue Dichroic Filter",11-482,$25.6,0 ,Additive Color ,Blue ,505 ,,,BOROFLOAT® ,<100 ,12.5 x 12.5 ,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,,"Tavg >85% @ 390 - 485nm, Tavg <1.0% @ 525 - 750nm   Tabs >80% @ 400 - 485nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"25mm Diameter, Blue Dichroic Filter",52-531,$29.5,0 ,Additive Color ,Blue ,505 ,,25.00 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,,"Tavg >85% @ 390 - 485nm, Tavg <1.0% @ 525 - 750nm Tabs >80% @ 400 - 485nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"25mm Square, Blue Dichroic Filter",11-479,$29.95,0 ,Additive Color ,Blue ,505 ,,,BOROFLOAT® ,<100 ,25.0 x 25.0 ,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,,"Tavg >85% @ 390 - 485nm, Tavg <1.0% @ 525 - 750nm   Tabs >80% @ 400 - 485nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"50mm Diameter, Blue Dichroic Filter",52-532,$49.5,0 ,Additive Color ,Blue ,505 ,,50.00 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,,"Tavg >85% @ 390 - 485nm, Tavg <1.0% @ 525 - 750nm Tabs >80% @ 400 - 485nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"50mm Square, Blue Dichroic Filter",30-635,$49.5,0 ,Additive Color ,Blue ,505 ,,,BOROFLOAT® ,<100 ,50.0 x 50.0 ,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,,"Tavg >85% @ 390 - 485nm, Tavg <1.0% @ 525 - 750nm Tabs >80% @ 400 - 485nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"12.5mm Diameter, Cyan Dichroic Filter",52-536,$25,0 ,Subtractive Color ,Cyan ,590 ,,12.50 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,,Tavg >80% @ 400 - 550nm Tavg <1.0% @ 640 - 740nm ,0.015 
"25mm Diameter, Cyan Dichroic Filter",52-537,$29.5,0 ,Subtractive Color ,Cyan ,590 ,,25.00 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,,Tavg >80% @ 400 - 550nm Tavg <1.0% @ 640 - 740nm ,0.015 
"50mm Diameter, Cyan Dichroic Filter",52-538,$49.5,0 ,Subtractive Color ,Cyan ,590 ,,50.00 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,,Tavg >80% @ 400 - 550nm Tavg <1.0% @ 640 - 740nm ,0.015 
"50mm Square, Cyan Dichroic Filter",39-912,$49.5,0 ,Subtractive Color ,Cyan ,590 ,,,BOROFLOAT® ,<100 ,50.0 x 50.0 ,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,,Tavg >80% @ 400 - 550nm Tavg <1.0% @ 640 - 740nm ,0.015 
"12.5mm Diameter, Green Dichroic Filter",52-533,$25,0 ,Additive Color ,Green ,575 ,505 ,12.50 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,0.012 ,"Tavg <1.0% @ 400 - 480nm, Tavg >80% @ 525 - 555nm, Tavg <1.0% @ 590 - 720nm Tabs <1.0% @ 425 - 455nm, Tabs >70% @ 530 - 550nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"12.5mm Square, Green Dichroic Filter",11-483,$25.6,0 ,Additive Color ,Green ,575 ,505 ,,BOROFLOAT® ,<100 ,12.5 x 12.5 ,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,0.012 ,"Tavg <1.0% @ 400 - 480nm, Tavg >80% @ 525 - 555nm, Tavg <1.0% @ 590 - 720nm   Tabs <1.0% @ 425 - 455nm, Tabs >70% @ 530 - 550nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"25mm Diameter, Green Dichroic Filter",52-534,$29.5,0 ,Additive Color ,Green ,575 ,505 ,25.00 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,0.012 ,"Tavg <1.0% @ 400 - 480nm, Tavg >80% @ 525 - 555nm, Tavg <1.0% @ 590 - 720nm Tabs <1.0% @ 425 - 455nm, Tabs >70% @ 530 - 550nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"25mm Square, Green Dichroic Filter",11-480,$29.95,0 ,Additive Color ,Green ,575 ,505 ,,BOROFLOAT® ,<100 ,25.0 x 25.0 ,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,0.012 ,"Tavg <1.0% @ 400 - 480nm, Tavg >80% @ 525 - 555nm, Tavg <1.0% @ 590 - 720nm   Tabs <1.0% @ 425 - 455nm, Tabs >70% @ 530 - 550nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"50mm Diameter, Green Dichroic Filter",52-535,$49.5,0 ,Additive Color ,Green ,575 ,505 ,50.00 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,0.012 ,"Tavg <1.0% @ 400 - 480nm, Tavg >80% @ 525 - 555nm, Tavg <1.0% @ 590 - 720nm Tabs <1.0% @ 425 - 455nm, Tabs >70% @ 530 - 550nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"50mm Square, Green Dichroic Filter",46-139,$49.5,0 ,Additive Color ,Green ,575 ,505 ,,BOROFLOAT® ,<100 ,50.0 x 50.0 ,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,0.012 ,"Tavg <1.0% @ 400 - 480nm, Tavg >80% @ 525 - 555nm, Tavg <1.0% @ 590 - 720nm Tabs <1.0% @ 425 - 455nm, Tabs >70% @ 530 - 550nm, Tabs <1.0% @ 620 - 690nm ",0.012 
"12.5mm Diameter, Magenta Dichroic Filter",52-539,$25,0 ,Subtractive Color ,Magenta ,495 ,605 ,12.50 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,0.015 ,Tavg <1.0% @ 535 - 565nm Tavg >80% @ 640 - 740nm ,0.015 
"25mm Diameter, Magenta Dichroic Filter",52-540,$29.5,0 ,Subtractive Color ,Magenta ,495 ,605 ,25.00 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,0.015 ,Tavg <1.0% @ 535 - 565nm Tavg >80% @ 640 - 740nm ,0.015 
"50mm Diameter, Magenta Dichroic Filter",52-541,$49.5,0 ,Subtractive Color ,Magenta ,495 ,605 ,50.00 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,0.015 ,Tavg <1.0% @ 535 - 565nm Tavg >80% @ 640 - 740nm ,0.015 
"50mm Square, Magenta Dichroic Filter",39-913,$49.5,0 ,Subtractive Color ,Magenta ,495 ,605 ,,BOROFLOAT® ,<100 ,50.0 x 50.0 ,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,0.015 ,Tavg <1.0% @ 535 - 565nm Tavg >80% @ 640 - 740nm ,0.015 
"12.5mm Diameter, Red Dichroic Filter",52-527,$25,0 ,Additive Color ,Red ,,605 ,12.50 ,BOROFLOAT® ,<100 ,,80-50 ,2.00 Nominal,Dichroic Filter ,±0.25 ,?85 ,0.012 ,"Tavg <1.0% @ 390 - 570nm, Tavg >85% @ 620 - 750nm Tabs <2.0% @ 415 - 550nm, Tabs >80% @ 630 - 750nm ",
