Title,Stock Number,Price,Glass/Filter Number,Dia. (mm),Dimensions (mm),Dimensional Tolerance (mm),Thickness (mm),Thickness Tolerance (mm),Surface Quality,FWHM (nm),CWL (nm),Coating,Color,Density (g/cm3),Note,Substrate,Type,Wavelength
"BG-38 (VIS) 25.4mm Dia., VIS 0° Coated, Colored Glass Bandpass Filter",36-308,$50,Schott BG-38 ,25.40 ,,±0.38 ,3.00 ±0.2,,80-50 ,271 ,470 ,VIS 0° (425-675nm) ,Blue-Green ,2.62 ,Can also be used as a shortpass filter with a cut-off wavelength of 645nm ,Colored Glass ,Bandpass Filter ,VIS 
"B-370 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter",48-630,$28.5,Hoya B-370 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,100 ,370 ,Uncoated ,Blue-Violet ,2.36 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-370 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",48-634,$49,Hoya B-370 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,100 ,370 ,Uncoated ,Blue-Violet ,2.36 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-370 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",48-639,$92.5,Hoya B-370 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,100 ,370 ,Uncoated ,Blue-Violet ,2.36 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-390 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter ",48-631,$28.5,Hoya B-390 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,125 ,390 ,Uncoated ,Blue-Violet ,2.57 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-390 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",48-635,$49,Hoya B-390 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,125 ,390 ,Uncoated ,Blue-Violet ,2.57 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-390 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",48-640,$92.5,Hoya B-390 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,125 ,390 ,Uncoated ,Blue-Violet ,2.57 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-410 (UV-VIS) 12mm Dia,. Colored Glass Bandpass Filter",34-431,$35.5,Hoya B-410 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,232 ,410 ,Uncoated ,Blue ,2.27 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-410 (UV-VIS) 25mm Square, Colored Glass Bandpass Filter",34-432,$49,Hoya B-410 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,232 ,410 ,Uncoated ,Blue ,2.27 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-410 (UV-VIS) 25.4mm Dia,. Colored Glass Bandpass Filter",34-433,$49,Hoya B-410 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,232 ,410 ,Uncoated ,Blue ,2.27 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
B-410 (UV-VIS) 50.8mm Square Colored Glass Bandpass Filter,34-434,$92.5,Hoya B-410 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,232 ,410 ,Uncoated ,Blue ,2.27 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-440 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter",48-632,$28.5,Hoya B-440 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,85 ,440 ,Uncoated ,Blue-Green ,2.70 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-440 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",48-636,$49,Hoya B-440 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,85 ,440 ,Uncoated ,Blue-Green ,2.70 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-440 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",48-641,$92.5,Hoya B-440 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,85 ,440 ,Uncoated ,Blue-Green ,2.70 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-460 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter",34-443,$35.5,Hoya B-460 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,200 ,460 ,Uncoated ,Blue-Green ,2.60 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-460 (UV-VIS) 25mm Square, Colored Glass Bandpass Filter",34-444,$49,Hoya B-460 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,200 ,460 ,Uncoated ,Blue-Green ,2.60 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-460 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",34-445,$49,Hoya B-460 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,200 ,460 ,Uncoated ,Blue-Green ,2.60 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-460 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",34-446,$92.5,Hoya B-460 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,200 ,460 ,Uncoated ,Blue-Green ,2.60 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-3 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",48-633,$35.5,Schott BG-3 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,146 ,356 ,Uncoated ,Deep Blue ,2.56 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-3 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",48-638,$69.5,Schott BG-3 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,146 ,356 ,Uncoated ,Deep Blue ,2.56 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-18 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",46-051,$42.5,Schott BG-18 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,160 ,493 ,Uncoated ,Blue-Green ,2.68 ,Can also be used as a shortpass filter with a cut-off wavelength of 595nm ,Colored Glass ,Bandpass Filter ,VIS 
"BG-18 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",46-052,$85,Schott BG-18 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,160 ,493 ,Uncoated ,Blue-Green ,2.68 ,Can also be used as a shortpass filter with a cut-off wavelength of 595nm ,Colored Glass ,Bandpass Filter ,VIS 
"BG-25 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter ",84-901,$35.5,Schott BG-25 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,150 ,400 ,Uncoated ,Blue-Violet ,2.56 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-25 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter ",84-902,$69.5,Schott BG-25 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,150 ,400 ,Uncoated ,Blue-Violet ,2.56 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-38 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",46-433,$35.5,Schott BG-38 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,271 ,470 ,Uncoated ,Blue-Green ,2.62 ,Can also be used as a shortpass filter with a cut-off wavelength of 645nm ,Colored Glass ,Bandpass Filter ,VIS 
"BG-38 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",46-434,$69.5,Schott BG-38 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,271 ,470 ,Uncoated ,Blue-Green ,2.62 ,Can also be used as a shortpass filter with a cut-off wavelength of 645nm ,Colored Glass ,Bandpass Filter ,VIS 
"BG-39 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",48-637,$35.5,Schott BG-39 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,210 ,507 ,Uncoated ,Blue-Green ,2.74 ,,Colored Glass ,Bandpass Filter ,VIS 
"BG-39 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",48-642,$69.5,Schott BG-39 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,210 ,507 ,Uncoated ,Blue-Green ,2.74 ,,Colored Glass ,Bandpass Filter ,VIS 
"BG-42 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter ",84-905,$46.5,Schott BG-42 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,260 ,480 ,Uncoated ,Blue-Green ,2.69 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-42 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter ",84-906,$87,Schott BG-42 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,260 ,480 ,Uncoated ,Blue-Green ,2.69 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"G530 (VIS) 12mm Dia., Colored Glass Bandpass Filter",34-435,$35.5,Hoya G530 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,50 ,530 ,Uncoated ,Green ,3.12 ,,Colored Glass ,Bandpass Filter ,VIS 
"G530 (VIS) 25mm Square, Colored Glass Bandpass Filter",34-436,$49,Hoya G530 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,50 ,530 ,Uncoated ,Green ,3.12 ,,Colored Glass ,Bandpass Filter ,VIS 
"G530 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",34-437,$49,Hoya G530 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,50 ,530 ,Uncoated ,Green ,3.12 ,,Colored Glass ,Bandpass Filter ,VIS 
"G530 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",34-438,$92.5,Hoya G530 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,50 ,530 ,Uncoated ,Green ,3.12 ,,Colored Glass ,Bandpass Filter ,VIS 
