Title,Stock Number,Price,Dia. (mm),Cut-On Wavelength (nm),Reflection Wavelength (nm),Transmission Wavelength (nm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),CA (mm),Coating,Substrate,Reflected Laser Wavelength (nm),Reflection (%),Surface Quality,Transmission (%),Transmitted Laser Wavelength (nm),Type,Construction,Durability,"Transmitted Wavefront, RMS",Mount Thickness (mm)
"427nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",86-382,$145,12.50 +0.0/-0.1,427 ,372 - 415 ,439 - 647.1 ,±0.1 ,372 - 647 ,45 ,8.8 ,Hard Coated ,Fused Silica ,"375, 405 ",>98 ,60-40 ,>95 ,"440, 457.9, 473, 488, 514.5, 532, 543.5, 561.4, 568.2, 594.1, 632.8, 635, 647.1 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"466nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",86-383,$145,12.50 +0.0/-0.1,466 ,439 - 457.9 ,473 - 647.1 ,±0.1 ,439 - 647 ,45 ,8.8 ,Hard Coated ,Fused Silica ,"440, 457.9 ",>98 ,60-40 ,>95 ,"473, 488, 514.5, 532, 543.5, 561.4, 568.2, 594.1, 632.8, 635, 647.1 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"480nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",86-384,$145,12.50 +0.0/-0.1,480 ,457.9 - 473 ,488 - 647.1 ,±0.1 ,458 - 647 ,45 ,8.8 ,Hard Coated ,Fused Silica ,"457.9, 473 ",>98 ,60-40 ,>95 ,"488, 514.5, 532, 543.5, 561.4, 568.2, 594.1, 632.8, 635, 647.1 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"503nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",86-385,$145,12.50 +0.0/-0.1,503 ,473 - 491 ,515.5 - 647.1 ,±0.1 ,473 - 647 ,45 ,8.8 ,Hard Coated ,Fused Silica ,"473, 488 ",>98 ,60-40 ,>95 ,"514.5, 532, 543.5, 561.4, 568.2, 594.1, 632.8, 635, 647.1 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"552nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",86-386,$145,12.50 +0.0/-0.1,552 ,514.5 - 543.5 ,561.4 - 790 ,±0.1 ,515 - 790 ,45 ,8.8 ,Hard Coated ,Fused Silica ,"514.5, 532, 543.5 ",>98 ,60-40 ,>95 ,"561.4, 568.2, 594.1, 632.8, 635, 647.1, 671, 676.4, 785 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"613nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",86-387,$145,12.50 +0.0/-0.1,613 ,561.4 - 564.1 ,632.8 - 790 ,±0.1 ,561 - 790 ,45 ,8.8 ,Hard Coated ,Fused Silica ,"561.4, 568.2, 594.1 ",>98 ,60-40 ,>95 ,"632.8, 635, 647.1, 671, 676.4, 785 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"659nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",86-388,$145,12.50 +0.0/-0.1,659 ,632.8 - 647.1 ,671 - 790 ,±0.1 ,633 - 790 ,45 ,8.8 ,Hard Coated ,Fused Silica ,"632.8, 635, 647.1 ",>98 ,60-40 ,>95 ,"671, 676.4, 785 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"427nm, 25mm Diameter, Dichroic Laser Beam Combiner",86-389,$195,25.00 +0.0/-0.1,427 ,372 - 415 ,439 - 647.1 ,±0.1 ,372 - 647 ,45 ,21.3 ,Hard Coated ,Fused Silica ,"375, 405 ",>98 ,60-40 ,>95 ,"440, 457.9, 473, 488, 514.5, 532, 543.5, 561.4, 568.2, 594.1, 632.8, 635, 647.1 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"466nm, 25mm Diameter, Dichroic Laser Beam Combiner",86-390,$195,25.00 +0.0/-0.1,466 ,439 - 457.9 ,473 - 647.1 ,±0.1 ,439 - 647 ,45 ,21.3 ,Hard Coated ,Fused Silica ,"440, 457.9 ",>98 ,60-40 ,>95 ,"473, 488, 514.5, 532, 543.5, 561.4, 568.2, 594.1, 632.8, 635, 647.1 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"480nm, 25mm Diameter, Dichroic Laser Beam Combiner",86-391,$195,25.00 +0.0/-0.1,480 ,457.9 - 473 ,488 - 647.1 ,±0.1 ,458 - 647 ,45 ,21.3 ,Hard Coated ,Fused Silica ,"457.9, 473 ",>98 ,60-40 ,>95 ,"488, 514.5, 532, 543.5, 561.4, 568.2, 594.1, 632.8, 635, 647.1 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
