Title,Stock Number,Price,Dia. (mm),Dimensions (mm),Dimensional Tolerance (mm),Cut-On Wavelength (nm),Reflection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),Wavelength Range (?m),AOI (°),Coating,Substrate,Reflection (%),Surface Quality,Transmission (%),Type,Transmitted Wavefront Tolerance,Cut-On Tolerance (%),Slope Factor (%)
"400nm, 12.5mm Diameter, Dichroic Longpass Filter",69-864,$99,12.50 ,,+0.0/-0.1 ,400 ,350 - 375 ,420 - 1600 ,1.05 ,±0.05 ,350 - 1600 ,0.35 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"450nm, 12.5mm Diameter, Dichroic Longpass Filter",69-865,$99,12.50 ,,+0.0/-0.1 ,450 ,350 - 430 ,470 - 1600 ,1.05 ,±0.05 ,350 - 1600 ,0.35 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"500nm, 12.5mm Diameter, Dichroic Longpass Filter",69-866,$99,12.50 ,,+0.0/-0.1 ,500 ,350 - 480 ,520 - 1600 ,1.05 ,±0.05 ,350 - 1600 ,0.35 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"550nm, 12.5mm Diameter, Dichroic Longpass Filter",69-867,$99,12.50 ,,+0.0/-0.1 ,550 ,415 - 515 ,575 - 1600 ,1.05 ,±0.05 ,415 - 1600 ,0.415 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"600nm, 12.5mm Diameter, Dichroic Longpass Filter",69-868,$99,12.50 ,,+0.0/-0.1 ,600 ,460 - 570 ,625 - 1600 ,1.05 ,±0.05 ,460 - 1600 ,0.46 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"650nm, 12.5mm Diameter, Dichroic Longpass Filter",69-869,$99,12.50 ,,+0.0/-0.1 ,650 ,495 - 610 ,675 - 1600 ,1.05 ,±0.05 ,495 - 1600 ,0.495 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"700nm, 12.5mm Diameter, Dichroic Longpass Filter",69-870,$99,12.50 ,,+0.0/-0.1 ,700 ,535 - 660 ,725 - 1600 ,1.05 ,±0.05 ,535 - 1600 ,0.535 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"750nm, 12.5mm Diameter, Dichroic Longpass Filter",69-871,$99,12.50 ,,+0.0/-0.1 ,750 ,565 - 715 ,780 - 1600 ,1.05 ,±0.05 ,565 - 1600 ,0.565 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"800nm, 12.5mm Diameter, Dichroic Longpass Filter",69-872,$99,12.50 ,,+0.0/-0.1 ,800 ,600 - 760 ,830 - 1600 ,1.05 ,±0.05 ,600 - 1600 ,0.6 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"850nm, 12.5mm Diameter, Dichroic Longpass Filter",69-873,$99,12.50 ,,+0.0/-0.1 ,850 ,635 - 805 ,880 - 1600 ,1.05 ,±0.05 ,635 - 1600 ,0.635 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
