"","name","price","nm.FWHM","nm.CWL"
"123","694nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",25,10,694
"124","730nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",25,10,730
"125","766nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",25,10,766
"126","950nm CWL, 50nm FWHM, 11.8mm Unmounted Diameter ",29.95,50,950
"127","650nm CWL, 80nm FWHM, 11.8mm Unmounted Diameter ",29.95,80,650
"128","700nm CWL, 80nm FWHM, 11.8mm Unmounted Diameter ",29.95,80,700
"129","694nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",25,10,694
"130","730nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",25,10,730
"131","766nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",25,10,766
"132","337nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",25,10,337
"133","394nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",25,10,394
"134","394nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",25,10,394
"135","410nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",25,10,410
"136","430nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",25,10,430
"137","436nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",25,10,436
"138","436nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",25,10,436
"139","450nm CWL, 80nm FWHM, 12.7mm Mounted Diameter ",29.95,80,450
"140","450nm CWL, 10nm FWHM, 24.15mm Unmounted Diameter",35,10,450
"141","492nm CWL, 10nm FWHM, 24.15mm Unmounted Diameter",35,10,492
"142","BG-38 (VIS) 25.4mm Dia., VIS 0° Coated, Colored Glass Bandpass Filter",50,271,470
"143","B-370 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter",28.5,100,370
"144","B-370 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",49,100,370
"145","B-370 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",92.5,100,370
"146","B-390 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter ",28.5,125,390
"147","B-390 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",49,125,390
"148","B-390 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",92.5,125,390
"149","B-410 (UV-VIS) 12mm Dia,. Colored Glass Bandpass Filter",35.5,232,410
"150","B-410 (UV-VIS) 25mm Square, Colored Glass Bandpass Filter",49,232,410
"151","B-410 (UV-VIS) 25.4mm Dia,. Colored Glass Bandpass Filter",49,232,410
"152","B-410 (UV-VIS) 50.8mm Square Colored Glass Bandpass Filter",92.5,232,410
"153","B-440 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter",28.5,85,440
"154","B-440 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",49,85,440
"155","B-440 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",92.5,85,440
"156","B-460 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter",35.5,200,460
"157","B-460 (UV-VIS) 25mm Square, Colored Glass Bandpass Filter",49,200,460
"158","B-460 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",49,200,460
"159","B-460 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",92.5,200,460
"160","BG-3 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",35.5,146,356
"161","BG-3 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",69.5,146,356
"162","BG-18 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",42.5,160,493
"163","BG-18 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",85,160,493
"164","BG-25 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter ",35.5,150,400
"165","BG-25 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter ",69.5,150,400
"166","BG-38 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",35.5,271,470
"167","BG-38 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",69.5,271,470
"168","BG-39 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",35.5,210,507
"169","BG-39 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",69.5,210,507
"170","BG-42 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter ",46.5,260,480
"171","BG-42 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter ",87,260,480
"172","G530 (VIS) 12mm Dia., Colored Glass Bandpass Filter",35.5,50,530
"173","G530 (VIS) 25mm Square, Colored Glass Bandpass Filter",49,50,530
"174","G530 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",49,50,530
"175","G530 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",92.5,50,530
"176","G533 (VIS) 12mm Dia., Colored Glass Bandpass Filter",35.5,95,533
"177","G533 (VIS) 25mm Square, Colored Glass Bandpass Filter",49,95,533
"178","G533 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",49,95,533
