Title,Stock Number,Price,Dia. (mm),Dimensions (mm),Dimensional Tolerance (mm),Cut-On Wavelength (nm),Reflection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),Coating,Substrate,Reflection (%),Surface Quality,Transmission (%),Type,"Transmitted Wavefront, RMS",AOI Tolerance (°)
"409nm, 12.5mm Diameter, Dichroic Filter",86-309,$150,12.50 ,,+0.00/-0.10 ,409.00 ,325 - 404 ,415 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"409nm, 12.5 x 17.6mm, Dichroic Filter ",86-316,$150,,12.5 x 17.6 ,+0.00/-0.10 ,409.00 ,325 - 404 ,415 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"409nm, 25.0mm Diameter, Dichroic Filter ",86-323,$205,25.00 ,,+0.00/-0.10 ,409.00 ,325 - 404 ,415 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"409nm, 25.2 x 35.6mm, Dichroic Filter ",86-330,$205,,25.2 x 35.6 ,+0.00/-0.10 ,409.00 ,325 - 404 ,415 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"435nm, 12.5mm Diameter, Dichroic Filter",87-051,$150,12.50 ,,+0.00/-0.10 ,435.00 ,325 - 425 ,444 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"435nm, 12.5 x 17.6mm, Dichroic Filter",87-055,$150,,12.5 x 17.6 ,+0.00/-0.10 ,435.00 ,325 - 425 ,444 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"435nm, 25.2 x 35.6mm, Dichroic Filter",87-063,$205,,25.2 x 35.6 ,+0.00/-0.10 ,435.00 ,325 - 425 ,444 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"435nm, 25mm Diameter, Dichroic Filter",87-059,$205,25.00 ,,+0.00/-0.10 ,435.00 ,325 - 425 ,444 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"458nm, 12.5mm Diameter, Dichroic Filter",67-054,$150,12.50 ,,+0.00/-0.10 ,458.00 ,415 - 450 ,467 - 600 ,1.05 ,±0.1 ,415 - 600 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"458nm, 12.5 x 17.6mm, Dichroic Filter",67-062,$150,,12.5 x 17.6 ,+0.00/-0.10 ,458.00 ,415 - 450 ,467 - 600 ,1.05 ,±0.1 ,415 - 600 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"458nm, 25.0mm Diameter, Dichroic Filter",67-070,$205,25.00 ,,+0.00/-0.10 ,458.00 ,415 - 450 ,467 - 600 ,1.05 ,±0.1 ,415 - 600 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"458nm, 25.2 x 35.6mm, Dichroic Filter",67-078,$205,,25.2 x 35.6 ,+0.00/-0.10 ,458.00 ,415 - 450 ,467 - 600 ,1.05 ,±0.1 ,415 - 600 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"482nm, 12.5mm Diameter, Dichroic Filter ",86-310,$150,12.50 ,,+0.00/-0.10 ,482.00 ,350 - 470 ,490 - 850 ,1.05 ,±0.1 ,350 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"482nm, 12.5 x 17.6mm, Dichroic Filter ",86-317,$150,,12.5 x 17.6 ,+0.00/-0.10 ,482.00 ,350 - 470 ,490 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"482nm, 25.0mm Diameter, Dichroic Filter ",86-324,$205,25.00 ,,+0.00/-0.10 ,482.00 ,350 - 470 ,490 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"482nm, 25.2 x 35.6mm, Dichroic Filter  ",86-331,$205,,25.2 x 35.6 ,+0.00/-0.10 ,482.00 ,350 - 470 ,490 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"495nm, 12.5mm Diameter, Dichroic Filter",67-055,$150,12.50 ,,+0.00/-0.10 ,495.00 ,435 - 488 ,502 - 730 ,1.05 ,±0.1 ,435 - 730 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"495nm, 12.5 x 17.6mm, Dichroic Filter",67-063,$150,,12.5 x 17.6 ,+0.00/-0.10 ,495.00 ,435 - 488 ,502 - 730 ,1.05 ,±0.1 ,435 - 730 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"495nm, 25.0mm Diameter, Dichroic Filter",67-071,$205,25.00 ,,+0.00/-0.10 ,495.00 ,435 - 488 ,502 - 730 ,1.05 ,±0.1 ,435 - 730 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"495nm, 25.2 x 35.6mm, Dichroic Filter",67-079,$205,,25.2 x 35.6 ,+0.00/-0.10 ,495.00 ,435 - 488 ,502 - 730 ,1.05 ,±0.1 ,435 - 730 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"506nm, 12.5mm Diameter, Dichroic Filter",67-056,$150,12.50 ,,+0.00/-0.10 ,506.00 ,440 - 500 ,513 - 730 ,1.05 ,±0.1 ,440 - 730 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"506nm, 12.5 x 17.6mm, Dichroic Filter",67-064,$150,,12.5 x 17.6 ,+0.00/-0.10 ,506.00 ,440 - 500 ,513 - 730 ,1.05 ,±0.1 ,440 - 730 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"506nm, 25.0mm Diameter, Dichroic Filter",67-072,$205,25.00 ,,+0.00/-0.10 ,506.00 ,440 - 500 ,513 - 730 ,1.05 ,±0.1 ,440 - 730 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"506nm, 25.2 x 35.6mm, Dichroic Filter",67-080,$205,,25.2 x 35.6 ,+0.00/-0.10 ,506.00 ,440 - 500 ,513 - 730 ,1.05 ,±0.1 ,440 - 730 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"510nm, 12.5mm Diameter, Dichroic Filter ",86-311,$150,12.50 ,,+0.00/-0.10 ,510.00 ,350 - 488 ,515 - 850 ,1.05 ,±0.1 ,350 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"510nm, 12.5 x 17.6mm, Dichroic Filter ",86-318,$150,,12.5 x 17.6 ,+0.00/-0.10 ,510.00 ,350 - 488 ,515 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"510nm, 25.0mm Diameter, Dichroic Filter ",86-325,$205,25.00 ,,+0.00/-0.10 ,510.00 ,350 - 488 ,515 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"510nm, 25.2 x 35.6mm, Dichroic Filter  ",86-332,$205,,25.2 x 35.6 ,+0.00/-0.10 ,510.00 ,350 - 488 ,515 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"516nm, 12.5mm Diameter, Dichroic Filter",86-312,$150,12.50 ,,+0.00/-0.10 ,516.00 ,350 - 510 ,520 - 850 ,1.05 ,±0.1 ,350 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"516nm, 12.5 x 17.6mm, Dichroic Filter",86-319,$150,,12.5 x 17.6 ,+0.00/-0.10 ,516.00 ,350 - 510 ,520 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"516nm, 25.0mm Diameter, Dichroic Filter",86-326,$205,25.00 ,,+0.00/-0.10 ,516.00 ,350 - 510 ,520 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"516nm, 25.2 x 35.6mm, Dichroic Filter  ",86-333,$205,,25.2 x 35.6 ,+0.00/-0.10 ,516.00 ,350 - 510 ,520 - 850 ,1.05 ,±0.1 ,325 - 850 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
"520nm, 12.5mm Diameter, Dichroic Filter",67-057,$150,12.50 ,,+0.00/-0.10 ,520.00 ,475 - 512 ,528 - 730 ,1.05 ,±0.1 ,475 - 730 ,45 ,Hard Coated ,UV Grade Fused Silica ,98.00 ,60-40 ,90.00 ,Dichroic Filter ,1? ,±1.0 
