Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Thickness Tolerance (mm),Type,Typical Applications
"250nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-871,$155,12.50 +0.0/-0.1,250 ,±2.0 ,10 ,±2.0 ,>50 ,200 - 650 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,KrF Laser Line / Argon SHG 
"250nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-878,$255,25.00 +0.0/-0.1,250 ,±2.0 ,10 ,±2.0 ,>50 ,200 - 650 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,KrF Laser Line / Argon SHG 
"250nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-885,$550,50.00 +0.0/-0.1,250 ,±2.0 ,10 ,±2.0 ,>50 ,200 - 650 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,KrF Laser Line / Argon SHG 
"254nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-305,$155,12.50 +0.0/-0.1,254 ,±2.0 ,10 ,±2.0 ,?50 ,200 - 650 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,2.0 ±0.5 typical ,±0.1 ,Bandpass Filter ,Mercury Emission 
"254nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-312,$255,25.00 +0.0/-0.1,254 ,±2.0 ,10 ,±2.0 ,?50 ,200 - 650 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,2.0 ±0.5 typical ,±0.1 ,Bandpass Filter ,Mercury Emission 
"254nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-319,$550,50.00 +0.0/-0.1,254 ,±2.0 ,10 ,±2.0 ,?50 ,200 - 650 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,2.0 ±0.5 typical ,±0.1 ,Bandpass Filter ,Mercury Emission 
"260nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-872,$155,12.50 +0.0/-0.1,260 ,±2.0 ,10 ,±2.0 ,>50 ,200 - 650 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Nucleic Acid Quantitation 
"260nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-879,$255,25.00 +0.0/-0.1,260 ,±2.0 ,10 ,±2.0 ,>50 ,200 - 650 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Nucleic Acid Quantitation 
"260nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-886,$550,50.00 +0.0/-0.1,260 ,±2.0 ,10 ,±2.0 ,>50 ,200 - 650 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Nucleic Acid Quantitation 
"266nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-306,$155,12.50 +0.0/-0.1,266 ,±2.0 ,10 ,±2.0 ,?50 ,200 - 650 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,2.0 ±0.5 typical ,±0.1 ,Bandpass Filter ,4th Harmonic Nd:YAG Laser 
"266nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-313,$255,25.00 +0.0/-0.1,266 ,±2.0 ,10 ,±2.0 ,?50 ,200 - 650 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,2.0 ±0.5 typical ,±0.1 ,Bandpass Filter ,4th Harmonic Nd:YAG Laser 
