Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type,Typical Light Sources
"400nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-769,$130,12.50 +0.0/-0.1,400.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,405nm Diode; 395nm LED 
"400nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-781,$205,25.00 +0.0/-0.1,400.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,405nm Diode; 395nm LED 
"400nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-793,$495,50.00 +0.0/-0.1,400.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,405nm Diode; 395nm LED 
"425nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-937,$130,12.50 +0.0/-0.1,425.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"Lucifer yellow, Aqua 431, Acridine Homodimer ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"425nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-949,$205,25.00 +0.0/-0.1,425.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"Lucifer yellow, Aqua 431, Acridine Homodimer ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"425nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-961,$495,50.00 +0.0/-0.1,425.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"Lucifer yellow, Aqua 431, Acridine Homodimer ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"450nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-770,$130,12.50 +0.0/-0.1,450.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,StarLight Glacial Blue ,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,445nm Diode; 470nm LED 
"450nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-782,$205,25.00 +0.0/-0.1,450.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,StarLight Glacial Blue ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,445nm Diode; 470nm LED 
"450nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-794,$495,50.00 +0.0/-0.1,450.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,StarLight Glacial Blue ,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,445nm Diode; 470nm LED 
"475nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-938,$130,12.50 +0.0/-0.1,475.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"4-[4-(Dimethylamino)Styryl]-N-MethylPyridinium, 4-Di-10-ASP, DiO ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"475nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-950,$205,25.00 +0.0/-0.1,475.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"4-[4-(Dimethylamino)Styryl]-N-MethylPyridinium, 4-Di-10-ASP, DiO ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"475nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-962,$495,50.00 +0.0/-0.1,475.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"4-[4-(Dimethylamino)Styryl]-N-MethylPyridinium, 4-Di-10-ASP, DiO ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"500nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-771,$130,12.50 +0.0/-0.1,500.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"BD Horizon V500, DiO, PKH67, Acridine Orange, ATTO 488, ratiometric pHluorin pH5 ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,475 and 488nm Laser; 520nm LED  
"500nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-783,$205,25.00 +0.0/-0.1,500.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"BD Horizon V500, DiO, PKH67, Acridine Orange, ATTO 488, ratiometric pHluorin pH6 ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,475 and 488nm Laser; 520nm LED  
"500nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-795,$495,50.00 +0.0/-0.1,500.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"BD Horizon V500, DiO, PKH67, Acridine Orange, ATTO 488, ratiometric pHluorin pH7 ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,475 and 488nm Laser; 520nm LED  
"525nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-939,$130,12.50 +0.0/-0.1,525.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"6-carboxyrhodamine, Envy Green, Eosin, TurboYFP, ATTO 488, Qdot 525 Nanocrystals, Surf Green ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"525nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-951,$205,25.00 +0.0/-0.1,525.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"6-carboxyrhodamine, Envy Green, Eosin, TurboYFP, ATTO 488, Qdot 525 Nanocrystals, Surf Green ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"525nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-963,$495,50.00 +0.0/-0.1,525.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"6-carboxyrhodamine, Envy Green, Eosin, TurboYFP, ATTO 488, Qdot 525 Nanocrystals, Surf Green ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"550nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-772,$130,12.50 +0.0/-0.1,550.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"HiLyte Fluor 555, Magnesium Orange, Acridine Yellow ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,532nm Laser 
"550nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-784,$205,25.00 +0.0/-0.1,550.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"HiLyte Fluor 555, Magnesium Orange, Acridine Yellow ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,532nm Laser 
"550nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-796,$495,50.00 +0.0/-0.1,550.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"HiLyte Fluor 555, Magnesium Orange, Acridine Yellow ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,532nm Laser 
"575nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-940,$130,12.50 +0.0/-0.1,575.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"Bo-Pro 3, KFP-Red ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
