Title,Stock Number,Price,Dia. (mm),Cut-On Wavelength (nm),Rejection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),Coating,Substrate,Optical Density OD,Surface Quality,Transmission (%),Type,CA (%),Durability,"Transmitted Wavefront, RMS",Cut-On Tolerance (%),Slope Factor (%),Coating Specification
"325nm 12.5mm Dia., High Performance Longpass Filter",34-295,$165,12.50 +0/-0.2,325 ,200 - 315 ,333 - 1600 ,1.50 ,±0.1 ,200 - 1600 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,>91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,2.00 ,"Surface 1: Hard Dielectric Sputtered, Surface 2: MgF2 "
"350nm 12.5mm Dia., High Performance Longpass Filter",34-298,$165,12.50 +0/-0.2,350 ,200 - 340 ,358 - 1600 ,1.50 ,±0.1 ,200 - 1600 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,>91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,1.00 ,"Surface 1: Hard Dielectric Sputtered, Surface 2: MgF2 "
"375nm 12.5mm Dia., High Performance Longpass Filter",34-301,$165,12.50 +0/-0.2,375 ,200 - 365 ,383 - 1600 ,1.50 ,±0.1 ,200 - 1600 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,>91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,1.00 ,"Surface 1: Hard Dielectric Sputtered, Surface 2: MgF2 "
"400nm 12.5mm Dia., High Performance Longpass Filter",62-974,$150,12.50 +0.0/-0.2,400 ,200 - 390 ,408 - 1650 ,2.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"425nm 12.5mm Dia., High Performance Longpass Filter",84-736,$150,12.50 +0.0/-0.2,425 ,200 - 415 ,433 - 1650 ,2.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"450nm 12.5mm Dia., High Performance Longpass Filter",62-975,$150,12.50 +0.0/-0.2,450 ,200 - 440 ,458 - 1650 ,2.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"475nm 12.5mm Dia., High Performance Longpass Filter",84-737,$150,12.50 +0.0/-0.2,475 ,200 - 465 ,483 - 1650 ,2.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"500nm 12.5mm Dia., High Performance Longpass Filter",62-976,$150,12.50 +0.0/-0.2,500 ,200 - 490 ,508 - 1650 ,2.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"525nm 12.5mm Dia., High Performance Longpass Filter",84-738,$150,12.50 +0.0/-0.2,525 ,200 - 515 ,534 - 1650 ,2.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"550nm 12.5mm Dia., High Performance Longpass Filter",62-977,$150,12.50 +0.0/-0.2,550 ,200 - 539 ,560 - 1650 ,2.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
