Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,Optical Density OD,Rejection Wavelength (nm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,CA (%),Durability,"Transmitted Wavefront, RMS",Slope Factor (%),Cut-Off Tolerance (%),Wavelength Range (nm),Manufacturer
"400nm 12.5mm Diameter, OD 4 Shortpass Filter",84-689,$150,0.00 ,Hard Coated ,400.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,410 - 610 ,60-40 ,1.50 ,±0.1 ,?91 ,300 - 392 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 610 ,EO 
"400nm 25mm Diameter, OD 4 Shortpass Filter",84-702,$220,0.00 ,Hard Coated ,400.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,410 - 610 ,60-40 ,3.00 ,±0.1 ,?91 ,300 - 392 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 610 ,EO 
"400nm 50mm Diameter, OD 4 Shortpass Filter",84-715,$450,0.00 ,Hard Coated ,400.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,410 - 610 ,60-40 ,5.00 ,±0.1 ,?91 ,300 - 392 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 610 ,EO 
"425nm 12.5mm Diameter, OD 4 Shortpass Filter ",84-690,$150,0.00 ,Hard Coated ,425.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,435 - 635 ,60-40 ,1.50 ,±0.1 ,?91 ,300 - 417 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 635 ,EO 
"425nm 25mm Diameter, OD 4 Shortpass Filter",84-703,$220,0.00 ,Hard Coated ,425.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,435 - 635 ,60-40 ,3.00 ,±0.1 ,?91 ,300 - 417 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 635 ,EO 
"425nm 50mm Diameter, OD 4 Shortpass Filter",84-716,$450,0.00 ,Hard Coated ,425.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,435 - 635 ,60-40 ,5.00 ,±0.1 ,?91 ,300 - 417 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 635 ,EO 
"450nm 12.5mm Diameter, OD 4 Shortpass Filter",49-824,$50,0.00 ,Hard Coated ,450.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,470 - 545 ,60-40 ,3.00 ,±0.1 ,?91 ,250 - 430 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,250 - 545 ,EO 
"450nm 12.5mm Diameter, OD 4 Shortpass Filter",84-691,$150,0.00 ,Hard Coated ,450.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,460 - 660 ,60-40 ,1.50 ,±0.1 ,?91 ,300 - 441 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 660 ,EO 
"450nm 25mm Diameter, OD 4 Shortpass Filter ",84-704,$220,0.00 ,Hard Coated ,450.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,460 - 660 ,60-40 ,3.00 ,±0.1 ,?91 ,300 - 441 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 660 ,EO 
"450nm 50mm Diameter, OD 4 Shortpass Filter",84-717,$450,0.00 ,Hard Coated ,450.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,460 - 660 ,60-40 ,5.00 ,±0.1 ,?91 ,300 - 441 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 660 ,EO 
