Title,Stock Number,Price,Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,Operating Temperature (°C),Index of Refraction nd,Dimensions (mm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Type,Dimensional Tolerance (mm),CA (%),Edges,Coating Specification,Wavelength Range (nm)
12.5mm Diameter IR Cut-Off Filter ,55-234,$38.5,Traditional Coated ,710.00 ,12.50 ±0.25,BOROFLOAT® ,<250 ,1.472 ,,80-50 ,1.10 ,±0.25 ,IR Cut-Off Filter ,,?90 ,Ground Edges ,"Surface 1: Tavg >85% @ 480 - 680nm, Tavg <10% @ 740 - 1200 nm, T=50% @ 680 - 740 nm Surface 2: ?/4 MgF2 ",480 - 1200 
12.5mm Square IR Cut-Off Filter ,55-235,$38.5,Traditional Coated ,710.00 ,,BOROFLOAT® ,<250 ,1.472 ,12.5 x 12.5 ,80-50 ,1.10 ,±0.25 ,IR Cut-Off Filter ,±0.25 ,?90 ,Seamed Edges ,"Surface 1: Tavg >85% @ 480 - 680nm, Tavg <10% @ 740 - 1200 nm, T=50% @ 680 - 740 nm Surface 2: ?/4 MgF2 ",480 - 1200 
15mm Diameter IR Cut-Off Filter ,53-708,$40.5,Traditional Coated ,710.00 ,15.00 ±0.25,BOROFLOAT® ,<250 ,1.472 ,,80-50 ,1.10 ,±0.25 ,IR Cut-Off Filter ,,?90 ,Ground Edges ,"Surface 1: Tavg >85% @ 480 - 680nm, Tavg <10% @ 740 - 1200 nm, T=50% @ 680 - 740 nm Surface 2: ?/4 MgF2 ",480 - 1200 
15mm Square IR Cut-Off Filter ,53-709,$40.5,Traditional Coated ,710.00 ,,BOROFLOAT® ,<250 ,1.472 ,15.0 x 15.0 ,80-50 ,1.10 ,±0.25 ,IR Cut-Off Filter ,±0.25 ,?90 ,Seamed Edges ,"Surface 1: Tavg >85% @ 480 - 680nm, Tavg <10% @ 740 - 1200 nm, T=50% @ 680 - 740 nm Surface 2: ?/4 MgF2 ",480 - 1200 
20mm Diameter IR Cut-Off Filter ,55-236,$46.5,Traditional Coated ,710.00 ,20.00 ±0.25,BOROFLOAT® ,<250 ,1.472 ,,80-50 ,1.10 ,±0.25 ,IR Cut-Off Filter ,,?90 ,Ground Edges ,"Surface 1: Tavg >85% @ 480 - 680nm, Tavg <10% @ 740 - 1200 nm, T=50% @ 680 - 740 nm Surface 2: ?/4 MgF2 ",480 - 1200 
20mm Square IR Cut-Off Filter ,55-237,$46.5,Traditional Coated ,710.00 ,,BOROFLOAT® ,<250 ,1.472 ,20.0 x 20.0 ,80-50 ,1.10 ,±0.25 ,IR Cut-Off Filter ,±0.25 ,?90 ,Seamed Edges ,"Surface 1: Tavg >85% @ 480 - 680nm, Tavg <10% @ 740 - 1200 nm, T=50% @ 680 - 740 nm Surface 2: ?/4 MgF2 ",480 - 1200 
25mm Diameter IR Cut-Off Filter ,53-710,$51,Traditional Coated ,710.00 ,25.00 ±0.25,BOROFLOAT® ,<250 ,1.472 ,,80-50 ,1.10 ,±0.25 ,IR Cut-Off Filter ,,?90 ,Ground Edges ,"Surface 1: Tavg >85% @ 480 - 680nm, Tavg <10% @ 740 - 1200 nm, T=50% @ 680 - 740 nm Surface 2: ?/4 MgF2 ",480 - 1200 
25mm Square IR Cut-Off Filter ,53-711,$51,Traditional Coated ,710.00 ,,BOROFLOAT® ,<250 ,1.472 ,25.0 x 25.0 ,80-50 ,1.10 ,±0.25 ,IR Cut-Off Filter ,±0.25 ,?90 ,Seamed Edges ,"Surface 1: Tavg >85% @ 480 - 680nm, Tavg <10% @ 740 - 1200 nm, T=50% @ 680 - 740 nm Surface 2: ?/4 MgF2 ",480 - 1200 
50mm Diameter IR Cut-Off Filter ,54-517,$87.5,Traditional Coated ,710.00 ,50.00 ±0.25,BOROFLOAT® ,<250 ,1.472 ,,80-50 ,3.30 ,±0.25 ,IR Cut-Off Filter ,,?90 ,Ground Edges ,"Surface 1: Tavg >85% @ 480 - 680nm, Tavg <10% @ 740 - 1200 nm, T=50% @ 680 - 740 nm Surface 2: ?/4 MgF2 ",480 - 1200 
50mm Square IR Cut-Off Filter ,54-516,$87.5,Traditional Coated ,710.00 ,,BOROFLOAT® ,<250 ,1.472 ,50.0 x 50.0 ,80-50 ,3.30 ,±0.25 ,IR Cut-Off Filter ,±0.76 ,?90 ,Seamed Edges ,"Surface 1: Tavg >85% @ 480 - 680nm, Tavg <10% @ 740 - 1200 nm, T=50% @ 680 - 740 nm Surface 2: ?/4 MgF2 ",480 - 1200 
