Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL (µm),CWL Tolerance (µm),FWHM (nm),FWHM (µm),FWHM Tolerance (?m),Transmission (%),Optical Density OD,CA (mm),Surface Quality,Coating,Substrate,Thickness (mm),Type,Typical Applications
"2.70µm CWL, 25.0mm Diameter, 0.11 FWHM, IR Bandpass Filter",84-069,$425,25.00 +0.00/-0.10,2700 ,2.70 ,±0.03 ,110 ,0.11 ,±0.03 ,80.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Sapphire (Al2O3) ,1.00 ±0.2,Bandpass Filter ,Water Vapor Emission 
"2.95µm CWL, 25.0mm Diameter, 0.11 FWHM, IR Bandpass Filter",84-070,$425,25.00 +0.00/-0.10,2950 ,2.95 ,±0.03 ,110 ,0.11 ,±0.03 ,65.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Sapphire (Al2O3) ,1.00 ±0.2,Bandpass Filter ,Water Vapor Emission 
"3.46µm CWL, 25.0mm Diameter, 0.14 FWHM, IR Bandpass Filter",84-071,$425,25.00 +0.00/-0.10,3460 ,3.46 ,±0.04 ,140 ,0.14 ,±0.03 ,80.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Sapphire (Al2O3) ,1.00 ±0.2,Bandpass Filter ,Methane and Ethanol Emission 
"3.60µm CWL, 25.0mm Diameter, 0.14 FWHM, IR Bandpass Filter",84-072,$425,25.00 +0.00/-0.10,3600 ,3.60 ,±0.04 ,140 ,0.14 ,±0.03 ,80.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Sapphire (Al2O3) ,1.00 ±0.2,Bandpass Filter ,Formaldehyde Emission 
"4.00µm CWL, 25.0mm Diameter, 2.0 FWHM, IR Bandpass Filter",11-998,$395,25.00 +0.00/-0.20,4000 ,4.00 ,±0.20 ,2000 ,2.0 ,±0.20 ,80.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Sapphire (Al2O3) ,1.00 ±0.2,Bandpass Filter ,SWIR 
"4.26µm CWL, 25.0mm Diameter, 0.12 FWHM, IR Bandpass Filter",84-073,$425,25.00 +0.00/-0.10,4260 ,4.26 ,±0.04 ,120 ,0.12 ,±0.03 ,70.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Sapphire (Al2O3) ,1.00 ±0.2,Bandpass Filter ,Carbon Dioxide Emission 
"4.67µm CWL, 25.0mm Diameter, 0.15 FWHM, IR Bandpass Filter",84-074,$425,25.00 +0.00/-0.10,4670 ,4.67 ,±0.05 ,150 ,0.15 ,±0.03 ,80.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Sapphire (Al2O3) ,1.00 ±0.2,Bandpass Filter ,Carbon Monoxide Emission 
"5.30µm CWL, 25.0mm Diameter, 0.42 FWHM, IR Bandpass Filter",84-075,$675,25.00 +0.00/-0.10,5300 ,5.30 ,±0.05 ,420 ,0.42 ,±0.05 ,70.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Sapphire (Al2O3) ,1.00 ±0.2,Bandpass Filter ,Nitrous Oxide Emission 
"10.0µm CWL, 25.0mm Diameter, 4.0 FWHM, IR Bandpass Filter",11-999,$795,25.00 +0.00/-0.20,"10,000 ",10.00 ,±0.30 ,4000 ,4.0 ,±0.50 ,80.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Germanium (Ge) ,1.00 ±0.2,Bandpass Filter ,FIR Broadband 
"10.6µm CWL, 12.5mm Diameter, 1.5 FWHM, IR Bandpass Filter",33-144,$395,12.50  +0.00/-0.10,"10,600 ",10.6 ,±0.01 ,1500 ,1.5 ,±0.01 ,80.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Germanium (Ge) ,1.00 ±0.2,Bandpass Filter ,Carbon Dioxide Emission 
"10.6µm CWL, 25.0mm Diameter, 1.5 FWHM, IR Bandpass Filter",33-145,$675,25.00  +0.00/-0.10,"10,600 ",10.6 ,±0.01 ,1500 ,1.5 ,±0.01 ,80.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Germanium (Ge) ,1.00 ±0.2,Bandpass Filter ,Carbon Dioxide Emission 
"10.6µm CWL, 50.0mm Diameter, 1.5 FWHM, IR Bandpass Filter",33-146,$1795,50.00  +0.00/-0.10,"10,600 ",10.6 ,±0.01 ,1500 ,1.5 ,±0.01 ,80.00 ,?3.0 ,21.0 ,60-40 ,Traditional Coated ,Germanium (Ge) ,1.00 ±0.2,Bandpass Filter ,Carbon Dioxide Emission 
