Title,Stock Number,Price,Dia. (mm),Cut-On Wavelength (nm),Blocking Wavelength Range (nm),Transmission Wavelength (?m),Thickness (mm),Thickness Tolerance (mm),Coating,Substrate,Operating Temperature (°C),Optical Density OD,Surface Quality,Transmission (%),Type,Parallelism (arcmin),CA (%),Cut-On Tolerance (%),Slope Factor (%),Cut-On Wavelength (?m),Cut-On Wavelength Tolerance (?m),Surface Flatness
"1.05?m, 12.5mm Diameter, Infrared Longpass Filter",33-967,$115,12.50 +0.0/-0.1,1050 ,200 - 1050 ,1.10 - 2.10 ,1.00 ,±0.2 ,Traditional Coated ,Silicon (Si) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<12 ,1.05 ,0.04 ,3 - 5? 
"1.05?m, 25mm Diameter, Infrared Longpass Filter",68-651,$245,25.00 +0.0/-0.1,1050 ,200 - 1050 ,1.10 - 2.10 ,1.00 ,±0.2 ,Traditional Coated ,Silicon (Si) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<12 ,1.05 ,0.04 ,3 - 5? 
"1.05?m, 50mm Diameter, Infrared Longpass Filter",68-657,$345,50.00 +0.0/-0.1,1050 ,200 - 1050 ,1.10 - 2.10 ,1.00 ,±0.2 ,Traditional Coated ,Silicon (Si) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<12 ,1.05 ,0.04 ,3 - 5? 
"1.65?m, 12.5mm Diameter, Infrared Longpass Filter",33-968,$125,12.50 +0.0/-0.1,1650 ,200 - 1650 ,1.73 - 3.30 ,1.00 ,±0.2 ,Traditional Coated ,Silicon (Si) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,1.65 ,0.07 ,3 - 5? 
"1.65?m, 25mm Diameter, Infrared Longpass Filter",68-652,$255,25.00 +0.0/-0.1,1650 ,200 - 1650 ,1.73 - 3.30 ,1.00 ,±0.2 ,Traditional Coated ,Silicon (Si) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,1.65 ,0.07 ,3 - 5? 
"1.65?m, 50mm Diameter, Infrared Longpass Filter",68-658,$375,50.00 +0.0/-0.1,1650 ,200 - 1650 ,1.73 - 3.30 ,1.00 ,±0.2 ,Traditional Coated ,Silicon (Si) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,1.65 ,0.07 ,3 - 5? 
"2.40?m, 12.5mm Diameter, Infrared Longpass Filter",33-969,$135,12.50 +0.0/-0.1,2400 ,200 - 2400 ,2.52 - 4.80 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,2.40 ,0.09 ,3 - 5? 
"2.40?m, 25mm Diameter, Infrared Longpass Filter",68-653,$270,25.00 +0.0/-0.1,2400 ,200 - 2400 ,2.52 - 4.80 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,2.40 ,0.09 ,3 - 5? 
"2.40?m, 50mm Diameter, Infrared Longpass Filter",68-659,$410,50.00 +0.0/-0.1,2400 ,200 - 2400 ,2.52 - 4.80 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,2.40 ,0.09 ,3 - 5? 
"3.60?m, 12.5mm Diameter, Infrared Longpass Filter",33-970,$145,12.50 +0.0/-0.1,3600 ,200 - 3600 ,3.78 - 7.20 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,3.60 ,0.14 ,3 - 5? 
"3.60?m, 25mm Diameter, Infrared Longpass Filter",68-654,$280,25.00 +0.0/-0.1,3600 ,200 - 3600 ,3.78 - 7.20 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,3.60 ,0.14 ,3 - 5? 
"3.60?m, 50mm Diameter, Infrared Longpass Filter",68-660,$445,50.00 +0.0/-0.1,3600 ,200 - 3600 ,3.78 - 7.20 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,3.60 ,0.14 ,3 - 5? 
"4.50?m, 12.5mm Diameter, Infrared Longpass Filter",33-971,$155,12.50 +0.0/-0.1,4500 ,200 - 4500 ,4.73 - 9.00 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,4.50 ,0.18 ,3 - 5? 
"4.50?m, 25mm Diameter, Infrared Longpass Filter",68-655,$305,25.00 +0.0/-0.1,4500 ,200 - 4500 ,4.73 - 9.00 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,4.50 ,0.18 ,3 - 5? 
"4.50?m, 50mm Diameter, Infrared Longpass Filter",68-661,$480,50.00 +0.0/-0.1,4500 ,200 - 4500 ,4.73 - 9.00 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,4.50 ,0.18 ,3 - 5? 
"6.00?m, 12.5mm Diameter, Infrared Longpass Filter",36-150,$180,12.50 +0.0/-0.1,6000 ,200 - 6000 ,6.3 - 12.00 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,6.00 ,,3 - 5? 
"6.00?m, 25.0mm Diameter, Infrared Longpass Filter",36-151,$360,25.00 +0.0/-0.1,6000 ,200 - 6000 ,6.3 - 12.00 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,6.00 ,,3 - 5? 
"6.00?m, 50.0mm Diameter, Infrared Longpass Filter",36-152,$500,50.00 +0.0/-0.1,6000 ,200 - 6000 ,6.3 - 12.00 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,6.00 ,,3 - 5? 
"7.30?m, 12.5mm Diameter, Infrared Longpass Filter",33-972,$180,12.50 +0.0/-0.1,7300 ,200 - 7300 ,7.67 - 14.60 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,7.30 ,0.29 ,3 - 5? 
"7.30?m, 25mm Diameter, Infrared Longpass Filter",68-656,$360,25.00 +0.0/-0.1,7300 ,200 - 7300 ,7.67 - 14.60 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,7.30 ,0.29 ,3 - 5? 
"7.30?m, 50mm Diameter, Infrared Longpass Filter",68-662,$500,50.00 +0.0/-0.1,7300 ,200 - 7300 ,7.67 - 14.60 ,1.00 ,±0.2 ,Traditional Coated ,Germanium (Ge) ,-62 to +71 ,?3.0 ,60-40 ,>85 ,Longpass Filter ,<10 ,90 ,5% of Peak Transmission ,<7 ,7.30 ,0.29 ,3 - 5? 
