Title,Stock Number,Price,Dia. (mm),Thickness Tolerance (mm),Laser Blocking Wavelength (nm),Transition Width (nm),Edge Steepness (nm),Bandwidth (nm),AOI (°),Coating,Substrate,Optical Density OD,Surface Quality,Transmission (%),Type,CA (%),Durability,"Transmitted Wavefront, P-V",Temperature Dependence (ppm/°C),"Angle Tuning Range, for 0 - 8° Shift",Mount Thickness (mm),Note,"Damage Threshold, Pulsed"
"25mm Dia., 325nm Laser Line Longpass Filter",47-498,$695,25.00 +0.0/-0.1,±0.1 ,325 ,<3.3 ,1.60 ,>400 ,0 ±2,Hard Coated ,Fused Silica ,?6.0 ,60-40 ,90.00 ,Longpass Filter ,>80 ,"Environmental: MIL-STD-810F, Physical: MIL-C-48497A ",<?/4 @ 633nm ,<5 ,-0.3% of Laser Wavelength ,3.5 ,,"1 J/cm2 @ 532nm, 10ns "
"25mm Dia., 355nm Laser Line Longpass Filter",47-499,$695,25.00 +0.0/-0.1,±0.1 ,355 ,<3.6 ,1.80 ,>400 ,0 ±2,Hard Coated ,Fused Silica ,?6.0 ,60-40 ,93.00 ,Longpass Filter ,>80 ,"Environmental: MIL-STD-810F, Physical: MIL-C-48497A ",<?/4 @ 633nm ,<5 ,-0.3% of Laser Wavelength ,3.5 ,,"1 J/cm2 @ 532nm, 10ns "
"25mm Dia., 473nm Laser Line Longpass Filter",47-502,$695,25.00 +0.0/-0.1,±0.1 ,473 ,<4.7 ,2.40 ,>550 ,0 ±2,Hard Coated ,Fused Silica ,?6.0 ,60-40 ,93.00 ,Longpass Filter ,>80 ,"Environmental: MIL-STD-810F, Physical: MIL-C-48497A ",<?/4 @ 633nm ,<5 ,-0.3% of Laser Wavelength ,3.5 ,,"1 J/cm2 @ 532nm, 10ns "
"25mm Dia., 488nm Laser Line Longpass Filter",47-503,$695,25.00 +0.0/-0.1,±0.1 ,488 ,<4.9 ,2.40 ,,0 ±2,Hard Coated ,Fused Silica ,?6.0 ,60-40 ,93.00 ,Longpass Filter ,>80 ,"Environmental: MIL-STD-810F, Physical: MIL-C-48497A ",<?/4 @ 633nm ,<5 ,-0.3% of Laser Wavelength ,3.5 ,Bandwidth (nm): >600 ,"1 J/cm2 @ 532nm, 10ns "
"25mm Dia., 514.5nm Laser Line Longpass Filter",47-504,$795,25.00 +0.0/-0.1,±0.1 ,514.5 ,<5.1 ,2.60 ,>600 ,0 ±2,Hard Coated ,Fused Silica ,?6.0 ,60-40 ,93.00 ,Longpass Filter ,>80 ,"Environmental: MIL-STD-810F, Physical: MIL-C-48497A ",<?/4 @ 633nm ,<5 ,-0.3% of Laser Wavelength ,3.5 ,,"1 J/cm2 @ 532nm, 10ns "
"25mm Dia., 532nm Laser Line Longpass Filter",47-505,$695,25.00 +0.0/-0.1,±0.1 ,532 ,<5.3 ,2.70 ,>600 ,0 ±2,Hard Coated ,Fused Silica ,?6.0 ,60-40 ,93.00 ,Longpass Filter ,>80 ,"Environmental: MIL-STD-810F, Physical: MIL-C-48497A ",<?/4 @ 633nm ,<5 ,-0.3% of Laser Wavelength ,3.5 ,,"1 J/cm2 @ 532nm, 10ns "
"25mm Dia., 632.8nm Laser Line Longpass Filter",47-506,$695,25.00 +0.0/-0.1,±0.1 ,632.8 ,<6.3 ,3.20 ,>600 ,0 ±2,Hard Coated ,Fused Silica ,?6.0 ,60-40 ,93.00 ,Longpass Filter ,>80 ,"Environmental: MIL-STD-810F, Physical: MIL-C-48497A ",<?/4 @ 633nm ,<5 ,-0.3% of Laser Wavelength ,3.5 ,,"1 J/cm2 @ 532nm, 10ns "
"25mm Dia., 785nm Laser Line Longpass Filter",47-508,$695,25.00 +0.0/-0.1,±0.1 ,785 ,<7.8 ,3.90 ,>900 ,0 ±2,Hard Coated ,Fused Silica ,?6.0 ,60-40 ,93.00 ,Longpass Filter ,>80 ,"Environmental: MIL-STD-810F, Physical: MIL-C-48497A ",<?/4 @ 633nm ,<5 ,-0.3% of Laser Wavelength ,3.5 ,,"1 J/cm2 @ 532nm, 10ns "
"25mm Dia., 980nm Laser Line Longpass Filter",47-509,$695,25.00 +0.0/-0.1,±0.1 ,980 ,<9.8 ,4.90 ,>1000 ,0 ±2,Hard Coated ,Fused Silica ,?6.0 ,60-40 ,93.00 ,Longpass Filter ,>80 ,"Environmental: MIL-STD-810F, Physical: MIL-C-48497A ",<?/4 @ 633nm ,<5 ,-0.3% of Laser Wavelength ,3.5 ,,"1 J/cm2 @ 532nm, 10ns "
"25mm Dia., 1064nm Laser Line Longpass Filter",47-510,$695,25.00 +0.0/-0.1,±0.1 ,1064 ,<10.6 ,5.30 ,>900 ,0 ±2,Hard Coated ,Fused Silica ,?6.0 ,60-40 ,93.00 ,Longpass Filter ,>80 ,"Environmental: MIL-STD-810F, Physical: MIL-C-48497A ",<?/4 @ 633nm ,<5 ,-0.3% of Laser Wavelength ,3.5 ,,"1 J/cm2 @ 532nm, 10ns "
