Title,Stock Number,Price,Dia. (mm),Cut-On Wavelength (nm),Rejection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),Coating,Substrate,Optical Density OD,Surface Quality,Transmission (%),Type,CA (%),"Transmitted Wavefront, P-V",Cut-On Tolerance (%),Slope Factor (%),Coating Specification
"400nm 12.5mm Diameter, OD 2 Longpass Filter",49-024,$89,12.50 +0.00/-0.20,400 ,200 - 375 ,420 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"400nm 25.0mm Diameter, OD 2 Longpass Filter",47-614,$125,25.00 +0.00/-0.20,400 ,200 - 375 ,420 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"400nm 50mm Diameter, OD 2 Longpass Filter",64-697,$195,50.00 +0.00/-0.20,400 ,200 - 375 ,420 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"425nm 12.5mm Diameter, OD 2 Longpass Filter",64-616,$89,12.50 +0.00/-0.20,425 ,200 - 405 ,445 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"425nm 25mm Diameter, OD 2 Longpass Filter",64-624,$125,25.00 +0.00/-0.20,425 ,200 - 405 ,445 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"425nm 50mm Diameter, OD 2 Longpass Filter",64-632,$195,50.00 +0.00/-0.20,425 ,200 - 405 ,445 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"450nm 12.5mm Diameter, OD 2 Longpass Filter",49-025,$89,12.50 +0.00/-0.20,450 ,200 - 430 ,470 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"450nm 25.0mm Diameter, OD 2 Longpass Filter",47-615,$125,25.00 +0.00/-0.20,450 ,200 - 430 ,470 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"450nm 50mm Diameter, OD 2 Longpass Filter",64-698,$195,50.00 +0.00/-0.20,450 ,200 - 430 ,470 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"475nm 12.5mm Diameter, OD 2 Longpass Filter",64-617,$89,12.50 +0.00/-0.20,475 ,200 - 455 ,495 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
