Title,Stock Number,Price,CA (mm),Filter Thread,Substrate,Optical Density OD,Outer Diameter (mm),Thickness with Mount (mm),Surface Quality,Transmission (%),Type,Blocking Wavelength Range (nm),Note,Coating Specification
"0.3 OD M22.5 x 0.50, Mounted Absorptive ND Filter",59-162,$29,18.5 ,M22.5 x 0.5 ,ND Filter Glass ,0.3 ,24.0 ,4.50 ,80-50 ,50.00 ,Mounted Imaging Filter ,400 - 700 ,AR Coating: MgF2 ,Ravg ?1.75% @ 400 - 700nm 
"0.6 OD M22.5 x 0.50, Mounted Absorptive ND Filter",59-167,$29,18.5 ,M22.5 x 0.5 ,ND Filter Glass ,0.6 ,24.0 ,4.5 ,80-50 ,25.00 ,Mounted Imaging Filter ,400 - 700 ,AR Coating: MgF2 ,Ravg ?1.75% @ 400 - 700nm 
"0.9 OD M22.5 x 0.50, Mounted Absorptive ND Filter",59-172,$29,18.5 ,M22.5 x 0.5 ,ND Filter Glass ,0.9 ,24.0 ,4.50 ,80-50 ,12.5 ,Mounted Imaging Filter ,400 - 700 ,AR Coating: MgF2 ,Ravg ?1.75% @ 400 - 700nm 
"0.3 OD M25.5 x 0.50, Mounted Absorptive ND Filter",59-163,$30,21.0 ,M25.5 x 0.5 ,ND Filter Glass ,0.3 ,27.5 ,4.50 ,80-50 ,,Mounted Imaging Filter ,400 - 700 ,AR Coating: MgF2 ,Ravg ?1.75% @ 400 - 700nm 
"0.6 OD M25.5 x 0.50, Mounted Absorptive ND Filter",59-168,$30,21.0 ,M25.5 x 0.5 ,ND Filter Glass ,0.6 ,27.5 ,4.50 ,80-50 ,,Mounted Imaging Filter ,400 - 700 ,AR Coating: MgF2 ,Ravg ?1.75% @ 400 - 700nm 
"0.9 OD M25.5 x 0.50, Mounted Absorptive ND Filter",59-173,$30,21.0 ,M25.5 x 0.5 ,ND Filter Glass ,0.9 ,27.5 ,4.50 ,80-50 ,,Mounted Imaging Filter ,400 - 700 ,AR Coating: MgF2 ,Ravg ?1.75% @ 400 - 700nm 
"0.3 OD M30.5 x 0.50, Mounted Absorptive ND Filter",59-164,$32,25.5 ,M30.5 x 0.5 ,ND Filter Glass ,0.3 ,32.5 ,4.50 ,80-50 ,,Mounted Imaging Filter ,400 - 700 ,AR Coating: MgF2 ,Ravg ?1.75% @ 400 - 700nm 
"0.6 OD M30.5 x 0.50, Mounted Absorptive ND Filter",59-169,$32,25.5 ,M30.5 x 0.5 ,ND Filter Glass ,0.6 ,32.5 ,4.50 ,80-50 ,,Mounted Imaging Filter ,400 - 700 ,AR Coating: MgF2 ,Ravg ?1.75% @ 400 - 700nm 
"0.9 OD M30.5 x 0.50, Mounted Absorptive ND Filter",59-174,$32,25.5 ,M30.5 x 0.5 ,ND Filter Glass ,0.9 ,32.5 ,4.50 ,80-50 ,,Mounted Imaging Filter ,400 - 700 ,AR Coating: MgF2 ,Ravg ?1.75% @ 400 - 700nm 
"0.3 OD M37.0 x 0.75, Mounted Absorptive ND Filter",59-165,$34,32.5 ,M37 x 0.75 ,ND Filter Glass ,0.3 ,39.0 ,4.50 ,80-50 ,,Mounted Imaging Filter ,400 - 700 ,AR Coating: MgF2 ,Ravg ?1.75% @ 400 - 700nm 
