Title,Stock Number,Price,Color,Cut-Off Wavelength (nm),Cut-On Wavelength (nm),Glass/Filter Number,Substrate,Thickness of Compatible Optics (mm),Surface Quality,Mounting Threads,Type,Wavelength Range (nm),Substrate Thickness (mm)
Mounted M22.5 x 0.5 Threaded - Blue Filter,46-541,$39,Blue ,480.00 ,395.00 ,B-440 ,Colored Glass ,2.0 ,80-50 ,M22.5 x 0.5 ,Mounted Imaging Filter ,400 - 700 ,2.0 
Mounted M25.5 x 0.5 Threaded - Blue Filter,46-544,$39,Blue ,480.00 ,395.00 ,B-440 ,Colored Glass ,2.0 ,80-50 ,M25.5 x 0.5 ,Mounted Imaging Filter ,400 - 700 ,2.0 
Mounted M30.5 x 0.5 Threaded - Blue Filter,46-547,$45,Blue ,480.00 ,395.00 ,B-440 ,Colored Glass ,2.0 ,80-50 ,M30.5 x 0.5 ,Mounted Imaging Filter ,400 - 700 ,2.0 
Mounted M40.5 x 0.5 Threaded - Blue Filter,46-569,$36.5,Blue ,480.00 ,395.00 ,B-440 ,Colored Glass ,2.0 ,80-50 ,M40.5 x 0.5 ,Mounted Imaging Filter ,400 - 700 ,2.0 
Mounted M43 x 0.75 Threaded - Blue Filter,46-570,$45,Blue ,480.00 ,395.00 ,B-440 ,Colored Glass ,2.0 ,80-50 ,M43 x 0.75 ,Mounted Imaging Filter ,400 - 700 ,2.0 
Mounted M46 x 0.75 Threaded - Blue Filter,46-571,$47.5,Blue ,480.00 ,395.00 ,B-440 ,Colored Glass ,2.0 ,80-50 ,M46 x 0.75 ,Mounted Imaging Filter ,400 - 700 ,2.0 
Mounted M49 x 0.75 Threaded - Blue Filter,54-775,$47.5,Blue ,480.00 ,395.00 ,B-440 ,Colored Glass ,2.5 ,80-50 ,M49 x 0.75 ,Mounted Imaging Filter ,400 - 700 ,2.5 
Mounted M52 x 0.75 Threaded - Blue Filter,54-776,$47.5,Blue ,480.00 ,395.00 ,B-440 ,Colored Glass ,2.5 ,80-50 ,M52 x 0.75 ,Mounted Imaging Filter ,400 - 700 ,2.5 
Mounted M58 x 0.75 Threaded - Blue Filter,54-777,$47.5,Blue ,480.00 ,395.00 ,B-440 ,Colored Glass ,2.5 ,80-50 ,M58 x 0.75 ,Mounted Imaging Filter ,400 - 700 ,2.5 
Mounted M46 x 0.75 Threaded - Daylight Blue Filter,54-780,$47.5,Daylight Blue ,465.00 ,340.00 ,LB-120 ,Colored Glass ,2.5 ,80-50 ,M46 x 0.75 ,Mounted Imaging Filter ,400 - 700 ,2.5 
Mounted M49 x 0.75 Threaded - Daylight Blue Filter,54-781,$47.5,Daylight Blue ,465.00 ,340.00 ,LB-120 ,Colored Glass ,2.5 ,80-50 ,M49 x 0.75 ,Mounted Imaging Filter ,400 - 700 ,2.5 
Mounted M52 x 0.75 Threaded - Daylight Blue Filter,54-782,$47.5,Daylight Blue ,465.00 ,340.00 ,LB-120 ,Colored Glass ,2.5 ,80-50 ,M52 x 0.75 ,Mounted Imaging Filter ,400 - 700 ,2.5 
Mounted M58 x 0.75 Threaded - Daylight Blue Filter,54-783,$47.5,Daylight Blue ,465.00 ,340.00 ,LB-120 ,Colored Glass ,2.5 ,80-50 ,M58 x 0.75 ,Mounted Imaging Filter ,400 - 700 ,2.5 
Mounted M62 x 0.75  Threaded - Daylight Blue Filter,46-534,$51.5,Daylight Blue ,465.00 ,340.00 ,LB-120 ,Colored Glass ,2.5 ,80-50 ,M62 x 0.75 ,Mounted Imaging Filter ,400 - 700 ,2.5 
Mounted M72 x 0.75  Threaded - Daylight Blue Filter,46-537,$57.5,Daylight Blue ,465.00 ,340.00 ,LB-120 ,Colored Glass ,2.5 ,80-50 ,M72 x 0.75 ,Mounted Imaging Filter ,400 - 700 ,2.5 
