Title,Stock Number,Price,Type,Extinction Ratio,CA (mm),Wavelength Range (nm),Dia. (mm),Thickness (mm),Thickness with Mount (mm),Coating,Polarization,Transmission (%),Filter Thread,Construction,Substrate,Thickness of Compatible Optics (mm),Operating Temperature (°C)
M22.5 x 0.5 Mounted Linear Glass Polarizing Filter,58-649,$29,Mounted Imaging Filter ,Approx. 19:1 at 400nm Approx. 200:1 at 500nm ?2700:1 at 550-650nm Approx. 600:1 at 700nm ,18.5 ,400 - 700 ,24.00 ,8.00 ,10.0 ,Uncoated ,95% Efficency ,Single: 30  Crossed: 0.15 ,M22.5 x 0.5 ,Dichroic ,Float Glass ,4.5 ,-15 to +70 
M25.5 x 0.5 Mounted Linear Glass Polarizing Filter,46-575,$29,Mounted Imaging Filter ,Approx. 19:1 at 400nm Approx. 200:1 at 500nm ?2700:1 at 550-650nm Approx. 600:1 at 700nm ,22.5 ,400 - 700 ,27.50 ,8.00 ,10.0 ,Uncoated ,95% Efficency ,Single: 30  Crossed: 0.15 ,M25.5 x 0.5 ,Dichroic ,Float Glass ,,-15 to +70 
M27 x 0.5 Mounted Linear Glass Polarizing Filter,64-896,$29,Mounted Imaging Filter ,Approx. 19:1 at 400nm Approx. 200:1 at 500nm ?2700:1 at 550-650nm Approx. 600:1 at 700nm ,24.00 ,400 - 700 ,29.00 ,8.00 ,10.0 ,Uncoated ,95% Efficency ,Single: 30  Crossed: 0.15 ,M27 x 0.5 ,Dichroic ,Float Glass ,,-15 to +70 
M30.5 x 0.5 Mounted Linear Glass Polarizing Filter,46-574,$31,Mounted Imaging Filter ,Approx. 19:1 at 400nm Approx. 200:1 at 500nm ?2700:1 at 550-650nm Approx. 600:1 at 700nm ,25.5 ,400 - 700 ,32.50 ,8.00 ,10.0 ,Uncoated ,95% Efficency ,Single: 30  Crossed: 0.15 ,M30.5 x 0.5 ,Dichroic ,Float Glass ,4.0 ,-15 to +70 
M34 x 0.5 Mounted Linear Glass Polarizing Filter,64-897,$32,Mounted Imaging Filter ,Approx. 19:1 at 400nm Approx. 200:1 at 500nm ?2700:1 at 550-650nm Approx. 600:1 at 700nm ,31.00 ,400 - 700 ,36.00 ,8.00 ,10.0 ,Uncoated ,95% Efficency ,Single: 30  Crossed: 0.15 ,M34 x 0.5 ,Dichroic ,Float Glass ,,-15 to +70 
M35.5 x 0.5 Mounted Linear Glass Polarizing Filter,64-898,$33,Mounted Imaging Filter ,Approx. 19:1 at 400nm Approx. 200:1 at 500nm ?2700:1 at 550-650nm Approx. 600:1 at 700nm ,22.5 ,400 - 700 ,27.50 ,8.00 ,10.0 ,Uncoated ,95% Efficency ,Single: 30  Crossed: 0.15 ,M35.5 x 0.5 ,Dichroic ,Float Glass ,,-15 to +70 
M37 x 0.75 Mounted Linear Glass Polarizing Filter,52-556,$33,Mounted Imaging Filter ,Approx. 19:1 at 400nm Approx. 200:1 at 500nm ?2700:1 at 550-650nm Approx. 600:1 at 700nm ,34.00 ,400 - 700 ,39.00 ,8.00 ,10.0 ,Uncoated ,95% Efficency ,Single: 30  Crossed: 0.15 ,M37 x 0.75 ,Dichroic ,Float Glass ,,-15 to +70 
M37.5 x 0.5 Mounted Linear Glass Polarizing Filter,64-899,$33,Mounted Imaging Filter ,Approx. 19:1 at 400nm Approx. 200:1 at 500nm ?2700:1 at 550-650nm Approx. 600:1 at 700nm ,34.5 ,400 - 700 ,39.50 ,8.00 ,10.0 ,Uncoated ,95% Efficency ,Single: 30  Crossed: 0.15 ,M37.5 x 0.5 ,Dichroic ,Float Glass ,,-15 to +70 
M40.5 x 0.5 Mounted Linear Glass Polarizing Filter,53-999,$35,Mounted Imaging Filter ,Approx. 19:1 at 400nm Approx. 200:1 at 500nm ?2700:1 at 550-650nm Approx. 600:1 at 700nm ,37.5 ,400 - 700 ,42.50 ,8.00 ,10.0 ,Uncoated ,95% Efficency ,Single: 30  Crossed: 0.15 ,M40.5 x 0.5 ,Dichroic ,Float Glass ,,-15 to +70 
M42 x 0.75 Mounted Linear Glass Polarizing Filter,52-557,$35,Mounted Imaging Filter ,Approx. 19:1 at 400nm Approx. 200:1 at 500nm ?2700:1 at 550-650nm Approx. 600:1 at 700nm ,39.00 ,400 - 700 ,44.00 ,8.00 ,10.0 ,Uncoated ,95% Efficency ,Single: 30  Crossed: 0.15 ,M42 x 0.75 ,Dichroic ,Float Glass ,,-15 to +70 
