Title,Stock Number,Price,Glass/Filter Number,Cut-On Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),CA (mm),Coating,Color,Filter Thread,Substrate,Operating Temperature (°C),Outer Diameter (mm),Thickness with Mount (mm),Surface Quality,Type,Coating Specification,Surface Flatness
Mounted M22.5 x 0.5 - UV Cut-Off Filter,58-647,$25,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,21.0 ,Uncoated ,Clear ,M22.5 x 0.5 ,Hoya L-39 ,-15 to +70 ,24.0 ,5.00 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M25.5 x 0.5 - UV Cut-Off Filter,46-577,$30,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,21.0 ,Uncoated ,Clear ,M25.5 x 0.5 ,Hoya L-39 ,-15 to +70 ,27.5 ,7.00 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M27 x 0.5 - UV Cut-Off Filter,64-891,$30,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,22.0 ,Uncoated ,Clear ,M27 x 0.5 ,Hoya L-39 ,-15 to +70 ,29.0 ,5.00 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M30.5 x 0.5 - UV Cut-Off Filter,46-576,$30,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,25.5 ,Uncoated ,Clear ,M30.5 x 0.5 ,Hoya L-39 ,-15 to +70 ,32.5 ,4.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M34 x 0.5 - UV Cut-Off Filter,64-892,$30,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,29.0 ,Uncoated ,Clear ,M34 x 0.5 ,Hoya L-39 ,-15 to +70 ,37.0 ,5.00 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M37 x 0.75 - UV Cut-Off Filter,54-039,$30,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,32.0 ,Uncoated ,Clear ,M37 x 0.75 ,Hoya L-39 ,-15 to +70 ,39.0 ,4.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M37.5 x 0.5 - UV Cut-Off Filter,64-893,$30,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,32.5 ,Uncoated ,Clear ,M37.5 x 0.5 ,Hoya L-39 ,-15 to +70 ,39.5 ,5.00 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M39 x 0.5 - UV Cut-Off Filter,46-579,$31,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,34.0 ,Uncoated ,Clear ,M39 x 0.5 ,Hoya L-39 ,-15 to +70 ,41.0 ,4.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M40.5 x 0.5 - UV Cut-Off Filter,54-725,$31,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,37.0 ,Uncoated ,Clear ,M40.5 x 0.5 ,Hoya L-39 ,-15 to +70 ,42.0 ,5.00 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M43 x 0.75 - UV Cut-Off Filter,54-040,$31,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,39.5 ,Uncoated ,Clear ,M43 x 0.75 ,Hoya L-39 ,-15 to +70 ,45.0 ,4.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M46 x 0.75 - UV Cut-Off Filter,54-041,$31,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,41.0 ,Uncoated ,Clear ,M46 x 0.75 ,Hoya L-39 ,-15 to +70 ,48.0 ,4.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M48 x 0.75 - UV Cut-Off Filter,54-042,$31,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,43.0 ,Uncoated ,Clear ,M48 x 0.75 ,Hoya L-39 ,-15 to +70 ,50.0 ,4.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M49 x 0.75 - UV Cut-Off Filter,54-043,$31,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,44.0 ,Uncoated ,Clear ,M49 x 0.75 ,Hoya L-39 ,-15 to +70 ,51.0 ,4.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M52 x 0.75 - UV Cut-Off Filter,54-044,$33,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,47.0 ,Uncoated ,Clear ,M52 x 0.75 ,Hoya L-39 ,-15 to +70 ,54.0 ,4.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M55 x 0.75 - UV Cut-Off Filter,54-045,$33,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,50.0 ,Uncoated ,Clear ,M55 x 0.75 ,Hoya L-39 ,-15 to +70 ,57.0 ,4.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M58 x 0.75 - UV Cut-Off Filter,54-046,$33,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,53.0 ,Uncoated ,Clear ,M58 x 0.75 ,Hoya L-39 ,-15 to +70 ,60.0 ,4.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M62 x 0.75 - UV Cut-Off Filter,54-047,$36,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,57.0 ,Uncoated ,Clear ,M62 x 0.75 ,Hoya L-39 ,-15 to +70 ,65.0 ,5.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M67 x 0.75 - UV Cut-Off Filter,46-578,$41,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,62.0 ,Uncoated ,Clear ,M67 x 0.75 ,Hoya L-39 ,-15 to +70 ,69.0 ,5.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M72 x 0.75 - UV Cut-Off Filter,54-048,$36,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,67.0 ,Uncoated ,Clear ,M72 x 0.75 ,Hoya L-39 ,-15 to +70 ,75.0 ,5.50 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
Mounted M77 x 0.75 - UV Cut-Off Filter,64-894,$59,L-39 ,390 ,2.00 ,±0.2 ,350 - 2200 ,72.0 ,Uncoated ,Clear ,M77 x 0.75 ,Hoya L-39 ,-15 to +70 ,80.0 ,5.00 ,80-50 ,Mounted Imaging Filter ,Ravg >2% @ 500 - 700nm ,4 - 6? 
