Title,Stock Number,Price,Coating,CWL (nm),Dia. (mm),FWHM (nm),Optical Density OD,Surface Quality,Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,Construction,CA (%),Durability,Reflection at CWL (%),"Transmitted Wavefront, RMS",Mount Thickness (mm)
"355nm, 12.5mm Dia., OD 6 Blocking Notch Filter",39-386,$435,Hard Coated ,355 ,12.50 +0.0/-0.1,26 ,?6.0 ,60-40 ,±0.1 ,280 - 300nm: Tavg >50    300 - 700nm: Tavg >90 ,280 - 700 ,Notch Filter ,Mounted in Black Anodized Ring ,85 ,MIL-C-48497A ,>99.5 ,<1? ,3.5 
"355nm, 25mm Dia., OD 6 Blocking Notch Filter",39-387,$625,Hard Coated ,355 ,25.00 +0.0/-0.1,26 ,?6.0 ,60-40 ,±0.1 ,280 - 300nm: Tavg >50    300 - 700nm: Tavg >90 ,280 - 700 ,Notch Filter ,Mounted in Black Anodized Ring ,85 ,MIL-C-48497A ,>99.5 ,<1? ,3.5 
"355nm, 50mm Dia., OD 6 Blocking Notch Filter",39-388,$1395,Hard Coated ,355 ,50.00 +0.0/-0.1,26 ,?6.0 ,60-40 ,±0.1 ,280 - 300nm: Tavg >50    300 - 700nm: Tavg >90 ,280 - 700 ,Notch Filter ,Mounted in Black Anodized Ring ,85 ,MIL-C-48497A ,>99.5 ,<1? ,3.5 
"405nm, 12.5mm Dia., OD 6 Blocking Notch Filter",86-119,$435,Hard Coated ,405 ,12.50 +0.0/-0.1,9.00 ,?6.0 ,60-40 ,±0.1 ,350 - 400nm: Tavg >80   400 - 1200nm: Tavg >90 ,350 - 1200 ,Notch Filter ,Mounted in Black Anodized Ring ,85 ,MIL-C-48497A ,>99.5 ,<1? ,3.5 
"405nm, 25mm Dia., OD 6 Blocking Notch Filter",86-124,$625,Hard Coated ,405 ,25.00 +0.0/-0.1,9.00 ,?6.0 ,60-40 ,±0.1 ,350 - 400nm: Tavg >80   400 - 1200nm: Tavg >90 ,350 - 1200 ,Notch Filter ,Mounted in Black Anodized Ring ,85 ,MIL-C-48497A ,>99.5 ,<1? ,3.5 
"405nm, 50mm Dia., OD 6 Blocking Notch Filter",86-129,$1395,Hard Coated ,405 ,50.00 +0.0/-0.1,9.00 ,?6.0 ,60-40 ,±0.1 ,350 - 400nm: Tavg >80   400 - 1200nm: Tavg >90 ,350 - 1200 ,Notch Filter ,Mounted in Black Anodized Ring ,85 ,MIL-C-48497A ,>99.5 ,<1? ,3.5 
"532nm, 12.5mm Dia., OD 6 Blocking Notch Filter",86-120,$435,Hard Coated ,532 ,12.50 +0.0/-0.1,17.00 ,?6.0 ,60-40 ,±0.1 ,350 - 400nm: Tavg >80   400 - 1200nm: Tavg >90 ,350 - 1200 ,Notch Filter ,Mounted in Black Anodized Ring ,85 ,MIL-C-48497A ,>99.5 ,<1? ,3.5 
"532nm, 25mm Dia., OD 6 Blocking Notch Filter",86-125,$625,Hard Coated ,532 ,25.00 +0.0/-0.1,17.00 ,?6.0 ,60-40 ,±0.1 ,350 - 400nm: Tavg >80   400 - 1200nm: Tavg >90 ,350 - 1200 ,Notch Filter ,Mounted in Black Anodized Ring ,85 ,MIL-C-48497A ,>99.5 ,<1? ,3.5 
"532nm, 50mm Dia., OD 6 Blocking Notch Filter",86-130,$1395,Hard Coated ,532 ,50.00 +0.0/-0.1,17.00 ,?6.0 ,60-40 ,±0.1 ,350 - 400nm: Tavg >80   400 - 1200nm: Tavg >90 ,350 - 1200 ,Notch Filter ,Mounted in Black Anodized Ring ,85 ,MIL-C-48497A ,>99.5 ,<1? ,3.5 
"632.8nm, 12.5mm Dia., OD 6 Blocking Notch Filter",86-121,$435,Hard Coated ,632.8 ,12.50 +0.0/-0.1,25.00 ,?6.0 ,60-40 ,±0.1 ,350 - 400nm: Tavg >80   400 - 1200nm: Tavg >90 ,350 - 1200 ,Notch Filter ,Mounted in Black Anodized Ring ,85 ,MIL-C-48497A ,>99.5 ,<1? ,3.5 
