Title,Stock Number,Price,Coating,Color,Substrate,Operating Temperature (°C),Dimensions (mm),Thickness (mm),Transmission (%),Type,Dimensional Tolerance (mm)
"1"" Dia. Blue Optical Cast Plastic Filter",43-936,$10.5,Uncoated ,Blue ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",,1.50 ,>20 ,Color Filter ,±0.3 
"1"" Dia. Green Optical Cast Plastic Filter",43-930,$10.5,Uncoated ,Green ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",,1.50 ,>20 ,Color Filter ,±0.3 
"1"" Dia. Red Optical Cast Plastic Filter",43-942,$10.5,Uncoated ,Red ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",,1.50 ,>20 ,Color Filter ,±0.3 
"1"" x 1"" Blue Optical Cast Plastic Filter",43-939,$11.5,Uncoated ,Blue ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",25.4 x 25.4 ,1.50 ,>20 ,Color Filter ,±0.3 
"1"" x 1"" Green Optical Cast Plastic Filter",43-933,$11.5,Uncoated ,Green ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",25.4 x 25.4 ,1.50 ,>20 ,Color Filter ,±0.3 
"1"" x 1"" Red Optical Cast Plastic Filter",43-945,$11.5,Uncoated ,Red ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",25.4 x 25.4 ,1.50 ,>20 ,Color Filter ,±0.3 
"2"" Dia. Blue Optical Cast Plastic Filter",43-937,$13.5,Uncoated ,Blue ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",,1.50 ,>20 ,Color Filter ,±0.3 
"2"" Dia. Green Optical Cast Plastic Filter",43-931,$13.5,Uncoated ,Green ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",,1.50 ,>20 ,Color Filter ,±0.3 
"2"" Dia. Red Optical Cast Plastic Filter",43-943,$13.5,Uncoated ,Red ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",,1.50 ,>20 ,Color Filter ,±0.3 
"2"" x 2"" Blue Optical Cast Plastic Filter",43-940,$14.5,Uncoated ,Blue ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",50.8 x 50.8 ,1.50 ,>20 ,Color Filter ,±0.3 
"2"" x 2"" Green Optical Cast Plastic Filter",43-934,$14.5,Uncoated ,Green ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",50.8 x 50.8 ,1.50 ,>20 ,Color Filter ,±0.3 
"2"" x 2"" Red Optical Cast Plastic Filter",43-946,$14.5,Uncoated ,Red ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",50.8 x 50.8 ,1.50 ,>20 ,Color Filter ,±0.3 
"3"" Dia. Blue Optical Cast Plastic Filter",43-938,$16.5,Uncoated ,Blue ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",,1.50 ,>20 ,Color Filter ,±0.3 
"3"" Dia. Green Optical Cast Plastic Filter",43-932,$16.5,Uncoated ,Green ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",,1.50 ,>20 ,Color Filter ,±0.3 
"3"" Dia. Red Optical Cast Plastic Filter",43-944,$16.5,Uncoated ,Red ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",,1.50 ,>20 ,Color Filter ,±0.3 
"4"" x 5"" Blue Optical Cast Plastic Filter",43-941,$25.75,Uncoated ,Blue ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",101.6 x 127.0 ,1.50 ,>20 ,Color Filter ,±0.3 
"4"" x 5"" Green Optical Cast Plastic Filter",43-935,$16.5,Uncoated ,Green ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",101.6 x 127.0 ,1.50 ,>20 ,Color Filter ,±0.3 
"4"" x 5"" Red Optical Cast Plastic Filter",43-947,$25.75,Uncoated ,Red ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",101.6 x 127.0 ,1.50 ,>20 ,Color Filter ,±0.3 
"5"" x 7"" Blue Optical Cast Plastic Filter",46-626,$40,Uncoated ,Blue ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",127.0 x 177.8 ,1.50 ,>20 ,Color Filter ,±0.3 
"5"" x 7"" Green Optical Cast Plastic Filter",46-624,$40,Uncoated ,Green ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",127.0 x 177.8 ,1.50 ,>20 ,Color Filter ,±0.3 
"5"" x 7"" Red Optical Cast Plastic Filter",46-622,$40,Uncoated ,Red ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",127.0 x 177.8 ,1.50 ,>20 ,Color Filter ,±0.3 
"8"" x 10"" Blue Optical Cast Plastic Filter",46-627,$97.5,Uncoated ,Blue ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",203.2 x 254.0 ,1.50 ,>20 ,Color Filter ,±0.3 
"8"" x 10"" Green Optical Cast Plastic Filter",46-625,$97.5,Uncoated ,Green ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",203.2 x 254.0 ,1.50 ,>20 ,Color Filter ,±0.3 
"8"" x 10"" Red Optical Cast Plastic Filter",46-623,$97.5,Uncoated ,Red ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 for 1 Hour ",203.2 x 254.0 ,1.50 ,>20 ,Color Filter ,±0.3 
