Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Angle Sensitivity,Coating,Construction,Mount Thickness (mm),Operating Temperature (°C),Thickness (mm),Thickness Tolerance (mm),Type,Typical Applications
"694nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",43-090,$25,11.80 ±0.15,694.00 ,±2 ,10.00 ,±2 ,?50 ,200 - 1200 ,?3.0 ,>9.2 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,4.60 ,±0.5 ,Bandpass Filter ,Cu laser line 
"730nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",43-091,$25,11.80 ±0.15,730.00 ,±2 ,10.00 ,±2 ,?50 ,200 - 1200 ,?3.0 ,>9.2 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,5.10 ,±0.5 ,Bandpass Filter ,GaAlAs laser diode 
"766nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",43-092,$25,11.80 ±0.15,766.00 ,±2 ,10.00 ,±2 ,?50 ,200 - 1200 ,?3.0 ,>9.2 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,5.10 ,±0.5 ,Bandpass Filter ,K emission line 
"950nm CWL, 50nm FWHM, 11.8mm Unmounted Diameter ",45-671,$29.95,11.80 ±0.15,950.00 ,±10 ,50.00 ,±15 ,55.00 ,200 - 1200 ,?3.0 ,>9.2 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,5.10 ,±0.5 ,Bandpass Filter ,
"650nm CWL, 80nm FWHM, 11.8mm Unmounted Diameter ",46-153,$29.95,11.80 ±0.15,650.00 ,±15 ,80.00 ,±25 ,60.00 ,200 - 1200 ,?3.0 ,>9.2 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,4.60 ,±0.5 ,Bandpass Filter ,
"700nm CWL, 80nm FWHM, 11.8mm Unmounted Diameter ",46-154,$29.95,11.80 ±0.15,700.00 ,±15 ,80.00 ,±25 ,60.00 ,200 - 1200 ,?3.0 ,>9.2 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,5.10 ,±0.5 ,Bandpass Filter ,
"694nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",62-117,$25,12.70 ,694.00 ,±2 ,10.00 ,±2 ,?50 ,200 - 1200 ,?3.0 ,,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,9.6 ,-50 to +75 ,,±0.10 ,Bandpass Filter ,Cu laser line 
"730nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",62-118,$25,12.70 ,730.00 ,±2 ,10.00 ,±2 ,?50 ,200 - 1200 ,?3.0 ,,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,9.6 ,-50 to +75 ,,±0.10 ,Bandpass Filter ,GaAlAs laser diode 
"766nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",62-119,$25,12.70 ,766.00 ,±2 ,10.00 ,±2 ,?50 ,200 - 1200 ,?3.0 ,,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,9.6 ,-50 to +75 ,,±0.10 ,Bandpass Filter ,K emission line 
"337nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",62-070,$25,12.70 ,337.00 ,±2 ,10.00 ,±2 ,?25 ,200 - 1200 ,?3.0 ,,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,9.6 ,-50 to +75 ,,±0.10 ,Bandpass Filter ,N laser line 
"394nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",46-033,$25,11.80 ±0.15,394.00 ,±2 ,10.00 ,±2 ,?30 ,200 - 1200 ,?3.0 ,>9.2 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,6.10 ,±0.8 ,Bandpass Filter ,S emission line 
"394nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",62-073,$25,12.70 ,394.00 ,±2 ,10.00 ,±2 ,?30 ,200 - 1200 ,?3.0 ,,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,9.6 ,-50 to +75 ,,±0.10 ,Bandpass Filter ,S emission line 
"410nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",43-053,$25,11.80 ±0.15,410.00 ,±2 ,10.00 ,±2 ,?40 ,200 - 1200 ,?3.0 ,>9.2 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,4.80 ,±0.5 ,Bandpass Filter ,Clinical chemistry 
"430nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",43-056,$25,11.80 ±0.15,430.00 ,±2 ,10.00 ,±2 ,?40 ,200 - 1200 ,?3.0 ,>9.2 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,4.80 ,±0.5 ,Bandpass Filter ,Ar emission 
"436nm CWL, 10nm FWHM, 11.8mm Unmounted Diameter",43-057,$25,11.80 ±0.15,436.00 ,±2 ,10.00 ,±2 ,?40 ,200 - 1200 ,?3.0 ,>9.2 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,4.80 ,±0.5 ,Bandpass Filter ,Hg emission 
"436nm CWL, 10nm FWHM, 12.7mm Mounted Diameter",62-080,$25,12.70 ,436.00 ,±2 ,10.00 ,±2 ,?40 ,200 - 1200 ,?3.0 ,,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,9.6 ,-50 to +75 ,,±0.10 ,Bandpass Filter ,Hg emission 
"450nm CWL, 80nm FWHM, 12.7mm Mounted Diameter ",62-797,$29.95,12.70 ,450.00 ,±15 ,80.00 ,±25 ,60.00 ,200 - 1200 ,?3.0 ,,80-50 ,Intended for Collimated Input ,Traditional Coated ,,9.6 ,-50 to +75 ,,,Bandpass Filter ,
"450nm CWL, 10nm FWHM, 24.15mm Unmounted Diameter",43-111,$35,24.15 ±0.15,450.00 ,±2 ,10.00 ,±2 ,?45 ,200 - 1200 ,?3.0 ,>21.4 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,4.80 ,±0.5 ,Bandpass Filter ,Clinical chemistry 
"492nm CWL, 10nm FWHM, 24.15mm Unmounted Diameter",46-042,$35,24.15 ±0.15,492.00 ,±2 ,10.00 ,±2 ,?45 ,200 - 1200 ,?3.0 ,>21.4 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,,,-50 to +75 ,4.80 ,±0.5 ,Bandpass Filter ,Clinical chemistry 
