Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,P-Polarization Transmission (%),Reflection (%),Reflection Wavelength (nm),S-Polarization Transmission (%),Dimensions (mm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,Dimensional Tolerance (mm),"Transmitted Wavefront, RMS",Slope Factor (%),Cut-Off Tolerance (%),S-Polarization Reflection (%),P-Polarization Reflection (%),Coating Specification,Wavelength Range (nm)
"400nm, 12.5mm Diameter, Dichroic Shortpass Filter",69-176,$99,45 ,Hard Coated ,400 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,420 - 485 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 385 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 485 
"450nm, 12.5mm Diameter, Dichroic Shortpass Filter",69-177,$99,45 ,Hard Coated ,450 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,470 - 545 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 430 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 545 
"500nm, 12.5mm Diameter, Dichroic Shortpass Filter",69-178,$99,45 ,Hard Coated ,500 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,520 - 610 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 480 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 610 
"550nm, 12.5mm Diameter, Dichroic Shortpass Filter",69-179,$99,45 ,Hard Coated ,550 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,575 - 725 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 530 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 725 
"600nm, 12.5mm Diameter, Dichroic Shortpass Filter",69-180,$99,45 ,Hard Coated ,600 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,625 - 795 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 580 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 795 
"650nm, 12.5mm Diameter, Dichroic Shortpass Filter",69-181,$99,45 ,Hard Coated ,650 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,675 - 850 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 630 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 850 
"700nm, 12.5mm Diameter, Dichroic Shortpass Filter",69-182,$99,45 ,Hard Coated ,700 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,725 - 900 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 680 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 900 
"750nm, 12.5mm Diameter, Dichroic Shortpass Filter",69-183,$99,45 ,Hard Coated ,750 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,800 - 990 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 725 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 990 
"800nm, 12.5mm Diameter, Dichroic Shortpass Filter",69-184,$99,45 ,Hard Coated ,800 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,850 - 1050 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 775 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 1050 
"850nm, 12.5mm Diameter, Dichroic Shortpass Filter",69-185,$99,45 ,Hard Coated ,850 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,910 - 1110 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 820 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 1110 
"900nm, 12.5mm Diameter, Dichroic Shortpass Filter",69-186,$99,45 ,Hard Coated ,900 ,12.50 ,Fused Silica ,>80 ,>97 Average Polarization ,960 - 1170 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,465 - 865 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,465 - 1170 
"400nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",69-188,$99,45 ,Hard Coated ,400 ,,Fused Silica ,>80 ,>97 Average Polarization ,420 - 485 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 385 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 485 
"450nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",69-189,$99,45 ,Hard Coated ,450 ,,Fused Silica ,>80 ,>97 Average Polarization ,470 - 545 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 430 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 545 
"500nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",69-190,$99,45 ,Hard Coated ,500 ,,Fused Silica ,>80 ,>97 Average Polarization ,520 - 610 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 480 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 610 
"550nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",69-191,$99,45 ,Hard Coated ,550 ,,Fused Silica ,>80 ,>97 Average Polarization ,575 - 725 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 530 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 725 
"600nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",69-192,$99,45 ,Hard Coated ,600 ,,Fused Silica ,>80 ,>97 Average Polarization ,625 - 795 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 580 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 795 
"650nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",69-193,$99,45 ,Hard Coated ,650 ,,Fused Silica ,>80 ,>97 Average Polarization ,675 - 850 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 630 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 850 
"700nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",69-194,$99,45 ,Hard Coated ,700 ,,Fused Silica ,>80 ,>97 Average Polarization ,725 - 900 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 680 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 900 
"750nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",69-195,$99,45 ,Hard Coated ,750 ,,Fused Silica ,>80 ,>97 Average Polarization ,800 - 990 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 725 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 990 
"800nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",69-196,$99,45 ,Hard Coated ,800 ,,Fused Silica ,>80 ,>97 Average Polarization ,850 - 1050 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 775 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 1050 
"850nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",69-197,$99,45 ,Hard Coated ,850 ,,Fused Silica ,>80 ,>97 Average Polarization ,910 - 1110 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 820 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 1110 
"900nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",69-198,$99,45 ,Hard Coated ,900 ,,Fused Silica ,>80 ,>97 Average Polarization ,960 - 1170 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,465 - 865 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,465 - 1170 
"400nm, 25mm Diameter, Dichroic Shortpass Filter",69-200,$135,45 ,Hard Coated ,400 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,420 - 485 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 385 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 485 
"450nm, 25mm Diameter, Dichroic Shortpass Filter",69-201,$135,45 ,Hard Coated ,450 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,470 - 545 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 430 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 545 
"500nm, 25mm Diameter, Dichroic Shortpass Filter",69-202,$135,45 ,Hard Coated ,500 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,520 - 610 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 480 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 610 
"550nm, 25mm Diameter, Dichroic Shortpass Filter",69-203,$135,45 ,Hard Coated ,550 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,575 - 725 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 530 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 725 
"600nm, 25mm Diameter, Dichroic Shortpass Filter",69-204,$135,45 ,Hard Coated ,600 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,625 - 795 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 580 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 795 
"650nm, 25mm Diameter, Dichroic Shortpass Filter",69-205,$135,45 ,Hard Coated ,650 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,675 - 850 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 630 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 850 
