Title,Stock Number,Price,Dia. (mm),CWL (nm),FWHM (nm),Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Bandwidth (nm),Optical Density OD,CA (mm),Surface Quality,AOI (°),AOI Tolerance (°),Coating,Manufacturer,Mount Thickness (mm),OD 5 Blocking Wavelength Range (nm) ,OD 6 Blocking Wavelength Range (nm),Substrate,Thickness Tolerance (mm),"Transmitted Wavefront, RMS",Type
"340nm CWL, 12.5mm Dia, 26nm Bandwidth, OD 6 Fluorescence Filter",84-076,$195,12.50 +0.00/-0.10,340 ,29.00 ,75.00 ,250 - 1100 ,FURA2 Excitation ,26.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,362 - 580 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"340nm CWL, 25mm Dia, 26nm Bandwidth, OD 6 Fluorescence Filter",84-092,$260,25.00 +0.00/-0.10,340 ,29.00 ,75.00 ,250 - 1100 ,FURA2 Excitation ,26.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,362 - 580 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"340nm CWL, 50mm Dia, 26nm Bandwidth, OD 6 Fluorescence Filter",84-108,$675,50.00 +0.00/-0.10,340 ,29.00 ,75.00 ,250 - 1100 ,FURA2 Excitation ,26.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,362 - 580 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"357nm CWL, 12.5mm Dia, 44nm Bandwidth, OD 6 Fluorescence Filter",86-973,$195,12.50 +0.00/-0.10,357 ,48.00 ,75.00 ,250 - 1100 ,Tryptophan Emission ,44.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 320 & 383 - 500 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"357nm CWL, 25mm Dia, 44nm Bandwidth, OD 6 Fluorescence Filter",86-981,$260,25.00 +0.00/-0.10,357 ,48.00 ,75.00 ,250 - 1100 ,Tryptophan Emission ,44.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 320 & 383 - 500 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"357nm CWL, 50mm Dia, 44nm Bandwidth, OD 6 Fluorescence Filter",86-989,$675,50.00 +0.00/-0.10,357 ,48.00 ,75.00 ,250 - 1100 ,Tryptophan Emission ,44.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 320 & 383 - 500 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"370nm CWL, 12.5mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",86-974,$195,12.50 +0.00/-0.10,370 ,40.00 ,85.00 ,250 - 1100 ,Sirius Excitation ,36.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 340 & 394 - 800 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"370nm CWL, 25mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",86-982,$260,25.00 +0.00/-0.10,370 ,40.00 ,85.00 ,250 - 1100 ,Sirius Excitation ,36.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 340 & 394 - 800 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"370nm CWL, 50mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",86-990,$675,50.00 +0.00/-0.10,370 ,40.00 ,85.00 ,250 - 1100 ,Sirius Excitation ,36.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 340 & 394 - 800 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"377nm CWL, 12.5mm Dia, 50nm Bandwidth, OD 6 Fluorescence Filter",84-077,$195,12.50 +0.00/-0.10,377 ,54.00 ,85.00 ,250 - 1100 ,DAPI Excitation ,50.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,409 - 701 ,,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
