Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Optical Density OD,CA (mm),Surface Quality,Coating,Durability,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type
"400nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-640,$130,12.50 +0.0/-0.1,400.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"400nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-652,$205,25.00 +0.0/-0.1,400.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"400nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-664,$495,50.00 +0.0/-0.1,400.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"425nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-775,$130,12.50 +0.0/-0.1,425.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"8-Aminopyrene-1,3,6-Trisulfonic Acid Trisdoium Salt, Lucifer yellow, Aqua 431 ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"425nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-787,$205,25.00 +0.0/-0.1,425.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"8-Aminopyrene-1,3,6-Trisulfonic Acid Trisdoium Salt, Lucifer yellow, Aqua 432 ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"425nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-799,$495,50.00 +0.0/-0.1,425.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"8-Aminopyrene-1,3,6-Trisulfonic Acid Trisdoium Salt, Lucifer yellow, Aqua 433 ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"450nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-641,$130,12.50 +0.0/-0.1,450.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,StarLight Glacial Blue ,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"450nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-653,$205,25.00 +0.0/-0.1,450.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,StarLight Glacial Blue ,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"450nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-665,$495,50.00 +0.0/-0.1,450.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,StarLight Glacial Blue ,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"475nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-776,$130,12.50 +0.0/-0.1,475.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"4-[4-(Dimethylamino)Styryl]-N-MethylPyridinium, 4-Di-10-ASP, DiO ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"475nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-788,$205,25.00 +0.0/-0.1,475.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"4-[4-(Dimethylamino)Styryl]-N-MethylPyridinium, 4-Di-10-ASP, DiO ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"475nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-800,$495,50.00 +0.0/-0.1,475.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"4-[4-(Dimethylamino)Styryl]-N-MethylPyridinium, 4-Di-10-ASP, DiO ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"500nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-642,$130,12.50 +0.0/-0.1,500.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"BD Horizon V500, DiO, PKH67, Acridine Orange, ATTO 488, ratiometric pHluorin pH5 ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"500nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-654,$205,25.00 +0.0/-0.1,500.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"BD Horizon V500, DiO, PKH67, Acridine Orange, ATTO 488, ratiometric pHluorin pH6 ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"500nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-666,$495,50.00 +0.0/-0.1,500.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"BD Horizon V500, DiO, PKH67, Acridine Orange, ATTO 488, ratiometric pHluorin pH7 ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"525nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-777,$130,12.50 +0.0/-0.1,525.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"6-carboxyrhodamine, Envy Green, Eosin, TurboYFP, ATTO 488, Qdot 525 Nanocrystals, Surf Green ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"525nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-789,$205,25.00 +0.0/-0.1,525.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"6-carboxyrhodamine, Envy Green, Eosin, TurboYFP, ATTO 488, Qdot 525 Nanocrystals, Surf Green ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"525nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-801,$495,50.00 +0.0/-0.1,525.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"6-carboxyrhodamine, Envy Green, Eosin, TurboYFP, ATTO 488, Qdot 525 Nanocrystals, Surf Green ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"550nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-643,$130,12.50 +0.0/-0.1,550.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"HiLyte Fluor 555, Magnesium Orange, Acridine Yellow ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"550nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-655,$205,25.00 +0.0/-0.1,550.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"HiLyte Fluor 555, Magnesium Orange, Acridine Yellow ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"550nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-667,$495,50.00 +0.0/-0.1,550.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"HiLyte Fluor 555, Magnesium Orange, Acridine Yellow ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"575nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-778,$130,12.50 +0.0/-0.1,575.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"Bo-Pro 3, KFP-Red ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
