Title,Stock Number,Price,AOI (°),Coating,Dia. (mm),Substrate,Dimensions (mm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Type,Dimensional Tolerance (mm),Coating Specification,Wavelength Range (nm),Surface Flatness,Coating Type
"0° AOI, 12.5mm Diameter, Cold Mirror",64-433,$35,0 ,"Cold Mirror, 0° ",12.50 ,BOROFLOAT® ,,80-50 ,1.10 ,±0.2 ,Cold Mirror ,+0.0/-0.2 ,Ravg >95% @ 400 - 690nm and Tavg >90% @ 750 - 1200nm AR Coating: Ravg <1.0% @ 700 - 1150nm ,400 - 1150 ,4 - 6? ,Dielectric 
"0° AOI, 12.5mm Square, Cold Mirror",64-434,$35,0 ,"Cold Mirror, 0° ",,BOROFLOAT® ,12.5 x 12.5 ,80-50 ,1.10 ,±0.2 ,Cold Mirror ,+0.0/-0.2 ,Ravg >95% @ 400 - 690nm and Tavg >90% @ 750 - 1200nm AR Coating: Ravg <1.0% @ 700 - 1150nm ,400 - 1150 ,4 - 6? ,Dielectric 
"0° AOI, 20.0mm Diameter, Cold Mirror",64-435,$37.5,0 ,"Cold Mirror, 0° ",20.00 ,BOROFLOAT® ,,80-50 ,1.10 ,±0.2 ,Cold Mirror ,+0.0/-0.2 ,Ravg >95% @ 400 - 690nm and Tavg >90% @ 750 - 1200nm AR Coating: Ravg <1.0% @ 700 - 1150nm ,400 - 1150 ,4 - 6? ,Dielectric 
"0° AOI, 20.0mm Square, Cold Mirror",64-436,$37.5,0 ,"Cold Mirror, 0° ",,BOROFLOAT® ,20.0 x 20.0 ,80-50 ,1.10 ,±0.2 ,Cold Mirror ,+0.0/-0.2 ,Ravg >95% @ 400 - 690nm and Tavg >90% @ 750 - 1200nm AR Coating: Ravg <1.0% @ 700 - 1150nm ,400 - 1150 ,4 - 6? ,Dielectric 
"0° AOI, 25.0mm Diameter, Cold Mirror",64-437,$42.5,0 ,"Cold Mirror, 0° ",25.00 ,BOROFLOAT® ,,80-50 ,3.30 ,±0.2 ,Cold Mirror ,+0.0/-0.2 ,Ravg >95% @ 400 - 690nm and Tavg >90% @ 750 - 1200nm AR Coating: Ravg <1.0% @ 700 - 1150nm ,400 - 1150 ,4 - 6? ,Dielectric 
"0° AOI, 25.0mm Square, Cold Mirror",64-438,$42.5,0 ,"Cold Mirror, 0° ",,BOROFLOAT® ,25.0 x 25.0 ,80-50 ,3.30 ,±0.2 ,Cold Mirror ,+0.0/-0.2 ,Ravg >95% @ 400 - 690nm and Tavg >90% @ 750 - 1200nm AR Coating: Ravg <1.0% @ 700 - 1150nm ,400 - 1150 ,4 - 6? ,Dielectric 
"0° AOI, 35.0mm Square, Cold Mirror",64-439,$55,0 ,"Cold Mirror, 0° ",,BOROFLOAT® ,35.0 x 35.0 ,80-50 ,3.30 ,±0.2 ,Cold Mirror ,+0.0/-0.2 ,Ravg >95% @ 400 - 690nm and Tavg >90% @ 750 - 1200nm AR Coating: Ravg <1.0% @ 700 - 1150nm ,400 - 1150 ,4 - 6? ,Dielectric 
"0° AOI, 50.0mm Diameter, Cold Mirror",64-440,$79,0 ,"Cold Mirror, 0° ",50.00 ,BOROFLOAT® ,,80-50 ,3.30 ,±0.2 ,Cold Mirror ,+0.0/-0.2 ,Ravg >95% @ 400 - 690nm and Tavg >90% @ 750 - 1200nm AR Coating: Ravg <1.0% @ 700 - 1150nm ,400 - 1150 ,4 - 6? ,Dielectric 
"0° AOI, 50.0mm Square, Cold Mirror",64-441,$79,0 ,"Cold Mirror, 0° ",,BOROFLOAT® ,50.0 x 50.0 ,80-50 ,3.30 ,±0.2 ,Cold Mirror ,+0.0/-0.2 ,Ravg >95% @ 400 - 690nm and Tavg >90% @ 750 - 1200nm AR Coating: Ravg <1.0% @ 700 - 1150nm ,400 - 1150 ,4 - 6? ,Dielectric 
"0° AOI, 101 x 127mm, Cold Mirror",64-442,$175,0 ,"Cold Mirror, 0° ",,BOROFLOAT® ,101.0 x 127.0 ,80-50 ,3.30 ,±0.2 ,Cold Mirror ,+0.0/-0.2 ,Ravg >95% @ 400 - 690nm and Tavg >90% @ 750 - 1200nm AR Coating: Ravg <1.0% @ 700 - 1150nm ,400 - 1150 ,4 - 6? ,Dielectric 
