Title,Stock Number,Price,Dia. (mm),Dimensions (mm),Dimensional Tolerance (mm),Glass/Filter Number,Cut-On Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Coating,Color,Cut-Off Position ?c (nm),Density (g/cm3),Substrate,Passband Limit 1 ?p1 (nm),Passband Limit 2 ?p2 (nm),Spectral Transmittance tip (%),Stopband Limit ?s(nm),Surface Quality,Transformation Temperature (°C),Type,Wavelength,Reflection Factor Pd
"N-WG-280, 12.5mm Dia. Longpass Filter",64-509,$25,12.50 ,,±0.38 ,Schott N-WG280 ,285 ,3.00 ,±0.2 ,Uncoated ,Clear ,285±6 ,2.51 ,Colored Glass ,380.00 ,,99.00 ,230.00 ,80-50 ,558.00 ,Longpass Filter ,UV ,0.92 
N-WG-280 25.4mm Dia. Longpass Filter,64-510,$35,25.40 ,,±0.38 ,Schott N-WG280 ,285 ,3.00 ,±0.2 ,Uncoated ,Clear ,285±6 ,2.51 ,Colored Glass ,380.00 ,,99.00 ,230.00 ,80-50 ,558.00 ,Longpass Filter ,UV ,0.92 
"N-WG-280, 50.8mm Sq. Longpass Filter",64-511,$72.5,,50.8 x 50.8 ,±0.38 ,Schott N-WG280 ,285 ,3.00 ,±0.2 ,Uncoated ,Clear ,285±6 ,2.51 ,Colored Glass ,380.00 ,,99.00 ,230.00 ,80-50 ,558.00 ,Longpass Filter ,UV ,0.92 
"N-WG-280, 50mm Dia. Longpass Filter",66-071,$72.5,50.00 ,,±0.38 ,Schott N-WG 280 ,285 ,3.00 ,±0.2 ,Uncoated ,Clear ,285±6 ,2.51 ,Colored Glass ,380.00 ,,99.00 ,230.00 ,80-50 ,558.00 ,Longpass Filter ,UV ,0.92 
"N-WG-295, 12.5mm Dia. Longpass Filter",46-416,$25,12.50 ,,±0.38 ,Schott N-WG 295 ,300 ,3.00 ,±0.2 ,Uncoated ,Clear ,300±6 ,2.51 ,Colored Glass ,400.00 ,,99.00 ,250.00 ,80-50 ,565.00 ,Longpass Filter ,UV ,0.92 
"N-WG-295, 25.4mm Dia. Longpass Filter",46-417,$35,25.40 ,,±0.38 ,Schott WG 295 ,300 ,3.00 ,±0.2 ,Uncoated ,Clear ,300±6 ,2.51 ,Colored Glass ,400.00 ,,99.00 ,250.00 ,80-50 ,565.00 ,Longpass Filter ,UV ,0.92 
"N-WG-295, 50.8mm Sq. Longpass Filter",46-418,$72.5,,50.8 x 50.8 ,±0.38 ,Schott WG 295 ,300 ,3.00 ,±0.2 ,Uncoated ,Clear ,300±6 ,2.51 ,Colored Glass ,400.00 ,,99.00 ,250.00 ,80-50 ,565.00 ,Longpass Filter ,UV ,0.92 
"N-WG-295, 50mm Dia. Longpass Filter",66-072,$72.5,50.00 ,,±0.38 ,Schott N-WG 295 ,300 ,3.00 ,±0.2 ,Uncoated ,Clear ,300±6 ,2.51 ,Colored Glass ,400.00 ,,99.00 ,250.00 ,80-50 ,565.00 ,Longpass Filter ,UV ,0.92 
"N-WG-305, 12.5mm Dia. Longpass Filter",54-646,$25,12.50 ,,±0.38 ,Schott N-WG 305 ,309 ,3.00 ,±0.2 ,Uncoated ,Clear ,309±6 ,2.51 ,Colored Glass ,420.00 ,,99.00 ,260.00 ,80-50 ,562.00 ,Longpass Filter ,UV ,0.92 
"N-WG-305, 25.4mm Dia. Longpass Filter",45-066,$35,25.40 ,,±0.38 ,Schott WG 305 ,309 ,3.00 ,±0.2 ,Uncoated ,Clear ,309±6 ,2.51 ,Colored Glass ,420.00 ,,99.00 ,260.00 ,80-50 ,562.00 ,Longpass Filter ,UV ,0.92 
"N-WG-305, 50.8mm Sq. Longpass Filter",45-061,$72.5,,50.8 x 50.8 ,±0.38 ,Schott WG 305 ,309 ,3.00 ,±0.2 ,Uncoated ,Clear ,309±6 ,2.51 ,Colored Glass ,420.00 ,,99.00 ,260.00 ,80-50 ,562.00 ,Longpass Filter ,UV ,0.92 
"N-WG-305, 50mm Dia. Longpass Filter",66-073,$72.5,50.00 ,,±0.38 ,Schott N-WG 305 ,309 ,3.00 ,±0.2 ,Uncoated ,Clear ,309±6 ,2.51 ,Colored Glass ,420.00 ,,99.00 ,260.00 ,80-50 ,562.00 ,Longpass Filter ,UV ,0.92 
"N-WG-320, 12.5mm Dia. Longpass Filter",46-419,$25,12.50 ,,±0.38 ,Schott N-WG 320 ,320 ,3.00 ,±0.2 ,Uncoated ,Clear ,320±6 ,2.51 ,Colored Glass ,470.00 ,,99.00 ,280.00 ,80-50 ,563.00 ,Longpass Filter ,UV ,0.92 
"N-WG-320, 25.4mm Dia. Longpass Filter",46-420,$35,25.40 ,,±0.38 ,Schott WG 320 ,320 ,3.00 ,±0.2 ,Uncoated ,Clear ,320±6 ,2.51 ,Colored Glass ,470.00 ,,99.00 ,280.00 ,80-50 ,563.00 ,Longpass Filter ,UV ,0.92 
"N-WG-320, 50.8mm Sq. Longpass Filter",46-421,$72.5,,50.8 x 50.8 ,±0.38 ,Schott WG 320 ,320 ,3.00 ,±0.2 ,Uncoated ,Clear ,320±6 ,2.51 ,Colored Glass ,470.00 ,,99.00 ,280.00 ,80-50 ,563.00 ,Longpass Filter ,UV ,0.92 
"N-WG-320, 50mm Dia. Longpass Filter",66-074,$72.5,50.00 ,,±0.38 ,Schott N-WG 320 ,320 ,3.00 ,±0.2 ,Uncoated ,Clear ,320±6 ,2.51 ,Colored Glass ,470.00 ,,99.00 ,280.00 ,80-50 ,563.00 ,Longpass Filter ,UV ,0.92 
"L-37 (370nm), 12.5mm Dia. Longpass Filter ",66-038,$25,12.50 ,, +0/-0.25 ,Hoya L-37 ,370 ,2.50 ,±0.2 ,Uncoated ,Clear ,370±6 ,3.26 ,Colored Glass ,400.00 ,,93.00 ,323.00 ,80-50 ,440.00 ,Longpass Filter ,UV ,0.92 
"L-37 (370nm), 25.4mm Dia. Longpass Filter",66-049,$35,25.40 ,, +0/-0.25 ,Hoya L-37 ,370 ,2.50 ,±0.2 ,Uncoated ,Clear ,370±6 ,3.26 ,Colored Glass ,400.00 ,,93.00 ,323.00 ,80-50 ,440.00 ,Longpass Filter ,UV ,0.92 
