Title,Stock Number,Price,AOI (°),CA (mm),Coating,Cut-Off Wavelength (nm),Cut-On Wavelength (nm),Dia. (mm),Filter Thread,Substrate,Optical Density OD,Rejection Wavelength (nm),Thickness with Mount (mm),Surface Quality,Transmission (%),Transmission Wavelength (nm),Type,Stock No. of Unmounted Filter,Slope Factor (%),Cut-Off Tolerance (%),Coating Specification,Wavelength Range (nm)
400nm M25.5 x 0.5 Mounted Shortpass Filter,66-639,$125,0.00 ,22.0 ,Traditional Coated ,400.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,420 - 485 ,9.9 ,40-20 ,>85 ,250 - 385 ,Mounted Imaging Filter ,#47-285 ,±3 ,±2 ,,250 - 485 
450nm M25.5 x 0.5 Mounted Shortpass Filter,66-640,$125,0.00 ,22.0 ,Traditional Coated ,450.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,470 - 545 ,9.9 ,40-20 ,>85 ,250 - 430 ,Mounted Imaging Filter ,#47-286 ,±3 ,±2 ,,250 - 545 
500nm M25.5 x 0.5 Mounted Shortpass Filter,66-641,$125,0.00 ,22.0 ,Traditional Coated ,500.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,520 - 610 ,9.9 ,40-20 ,>85 ,250 - 480 ,Mounted Imaging Filter ,#47-287 ,±3 ,±2 ,,250 - 610 
550nm M25.5 x 0.5 Mounted Shortpass Filter,66-642,$125,0.00 ,22.0 ,Traditional Coated ,550.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,575 - 725 ,9.9 ,40-20 ,>85 ,400 - 530 ,Mounted Imaging Filter ,#47-288 ,±3 ,±2 ,,400 - 725 
600nm M25.5 x 0.5 Mounted Shortpass Filter,66-643,$125,0.00 ,22.0 ,Traditional Coated ,600.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,625 - 795 ,9.9 ,40-20 ,>85 ,400 - 580 ,Mounted Imaging Filter ,#47-289 ,±3 ,±2 ,,400 - 795 
650nm M25.5 x 0.5 Mounted Shortpass Filter,66-644,$125,0.00 ,22.0 ,Traditional Coated ,650.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,675 - 850 ,9.9 ,40-20 ,>85 ,400 - 630 ,Mounted Imaging Filter ,#47-290 ,±3 ,±2 ,,400 - 850 
700nm M25.5 x 0.5 Mounted Shortpass Filter,66-645,$125,0.00 ,22.0 ,Traditional Coated ,700.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,725 - 680 ,9.9 ,40-20 ,>85 ,400 - 680 ,Mounted Imaging Filter ,#47-291 ,±3 ,±2 ,,725 - 900 
750nm M25.5 x 0.5 Mounted Shortpass Filter,66-646,$125,0.00 ,22.0 ,Traditional Coated ,750.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,800 - 990 ,9.9 ,40-20 ,>85 ,400 - 725 ,Mounted Imaging Filter ,#47-585 ,±3 ,±2 ,,400 - 990 
800nm M25.5 x 0.5 Mounted Shortpass Filter,66-647,$125,0.00 ,22.0 ,Traditional Coated ,800.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,850 - 1050 ,9.9 ,40-20 ,>85 ,400 - 775 ,Mounted Imaging Filter ,#47-586 ,±3 ,±2 ,,400 - 1050 
850nm M25.5 x 0.5 Mounted Shortpass Filter,66-648,$125,0.00 ,22.0 ,Traditional Coated ,850.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,910 - 1110 ,9.9 ,40-20 ,>85 ,400 - 820 ,Mounted Imaging Filter ,#47-587 ,±3 ,±2 ,,400 - 1110 
900nm M25.5 x 0.5 Mounted Shortpass Filter,66-649,$125,0.00 ,22.0 ,Traditional Coated ,900.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,960 - 1170 ,9.9 ,40-20 ,>85 ,425 - 865 ,Mounted Imaging Filter ,#47-588 ,±3 ,±2 ,,425 - 1170 
950nm M25.5 x 0.5 Mounted Shortpass Filter,66-650,$125,0.00 ,22.0 ,Traditional Coated ,950.00 ,,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,1025 - 1235 ,9.9 ,40-20 ,>85 ,450 - 910 ,Mounted Imaging Filter ,#47-589 ,±3 ,±2 ,,450 - 1235 
400nm M30.5 x 0.5 Mounted Shortpass Filter,66-654,$125,0.00 ,22.0 ,Traditional Coated ,400.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,420 - 485 ,9.2 ,40-20 ,>85 ,250 - 385 ,Mounted Imaging Filter ,#47-285 ,±3 ,±2 ,,250 - 485 
450nm M30.5 x 0.5 Mounted Shortpass Filter,66-655,$125,0.00 ,22.0 ,Traditional Coated ,450.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,470 - 545 ,9.2 ,40-20 ,>85 ,250 - 430 ,Mounted Imaging Filter ,#47-286 ,±3 ,±2 ,,250 - 545 
500nm M30.5 x 0.5 Mounted Shortpass Filter,66-656,$125,0.00 ,22.0 ,Traditional Coated ,500.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,520 - 610 ,9.2 ,40-20 ,>85 ,250 - 480 ,Mounted Imaging Filter ,#47-287 ,±3 ,±2 ,,250 - 610 
550nm M30.5 x 0.5 Mounted Shortpass Filter,66-657,$125,0.00 ,22.0 ,Traditional Coated ,550.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,575 - 725 ,9.2 ,40-20 ,>85 ,400 - 530 ,Mounted Imaging Filter ,#47-288 ,±3 ,±2 ,,400 - 725 
600nm M30.5 x 0.5 Mounted Shortpass Filter,66-658,$125,0.00 ,22.0 ,Traditional Coated ,600.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,625 - 795 ,9.2 ,40-20 ,>85 ,400 - 580 ,Mounted Imaging Filter ,#47-289 ,±3 ,±2 ,,400 - 795 
650nm M30.5 x 0.5 Mounted Shortpass Filter,66-659,$125,0.00 ,22.0 ,Traditional Coated ,650.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,675 - 850 ,9.2 ,40-20 ,>85 ,400 - 630 ,Mounted Imaging Filter ,#47-290 ,±3 ,±2 ,,400 - 850 
