Title,Stock Number,Price,Blocking Wavelength Range (nm),CA (mm),Coating,Filter Thread,Color,CWL (nm),FWHM (nm),Note,Optical Density OD,Outer Diameter (mm),Substrate Thickness (mm),Transmission (%),Type,Wavelength Range (?m)
Light Red M25.5 x 0.50 Imaging Filter,89-814,$135,200 - 1050 ,21.5 ,Hard Coated ,M25.5 x 0.50 ,Light Red ,634 ,70.00 ,OD ?3.0 @ 200 - 550nm  OD ?4.0 @ 700 - 1050nm ,?3.0 ,27.5 ,1.75 ±0.10 ,93 avg ,Mounted Imaging Filter ,
Dark Red M25.5 x 0.50 Machine Vision Filter,89-824,$135,200 - 1120 ,21.5 ,Hard Coated ,M25.5 x 0.50 ,Dark Red ,660 ,66.00 ,OD ?3.0 @ 200 - 550nm OD ?4.0 @ 720 - 1120nm ,?3.0 ,27.5 ,1.75 ±0.10 ,94 avg ,Mounted Imaging Filter ,
Green M25.5 x 0.50 Imaging Filter,89-784,$145,200 - 1000 ,21.5 ,Hard Coated ,M25.5 x 0.50 ,Green ,524 ,92.00 ,OD ?3.0 @ 200 - 450nm OD ?4.0 @ 600 - 1000nm ,?3.0 ,27.5 ,1.75 ±0.10 ,94 avg ,Mounted Imaging Filter ,
Blue M25.5 x 0.50 Imaging Filter,89-764,$135,200 - 1200 ,21.5 ,Hard Coated ,M25.5 x 0.50 ,Blue ,470 ,85.00 ,OD ?3.0 @ 200 - 400nm OD ?4.0 @ 550 - 1200nm ,?3.0 ,27.5 ,1.75 ±0.10 ,95 avg ,Mounted Imaging Filter ,
UV/VIS Cut-Off  M25.5 x 0.50 Imaging Filter,89-834,$135,200 - 1200 ,21.5 ,Hard Coated ,M25.5 x 0.50 ,UV/VIS Cut ,880 ,135.00 ,OD ?3.0 @ 200 - 750nm OD ?4.0 @ 1000 - 1200nm ,?3.0 ,27.5 ,1.75 ±0.10 ,96 avg ,Mounted Imaging Filter ,
UV/IR Cut-Off M25.5 x 0.50 Machine Vision Filter,89-794,$135,200 - 1100 ,21.5 ,Hard Coated ,M25.5 x 0.50 ,UV/IR Cut ,548 ,290.00 ,OD ?3.0 @ 200 - 370nm OD ?4.0 @ 750 - 1100nm ,?3.0 ,27.5 ,1.75 ±0.10 ,95 avg ,Mounted Imaging Filter ,
Light Red M30.5 x 0.50 Machine Vision Filter,89-815,$145,200 - 1050 ,26.5 ,Hard Coated ,M30.5 x 0.50 ,Light Red ,634 ,70.00 ,OD ?3.0 @ 200 - 550nm OD ?4.0 @ 700 - 1050nm ,?3.0 ,32.5 ,1.75 ±0.10 ,93 avg ,Mounted Imaging Filter ,
Dark Red M30.5 x 0.50 Machine Vision Filter,89-825,$145,200 - 1120 ,26.5 ,Hard Coated ,M30.5 x 0.50 ,Dark Red ,660 ,66.00 ,OD ?3.0 @ 200 - 550nm OD ?4.0 @ 720 - 1120nm ,?3.0 ,32.5 ,1.75 ±0.10 ,94 avg ,Mounted Imaging Filter ,
Green M30.5 x 0.50 Machine Vision Filter,89-785,$145,200 - 1000 ,26.5 ,Hard Coated ,M30.5 x 0.50 ,Green ,524 ,92.00 ,OD ?3.0 @ 200 - 450nm OD ?4.0 @ 600 - 1000nm ,?3.0 ,32.5 ,1.75 ±0.10 ,94 avg ,Mounted Imaging Filter ,
Blue M30.5 x 0.50 Machine Vision Filter,89-765,$145,200 - 1200 ,26.5 ,Hard Coated ,M30.5 x 0.50 ,Blue ,470 ,85.00 ,OD ?3.0 @ 200 - 400nm OD ?4.0 @ 550 - 1200nm ,?3.0 ,32.5 ,1.75 ±0.10 ,95 avg ,Mounted Imaging Filter ,
