Title,Stock Number,Price,Glass/Filter Number,Cut-On Wavelength (nm),Cut-Off Wavelength (nm),Wavelength Range (nm),Wavelength Range (?m),CA (mm),Filter Thread,Substrate,Thickness of Compatible Optics (mm),Outer Diameter (mm),Index of Refraction nd,Thickness with Mount (mm),Surface Quality,Type,Note,Coating Specification
M25.5 x 0.5 Mounted IR Cut-Off Filter,49-800,$160,KG-3 ,,<750 ,300 - 2700 ,0.3 - 2.7 ,20.8 ,M25.5 x 0.5 ,Schott KG-3 ,2.0 ,27.0 ,1.52 ,6.4 ,60-40 ,Mounted Imaging Filter ,AR Coating: Both Surfaces Multilayer Broadband AR ,
M25.5 x 0.5 Mounted UV/IR Cut-Off Filter,49-808,$175,,390.00 ,690.00 ,,,20.8 ,M25.5 x 0.5 ,Float Glass ,2.0 ,27.0 ,"1.52 Subtate, Varies by Layer ",6.4 ,60-40 ,Mounted Imaging Filter ,AR Coating: Both Surfaces Multi-Layer ,
M25.5 x 0.5 Mounted UV/VIS Cut-Off Filter (R-72),65-796,$67.5,R-72 ,720.00 ,2750.00 ,,,20.8 ,M25.5 x 0.5 ,Hoya R-72 ,2.5 ,27.0 ,1.55 ,5.0 ,80-50 ,Mounted Imaging Filter ,AR Coating: Both Surfaces Single Layer MgF2 ,Ravg ?1.75% @ 400 - 700nm 
M30.5 x 0.5 Mounted IR Cut-Off Filter,49-801,$160,KG-3 ,,<750 ,300 - 2700 ,0.3 - 2.7 ,28.0 ,M30.5 x 0.5 ,Schott KG-3 ,2.0 ,32.0 ,1.52 ,6.4 ,60-40 ,Mounted Imaging Filter ,AR Coating: Both Surfaces Multilayer Broadband AR ,
M30.5 x 0.5 Mounted UV/IR Cut-Off Filter,49-809,$175,,390.00 ,690.00 ,,,28.0 ,M30.5 x 0.5 ,Float Glass ,2.0 ,32.0 ,"1.52 Subtate, Varies by Layer ",6.4 ,60-40 ,Mounted Imaging Filter ,AR Coating: Both Surfaces Multi-Layer ,
M30.5 x 0.5 Mounted UV/VIS Cut-Off Filter (R-72),65-797,$67.5,R-72 ,720 ,2750 ,,,25.8 ,M30.5 x 0.5 ,Hoya R-72 ,2.5 ,32.0 ,1.55 ,6.4 ,80-50 ,Mounted Imaging Filter ,AR Coating: Both Surfaces Single Layer MgF2 ,Ravg ?1.75% @ 400 - 700nm 
M37 x 0.75 Mounted IR Cut-Off Filter,49-802,$165,KG-3 ,,<750 ,300 - 2700 ,0.3 - 2.7 ,31.8 ,M37 x 0.75 ,Schott KG-3 ,2.0 ,39.0 ,1.52 ,7.0 ,60-40 ,Mounted Imaging Filter ,AR Coating: Both Surfaces Multilayer Broadband AR ,
M37 x 0.75 Mounted UV/IR Cut-Off Filter,49-810,$180,,390.00 ,690.00 ,,,31.8 ,M37 x 0.75 ,Float Glass ,2.0 ,39.0 ,"1.52 Subtate, Varies by Layer ",7.0 ,60-40 ,Mounted Imaging Filter ,AR Coating: Both Surfaces Multi-Layer ,
M39 x 0.5 Mounted IR Cut-Off Filter,49-803,$165,KG-3 ,,<750 ,300 - 2700 ,0.3 - 2.7 ,33.8 ,M39 x 0.5 ,Schott KG-3 ,2.0 ,40.5 ,1.52 ,6.4 ,60-40 ,Mounted Imaging Filter ,AR Coating: Both Surfaces Multilayer Broadband AR ,
M39 x 0.5 Mounted UV/IR Cut-Off Filter,49-811,$180,,390.00 ,690.00 ,,,33.8 ,M39 x 0.5 ,Float Glass ,2.0 ,40.5 ,"1.52 Subtate, Varies by Layer ",6.4 ,60-40 ,Mounted Imaging Filter ,AR Coating: Both Surfaces Multi-Layer ,
