Title,Stock Number,Price,Dia. (mm),Dimensions (mm),Dimensional Tolerance (mm),Cut-On Wavelength (nm),Reflection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),Coating,Substrate,Reflection (%),Surface Quality,Transmission (%),Type,"Transmitted Wavefront, RMS",AOI Tolerance (°)
"403 & 502nm, 12.5 x 17.6mm, Multi-Edge Dichroic Filter",87-264,$125,,12.5 x 17.6 ,+0.00/-0.10 ,403 & 502 ,350 - 393 & 466 - 495 ,414 - 452 & 510 - 700 ,1.05 ,±1.0 ,350 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"403 & 502nm, 25.0mm Dia., Multi-Edge Dichroic Filter",87-272,$150,25.00 ,,+0.00/-0.10 ,403 & 502 ,350 - 393 & 466 - 495 ,414 - 452 & 510 - 700 ,1.05 ,±1.0 ,350 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"403 & 502nm, 25.2 x 35.6mm, Multi-Edge Dichroic Filter",87-280,$150,,25.2 x 35.6 ,+0.00/-0.10 ,403 & 502 ,350 - 393 & 466 - 495 ,414 - 452 & 510 - 700 ,1.05 ,±1.0 ,350 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"493 & 574nm, 12.5mm Dia., Multi-Edge Dichroic Filter",87-257,$125,12.50 ,,+0.00/-0.10 ,493 & 574 ,400 - 480 & 541 - 565 ,500 - 529 & 584 - 700 ,1.05 ,±1.0 ,400 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"493 & 574nm, 12.5 x 17.6mm, Multi-Edge Dichroic Filter",87-265,$125,,12.5 x 17.6 ,+0.00/-0.10 ,493 & 574 ,400 - 480 & 541 - 565 ,500 - 529 & 584 - 700 ,1.05 ,±1.0 ,400 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"493 & 574nm, 25.0mm Dia., Multi-Edge Dichroic Filter",87-273,$150,25.00 ,,+0.00/-0.10 ,493 & 574 ,400 - 480 & 541 - 565 ,500 - 529 & 584 - 700 ,1.05 ,±1.0 ,400 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"493 & 574nm, 25.2 x 35.6mm, Multi-Edge Dichroic Filter",87-281,$150,,25.2 x 35.6 ,+0.00/-0.10 ,493 & 574 ,400 - 480 & 541 - 565 ,500 - 529 & 584 - 700 ,1.05 ,±1.0 ,400 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"505 & 606nm, 12.5mm Dia., Multi-Edge Dichroic Filter",87-258,$125,12.50 ,,+0.00/-0.10 ,505 & 606 ,400 - 499 & 570 - 600 ,509 - 541 & 612 - 700 ,1.05 ,±1.0 ,400 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"505 & 606nm, 12.5 x 17.6mm, Multi-Edge Dichroic Filter",87-266,$125,,12.5 x 17.6 ,+0.00/-0.10 ,505 & 606 ,400 - 499 & 570 - 600 ,509 - 541 & 612 - 700 ,1.05 ,±1.0 ,400 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"505 & 606nm, 25.2 x 35.6mm, Multi-Edge Dichroic Filter",87-282,$150,,25.2 x 35.6 ,+0.00/-0.10 ,505 & 606 ,400 - 499 & 570 - 600 ,509 - 541 & 612 - 700 ,1.05 ,±1.0 ,400 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
