Title,Stock Number,Price,Dia. (mm),Dimensions (mm),Dimensional Tolerance (mm),Surface Quality,Coating,Density (g/cm3),Glass/Filter Number,Operating Temperature (°C),Reflection Factor Pd,Substrate,Thickness (mm),Thickness Tolerance (mm),Type,Wavelength Range (nm)
12.5 x 12.5mm KG-1 Heat Absorbing Glass,45-720,$23.5,,12.5 x 12.5 ,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-1 ,300 Maximum ,0.92 ,Schott KG-1 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
12.5mm Dia. KG-1 Heat Absorbing Glass,45-719,$23.5,12.50 ,,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-1 ,300 Maximum ,0.92 ,Schott KG-1 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
25mm Dia. KG-1 Heat Absorbing Glass,45-646,$30.5,25.00 ,,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-1 ,300 Maximum ,0.92 ,Schott KG-1 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
25 x 25mm KG-1 Heat Absorbing Glass,45-647,$30.5,,25.0 x 25.0 ,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-1 ,300 Maximum ,0.92 ,Schott KG-1 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
50mm Dia. KG-1 Heat Absorbing Glass,45-648,$61.5,50.00 ,,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-1 ,300 Maximum ,0.92 ,Schott KG-1 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
50 x 50mm KG-1 Heat Absorbing Glass,45-649,$61.5,,50.0 x 50.0 ,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-1 ,300 Maximum ,0.92 ,Schott KG-1 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
75 x 75mm KG-1 Heat Absorbing Glass,45-721,$142.5,,75.0 x 75.0 ,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-1 ,300 Maximum ,0.92 ,Schott KG-1 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
12.5mm Dia. KG-3 Heat Absorbing Glass,49-087,$23.5,12.50 ,,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-3 ,300 Maximum ,0.92 ,Schott KG-3 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
25mm Dia. KG-3 Heat Absorbing Glass,49-088,$36.5,25.00 ,,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-3 ,300 Maximum ,0.92 ,Schott KG-3 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
25 x 25mm KG-3 Heat Absorbing Glass,49-089,$36.5,,25.0 x 25.0 ,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-3 ,300 Maximum ,0.92 ,Schott KG-3 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
50mm Dia. KG-3 Heat Absorbing Glass,49-090,$72.5,50.00 ,,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-3 ,300 Maximum ,0.92 ,Schott KG-3 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
50 x 50mm KG-3 Heat Absorbing Glass,49-091,$72.5,,50.0 x 50.0 ,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-3 ,300 Maximum ,0.92 ,Schott KG-3 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
12.5mm Dia. KG-5 Heat Absorbing Glass,49-092,$25.5,12.50 ,,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-5 ,300 Maximum ,0.92 ,Schott KG-5 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
25mm Dia. KG-5 Heat Absorbing Glass,49-093,$41.5,25.00 ,,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-5 ,300 Maximum ,0.92 ,Schott KG-5 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
25 x 25mm KG-5 Heat Absorbing Glass,49-094,$41.5,,25.0 x 25.0 ,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-5 ,300 Maximum ,0.92 ,Schott KG-5 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
50mm Dia. KG-5 Heat Absorbing Glass,49-095,$82.5,50.00 ,,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-5 ,300 Maximum ,0.92 ,Schott KG-5 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
50 x 50mm KG-5 Heat Absorbing Glass,49-096,$82.5,,50.0 x 50.0 ,±0.25 ,60-40 ,Uncoated ,2.53 ,KG-5 ,300 Maximum ,0.92 ,Schott KG-5 ,3.00 ,±0.38 ,IR Cut-Off Filter ,300 - 2700 
