Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,Optical Density OD,Rejection Wavelength (nm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,CA (%),"Transmitted Wavefront, P-V",Slope Factor (%),Cut-Off Tolerance (%),Wavelength Range (nm)
"400nm 12.5mm Diameter, OD 2 Shortpass Filter",47-810,$89,0 ,Traditional Coated ,400.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,420 - 485 ,40-20 ,1.50 ,±0.1 ,>85 ,250 - 385 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 485 
"400nm 25mm Diameter, OD 2 Shortpass Filter",47-285,$125,0 ,Traditional Coated ,400.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,420 - 485 ,40-20 ,3.00 ,±0.1 ,>85 ,250 - 385 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 485 
"400nm 50mm Diameter, OD 2 Shortpass Filter",64-661,$195,0 ,Traditional Coated ,400.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,420 - 485 ,40-20 ,5.00 ,±0.1 ,>85 ,250 - 385 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 485 
"425nm 12.5mm Diameter, OD 2 Shortpass Filter",64-592,$89,0 ,Traditional Coated ,425.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,445 - 510 ,40-20 ,1.50 ,±0.1 ,>85 ,250 - 410 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 510 
"425nm 25mm Diameter, OD 2 Shortpass Filter",64-600,$125,0 ,Traditional Coated ,425.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,445 - 510 ,40-20 ,3.00 ,±0.1 ,>85 ,250 - 410 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 510 
"425nm 50mm Diameter, OD 2 Shortpass Filter",64-608,$195,0 ,Traditional Coated ,425.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,445 - 510 ,40-20 ,5.00 ,±0.1 ,>85 ,250 - 410 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 510 
"450nm 12.5mm Diameter, OD 2 Shortpass Filter",47-811,$89,0 ,Traditional Coated ,450.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,470 - 545 ,40-20 ,1.50 ,±0.1 ,>85 ,250 - 430 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 545 
"450nm 25mm Diameter, OD 2 Shortpass Filter",47-286,$125,0 ,Traditional Coated ,450.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,470 - 545 ,40-20 ,3.00 ,±0.1 ,>85 ,250 - 430 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 545 
"450nm 50mm Diameter, OD 2 Shortpass Filter",64-662,$195,0 ,Traditional Coated ,450.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,470 - 545 ,40-20 ,5.00 ,±0.1 ,>85 ,250 - 430 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 545 
"475nm 12.5mm Diameter, OD 2 Shortpass Filter",64-593,$89,0 ,Traditional Coated ,475.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,495 - 570 ,40-20 ,1.50 ,±0.1 ,>85 ,250 - 455 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 570 
