Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Angle Sensitivity,Coating,Construction,Mount Thickness (mm),Operating Temperature (°C),Thickness Tolerance (mm),Type,Typical Applications
"193nm CWL, 15nm FWHM, 12.5mm Mounted Diameter",67-732,$165,12.50 +0.00/-0.25,193 ,±3.5 ,15.00 ,±3 ,>12 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,ArF Laser Line 
"193nm CWL, 15nm FWHM, 25mm Mounted Diameter",67-799,$265,25.00 +0.00/-0.25,193 ,±3.5 ,15.00 ,±3 ,>12 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,ArF Laser Line 
"193nm CWL, 15nm FWHM, 50mm Mounted Diameter",67-866,$425,50.00 +0.00/-0.25,193 ,±3.5 ,15.00 ,±3 ,>12 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,ArF Laser Line 
"200nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-733,$165,12.50 +0.00/-0.25,200 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"200nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-800,$265,25.00 +0.00/-0.25,200 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"200nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-867,$425,50.00 +0.00/-0.25,200 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"214nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-734,$165,12.50 +0.00/-0.25,214 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Zn Emission Line 
"214nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-801,$265,25.00 +0.00/-0.25,214 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Zn Emission Line 
"214nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-868,$425,50.00 +0.00/-0.25,214 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Zn Emission Line 
"220nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-735,$165,12.50 +0.00/-0.25,220 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Clinical Chemistry 
"220nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-802,$265,25.00 +0.00/-0.25,220 ,+3.0/-0.0 ,10 ,±2 ,>12 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +50 ,,Bandpass Filter ,Clinical Chemistry 
"220nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-869,$425,50.00 +0.00/-0.25,220 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Clinical Chemistry 
"228nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-736,$165,12.50 +0.00/-0.25,228 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Cd Emission Line 
