Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Angle Sensitivity,Coating,Construction,Mount Thickness (mm),Operating Temperature (°C),Thickness Tolerance (mm),Type,Typical Applications
"1050nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-783,$179,25.00 +0.00/-0.25,1050 ,±2 ,12 ,±2 ,>70 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1050nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-769,$95,12.50 +0.00/-0.25,1050 ,±2 ,10 ,±2 ,>70 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1000nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-782,$179,25.00 +0.00/-0.25,1000 ,±2 ,12 ,±2 ,>70 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1000nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-768,$95,12.50 +0.00/-0.25,1000 ,±2 ,10 ,±2 ,>70 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"700nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-771,$79,12.50 +0.00/-0.25,700 ,+3.0/-0.0 ,10.00 ,±2 ,>55 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"700nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-838,$120,25.00 +0.00/-0.25,700 ,+3.0/-0.0 ,10.00 ,>55 ,>55 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"700nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-905,$265,50.00 +0.00/-0.25,700 ,+3.0/-0.0 ,10.00 ,±2 ,>55 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"700nm CWL, 80nm FWHM, 12.5mm Mounted Diameter",65-738,$79,12.50 +0.00/-0.25,700 ,±15 ,80.00 ,±25 ,?60 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Clinical Chemistry 
"700nm CWL, 80nm FWHM, 25mm Mounted Diameter",65-747,$120,25.00 +0.00/-0.25,700 ,±15 ,80.00 ,±25 ,?60 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Clinical Chemistry 
"700nm CWL, 80nm FWHM, 50mm Mounted Diameter",87-194,$265,50.00 +0.00/-0.25 ,700 ,±15 ,80.00 ,±25 ,?60 ,200 - Far IR ,?3.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5  ,-50 to +75  ,±0.1  ,Bandpass Filter ,Clinical Chemistry 
