"","wave","value"
"1",339.483,-709.94
"2",339.86,-514.28
"3",340.237,-487.61
"4",340.615,-318.34
"5",340.992,-261.67
"6",341.37,-163.22
"7",341.747,-138.09
"8",342.124,-156.21
"9",342.501,-90.45
"10",342.878,-12.57
"11",343.256,84.01
"12",343.633,185.28
"13",344.01,302.03
"14",344.387,279.6
"15",344.764,309.41
"16",345.141,314.74
"17",345.518,228.6
"18",345.895,238.17
"19",346.272,616.55
"20",346.649,577.24
"21",347.025,496.51
"22",347.402,444.86
"23",347.779,480.59
"24",348.156,535.6
"25",348.532,553.86
"26",348.909,523.76
"27",349.286,474.23
"28",349.662,487.31
"29",350.039,505.72
"30",350.415,494.17
"31",350.792,431.93
"32",351.168,450.48
"33",351.545,454.28
"34",351.921,15.27
"35",352.297,-3.66
"36",352.674,-18.12
"37",353.05,-14.62
"38",353.426,-61.52
"39",353.803,-22.36
"40",354.179,-21.12
"41",354.555,36.89
"42",354.931,148.45
"43",355.307,171.91
"44",355.683,211.94
"45",356.059,215.3
"46",356.435,294.14
"47",356.811,251.98
"48",357.187,250.37
"49",357.563,260.82
"50",357.939,324.38
"51",358.315,524.13
"52",358.691,544.15
"53",359.066,610.27
"54",359.442,545.17
"55",359.818,568.48
"56",360.194,529.02
"57",360.569,415.78
"58",360.945,374.58
"59",361.32,383.34
"60",361.696,407.23
"61",362.071,291.87
"62",362.447,312.25
"63",362.822,327.23
"64",363.198,300.2
"65",363.573,260.53
"66",363.948,76.64
"67",364.324,348.93
"68",364.699,341.55
"69",365.074,393.64
"70",365.449,387.36
"71",365.825,365
"72",366.2,345.5
"73",366.575,312.69
"74",366.95,266.96
"75",367.325,239.71
"76",367.7,293.41
"77",368.075,274.41
"78",368.45,340.75
"79",368.825,349
"80",369.2,409.86
"81",369.575,519.82
"82",369.949,276.24
"83",370.324,235.61
"84",370.699,158.24
"85",371.074,208.14
"86",371.448,204.86
"87",371.823,236.49
"88",372.197,262.06
"89",372.572,221.22
"90",372.947,206.17
"91",373.321,151.67
"92",373.695,602.67
"93",374.07,555.91
"94",374.444,537.28
"95",374.819,465.17
"96",375.193,332.2
"97",375.567,284.2
"98",375.942,258.12
"99",376.316,435.43
"100",376.69,347.18
"101",377.064,444.64
"102",377.438,447.42
"103",377.812,407.31
"104",378.186,496.88
"105",378.56,560.81
"106",378.934,761.79
"107",379.308,357.19
"108",379.682,341.92
"109",380.056,347.54
"110",380.43,330.89
"111",380.804,345.72
"112",381.178,403.14
"113",381.551,404.38
"114",381.925,277.7
"115",382.299,263.01
"116",382.672,178.04
"117",383.046,283.98
"118",383.42,332.13
"119",383.793,225.82
"120",384.167,181.62
"121",384.54,50.77
"122",384.914,50.77
"123",385.287,101.48
"124",385.66,68.45
"125",386.034,95.78
"126",386.407,112.29
"127",386.78,72.03
"128",387.154,271.05
"129",387.527,251.32
"130",387.9,258.85
"131",388.273,222.68
"132",388.646,107.76
"133",389.019,97.46
"134",389.392,145.39
"135",389.765,153.35
"136",390.138,127.7
"137",390.511,92.12
"138",390.884,2.7
"139",391.257,3.21
"140",391.63,28.64
"141",392.003,67.06
"142",392.375,56.11
"143",392.748,-102.73
"144",393.121,-74.31
"145",393.493,-36.61
"146",393.866,7.89
"147",394.239,13.15
"148",394.611,-2.12
"149",394.984,-27.4
"150",395.356,-49.54
"151",395.729,-29.45
"152",396.101,41.57
"153",396.473,89.57
"154",396.846,129.31
"155",397.218,229.4
"156",397.59,251.91
"157",397.963,282.59
"158",398.335,325.41
"159",398.707,259.58
"160",399.079,226.04
"161",399.451,533.63
"162",399.823,628.39
"163",400.195,580.75
"164",400.567,596.17
"165",400.939,606.69
"166",401.311,617.5
"167",401.683,804.53
"168",402.055,766.98
"169",402.427,776.33
"170",402.799,638.76
"171",403.17,543.27
"172",403.542,599.09
"173",403.914,865.76
"174",404.285,975.06
"175",404.657,1016.92
"176",405.029,775.09
"177",405.4,973.23
"178",405.772,1018.02
"179",406.143,1025.32
"180",406.514,2253.03
"181",406.886,2257.85
"182",407.257,2033.19
"183",407.629,2028.29
"184",408,1987.96
"185",408.371,1992.79
"186",408.742,1986.36
"187",409.114,1896.27
"188",409.485,1640.42
"189",409.856,1570.86
