"","wave","value"
"1",339.483,-4.14
"2",339.86,-4.73
"3",340.237,-5.4
"4",340.615,-6.3
"5",340.992,-6.87
"6",341.37,-7.28
"7",341.747,-8.01
"8",342.124,-8.96
"9",342.501,-9.79
"10",342.878,-8.02
"11",343.256,-8.5
"12",343.633,-9.28
"13",344.01,-9.97
"14",344.387,-10.57
"15",344.764,-11.27
"16",345.141,-11.72
"17",345.518,-12.03
"18",345.895,-12.57
"19",346.272,-13.39
"20",346.649,-14.07
"21",347.025,-14.16
"22",347.402,-14.46
"23",347.779,-14.75
"24",348.156,-14.77
"25",348.532,-14.87
"26",348.909,-14.97
"27",349.286,-14.54
"28",349.662,-13.93
"29",350.039,-13.66
"30",350.415,-13.62
"31",350.792,-13.4
"32",351.168,-13.83
"33",351.545,-13.79
"34",351.921,-14.85
"35",352.297,-15.77
"36",352.674,-16.46
"37",353.05,-17.48
"38",353.426,-18.48
"39",353.803,-19.77
"40",354.179,-20.53
"41",354.555,-21.13
"42",354.931,-21.89
"43",355.307,-22.62
"44",355.683,-23.3
"45",356.059,-23.72
"46",356.435,-24.42
"47",356.811,-24.83
"48",357.187,-25.15
"49",357.563,-24.83
"50",357.939,-24.94
"51",358.315,-25.02
"52",358.691,-26.76
"53",359.066,-27.03
"54",359.442,-27.47
"55",359.818,-27.45
"56",360.194,-27.5
"57",360.569,-27.79
"58",360.945,-27.72
"59",361.32,-27.64
"60",361.696,-27.33
"61",362.071,-28.9
"62",362.447,-28.8
"63",362.822,-28.45
"64",363.198,-28.33
"65",363.573,-28.49
"66",363.948,-28.44
"67",364.324,-28.1
"68",364.699,-28.38
"69",365.074,-28.32
"70",365.449,-28.01
"71",365.825,-27.86
"72",366.2,-28.21
"73",366.575,-28.39
"74",366.95,-26.87
"75",367.325,-26.86
"76",367.7,-26.98
"77",368.075,-27.3
"78",368.45,-27.46
"79",368.825,-27.71
"80",369.2,-27.81
"81",369.575,-27.2
"82",369.949,-27.4
"83",370.324,-27.21
"84",370.699,-27.83
"85",371.074,-27.81
"86",371.448,-27.59
"87",371.823,-27.49
"88",372.197,-27.09
"89",372.572,-27.05
"90",372.947,-26.66
"91",373.321,-26.62
"92",373.695,-26.94
"93",374.07,-27.1
"94",374.444,-26.91
"95",374.819,-26.9
"96",375.193,-26.81
"97",375.567,-26.79
"98",375.942,-26.92
"99",376.316,-26.62
"100",376.69,-27.39
"101",377.064,-27.62
"102",377.438,-28.07
"103",377.812,-27.96
"104",378.186,-27.81
"105",378.56,-27.3
"106",378.934,-27.55
"107",379.308,-27.84
"108",379.682,-27.85
"109",380.056,-27.96
"110",380.43,-25.68
"111",380.804,-25.59
"112",381.178,-25.73
"113",381.551,-26.19
"114",381.925,-26.57
"115",382.299,-26.49
"116",382.672,-26.24
"117",383.046,-26.1
"118",383.42,-26.49
"119",383.793,-26.42
"120",384.167,-26.64
"121",384.54,-26.7
"122",384.914,-26.54
"123",385.287,-26.34
"124",385.66,-26.28
"125",386.034,-27.88
"126",386.407,-28.06
"127",386.78,-28.07
"128",387.154,-27.97
"129",387.527,-27.99
"130",387.9,-27.93
"131",388.273,-27.7
"132",388.646,-28.41
"133",389.019,-28.38
"134",389.392,-28.49
"135",389.765,-28.43
"136",390.138,-28.06
"137",390.511,-27.91
"138",390.884,-27.81
"139",391.257,-28.34
"140",391.63,-28.19
"141",392.003,-28.41
"142",392.375,-28.48
"143",392.748,-27.08
"144",393.121,-26.69
"145",393.493,-26.91
"146",393.866,-26.81
"147",394.239,-27.13
"148",394.611,-27
"149",394.984,-25.94
"150",395.356,-26.22
"151",395.729,-26.3
"152",396.101,-26.3
"153",396.473,-26.27
"154",396.846,-26.28
"155",397.218,-24.52
"156",397.59,-24.42
"157",397.963,-24.09
"158",398.335,-23.58
"159",398.707,-22.58
"160",399.079,-22.55
"161",399.451,-24.81
"162",399.823,-20.79
"163",400.195,-20.35
"164",400.567,-20.09
"165",400.939,-19.91
"166",401.311,-19.9
"167",401.683,-19.9
"168",402.055,-20.11
"169",402.427,-20.24
"170",402.799,-19.84
"171",403.17,-19.39
"172",403.542,-19.33
"173",403.914,-19.53
"174",404.285,-19.78
"175",404.657,-19.45
"176",405.029,-19.66
"177",405.4,-19.65
"178",405.772,-19.57
"179",406.143,-19.34
"180",406.514,-19.06
"181",406.886,-19.18
"182",407.257,-19.25
"183",407.629,-18.95
"184",408,-19.1
"185",408.371,-19.29
"186",408.742,-19.34
"187",409.114,-19.54
"188",409.485,-19.95
"189",409.856,-20.02
"190",410.227,-20.03
"191",410.598,-20.4
"192",410.969,-20.38
"193",411.34,-20.23
"194",411.711,-21.36
"195",412.082,-21.69
"196",412.453,-21.55
"197",412.824,-21.67
"198",413.194,-21.57
"199",413.565,-21.58
"200",413.936,-22.64
"201",414.307,-22.79
"202",414.677,-23.25
"203",415.048,-22.73
"204",415.418,-22.48
"205",415.789,-22.73
"206",416.159,-24.77
"207",416.53,-25.02
"208",416.9,-25.08
"209",417.271,-25.48
"210",417.641,-26.63
"211",418.012,-26.65
"212",418.382,-26.6
"213",418.752,-31.1
"214",419.122,-31.42
"215",419.493,-31.52
"216",419.863,-31.52
"217",420.233,-31.68
"218",420.603,-31.74
"219",420.973,-30.85
"220",421.343,-30.75
"221",421.713,-30.51
"222",422.083,-30.67
"223",422.453,-30.42
"224",422.823,-30.54
"225",423.193,-30.4
"226",423.562,-30.68
"227",423.932,-30.5
"228",424.302,-30.78
"229",424.672,-30.89
"230",425.041,-30.78
"231",425.411,-29.95
"232",425.78,-29.42
"233",426.15,-29.33
"234",426.52,-29.34
"235",426.889,-29.12
"236",427.258,-29.2
"237",427.628,-29.15
"238",427.997,-29.15
"239",428.367,-29.18
"240",428.736,-29.29
"241",429.105,-29.49
"242",429.474,-29.45
"243",429.844,-29.58
"244",430.213,-29.72
"245",430.582,-29.69
"246",430.951,-29.68
"247",431.32,-29.24
"248",431.689,-29.09
"249",432.058,-29.16
"250",432.427,-29.3
"251",432.796,-29.4
"252",433.165,-29.21
"253",433.534,-28.94
"254",433.902,-29.39
"255",434.271,-29.19
"256",434.64,-29.18
"257",435.009,-28.7
"258",435.377,-28.86
"259",435.746,-28.94
"260",436.114,-28.99
"261",436.483,-28.77
"262",436.852,-28.63
"263",437.22,-28.49
"264",437.588,-28.39
"265",437.957,-28.5
"266",438.325,-28.67
"267",438.694,-28.33
"268",439.062,-28.34
"269",439.43,-28.58
"270",439.798,-29.38
"271",440.166,-29.39
"272",440.535,-29.6
"273",440.903,-29.77
"274",441.271,-30.02
"275",441.639,-29.94
"276",442.007,-29.7
"277",442.375,-29.66
"278",442.743,-29.58
"279",443.111,-29.61
"280",443.479,-29.78
"281",443.846,-29.92
"282",444.214,-30.64
"283",444.582,-30.97
"284",444.95,-28.64
"285",445.317,-28.44
"286",445.685,-28.23
"287",446.052,-28.09
"288",446.42,-28.29
"289",446.788,-27.86
"290",447.155,-27.47
"291",447.523,-27.5
"292",447.89,-27.49
"293",448.257,-27.58
"294",448.625,-27.5
"295",448.992,-27.58
"296",449.359,-27.74
"297",449.726,-27.64
"298",450.094,-28.22
"299",450.461,-27.41
"300",450.828,-27.14
"301",451.195,-26.86
"302",451.562,-26.38
"303",451.929,-26.44
"304",452.296,-26.37
"305",452.663,-26.18
"306",453.03,-26.3
"307",453.397,-26.49
"308",453.764,-26.91
"309",454.13,-26.94
"310",454.497,-26.99
"311",454.864,-26.95
"312",455.231,-27.18
"313",455.597,-27.1
"314",455.964,-27.21
"315",456.33,-27.04
"316",456.697,-26.97
"317",457.063,-26.68
"318",457.43,-27.14
"319",457.796,-27.17
"320",458.163,-27.04
"321",458.529,-27.13
"322",458.895,-27.14
"323",459.262,-27.17
"324",459.628,-26.94
"325",459.994,-27
"326",460.36,-26.96
"327",460.726,-27.38
"328",461.092,-27.37
"329",461.458,-27.5
"330",461.824,-27.27
"331",462.19,-27.19
"332",462.556,-27.22
"333",462.922,-27.11
"334",463.288,-27.15
"335",463.654,-29.55
"336",464.02,-29.7
"337",464.385,-29.52
"338",464.751,-29.45
"339",465.117,-29.3
"340",465.482,-29.7
"341",465.848,-29.64
"342",466.214,-29.52
"343",466.579,-29.41
"344",466.945,-29.19
"345",467.31,-29.21
"346",467.675,-29.09
"347",468.041,-29.04
"348",468.406,-29.13
"349",468.772,-29.17
"350",469.137,-29.99
"351",469.502,-30.03
"352",469.867,-30.17
"353",470.232,-30.59
"354",470.597,-30.05
"355",470.963,-30.12
"356",471.328,-30.25
"357",471.693,-30.47
"358",472.058,-30.32
"359",472.422,-29.82
"360",472.787,-29.58
"361",473.152,-29.47
"362",473.517,-29.44
"363",473.882,-29.25
"364",474.246,-29.54
"365",474.611,-29.66
"366",474.976,-29.8
"367",475.34,-29.98
"368",475.705,-30.15
"369",476.07,-29.96
"370",476.434,-30.01
"371",476.799,-30.01
"372",477.163,-29.84
"373",477.527,-30.02
"374",477.892,-30.34
"375",478.256,-30.59
"376",478.62,-30.11
"377",478.985,-30.08
"378",479.349,-29.95
"379",479.713,-29.9
"380",480.077,-29.72
"381",480.441,-29.86
"382",480.805,-26.18
"383",481.169,-26.2
"384",481.533,-26.5
"385",481.897,-26.53
"386",482.261,-26.56
"387",482.625,-26.55
"388",482.989,-27.14
"389",483.353,-26.1
"390",483.716,-25.73
"391",484.08,-25.91
"392",484.444,-26.6
"393",484.807,-26.62
"394",485.171,-26.54
"395",485.534,-26.56
"396",485.898,-26.14
"397",486.261,-26.22
"398",486.625,-26.42
"399",486.988,-26.44
"400",487.352,-26.34
"401",487.715,-26.34
"402",488.078,-26.42
"403",488.442,-26.68
"404",488.805,-26.82
"405",489.168,-27.36
"406",489.531,-26.92
"407",489.894,-27.01
"408",490.257,-27.1
"409",490.62,-27.01
"410",490.983,-27.11
"411",491.346,-27.15
"412",491.709,-27.17
"413",492.072,-27.11
"414",492.435,-27.11
"415",492.798,-26.43
"416",493.16,-26.32
"417",493.523,-26.35
"418",493.886,-26.37
"419",494.248,-26.39
"420",494.611,-26.48
"421",494.973,-26.38
"422",495.336,-26.41
"423",495.698,-26.64
"424",496.061,-26.64
"425",496.423,-26.76
"426",496.786,-26.69
"427",497.148,-27.02
"428",497.51,-27.1
"429",497.873,-27.18
"430",498.235,-27.48
"431",498.597,-27.7
"432",498.959,-27.64
"433",499.321,-31.36
"434",499.683,-31.52
"435",500.045,-31.72
"436",500.407,-31.85
"437",500.769,-31.52
"438",501.131,-31.62
"439",501.493,-31.65
"440",501.855,-32.75
"441",502.217,-33.09
"442",502.578,-33.09
"443",502.94,-32.96
"444",503.302,-33.13
"445",503.663,-33.22
"446",504.025,-33.27
"447",504.386,-33.55
"448",504.748,-33.58
"449",505.109,-33.45
"450",505.471,-33.53
"451",505.832,-33.55
"452",506.194,-33.57
"453",506.555,-33.76
"454",506.916,-33.69
"455",507.277,-33.44
"456",507.639,-33.46
"457",508,-33.71
"458",508.361,-33.63
"459",508.722,-32.7
"460",509.083,-32.85
"461",509.444,-33.23
"462",509.805,-33.15
"463",510.166,-33.23
"464",510.527,-33.38
"465",510.888,-33.33
"466",511.248,-34.1
"467",511.609,-33.97
"468",511.97,-33.7
"469",512.331,-33.43
"470",512.691,-33.14
"471",513.052,-33.21
"472",513.412,-33.36
"473",513.773,-33.13
"474",514.133,-33.03
"475",514.494,-32.28
"476",514.854,-31.32
"477",515.215,-31.23
"478",515.575,-31.31
"479",515.935,-31.08
"480",516.296,-30.74
"481",516.656,-30.21
"482",517.016,-29.68
"483",517.376,-29.77
"484",517.736,-29.93
"485",518.096,-28.93
"486",518.456,-28.75
"487",518.816,-28.75
"488",519.176,-28.9
"489",519.536,-28.48
"490",519.896,-28.33
"491",520.256,-28.26
"492",520.616,-27.45
"493",520.975,-27.42
"494",521.335,-27.41
"495",521.695,-27.42
"496",522.054,-27.4
"497",522.414,-27.39
"498",522.773,-27.45
"499",523.133,-27.6
"500",523.492,-27.54
"501",523.852,-27.06
"502",524.211,-26.69
"503",524.571,-26.69
"504",524.93,-26.67
"505",525.289,-26.54
"506",525.648,-25.31
"507",526.007,-25.05
"508",526.367,-25.04
"509",526.726,-25.21
"510",527.085,-25.77
"511",527.444,-25.59
"512",527.803,-25.22
"513",528.162,-25.45
"514",528.521,-25.19
"515",528.88,-24.3
"516",529.238,-24.32
"517",529.597,-24.17
"518",529.956,-24.49
"519",530.315,-24.61
"520",530.673,-24.43
"521",531.032,-24.46
"522",531.39,-24.32
"523",531.749,-24.51
"524",532.107,-24.45
"525",532.466,-24.16
"526",532.824,-24.48
"527",533.183,-25.3
"528",533.541,-25.41
"529",533.899,-25.5
"530",534.258,-25.81
"531",534.616,-25.92
"532",534.974,-26.21
"533",535.332,-26.62
"534",535.69,-26.46
"535",536.048,-26.48
"536",536.406,-27.47
"537",536.764,-27.17
"538",537.122,-27.17
"539",537.48,-27.36
"540",537.838,-28.08
"541",538.196,-28.32
"542",538.554,-28.54
"543",538.911,-29.4
"544",539.269,-29.47
"545",539.627,-29.16
"546",539.984,-29.23
"547",540.342,-29.13
"548",540.7,-29.12
"549",541.057,-29.49
"550",541.414,-29.43
"551",541.772,-29.32
"552",542.129,-29.73
"553",542.487,-30.2
"554",542.844,-29.99
"555",543.201,-26.97
"556",543.558,-26.96
"557",543.916,-28.28
"558",544.273,-28.74
"559",544.63,-28.89
"560",544.987,-28.63
"561",545.344,-28.96
"562",545.701,-28.49
"563",546.058,-28.88
"564",546.415,-28.92
"565",546.771,-29.14
"566",547.128,-29.91
"567",547.485,-29.98
"568",547.842,-29.83
"569",548.198,-29.61
"570",548.555,-29.41
"571",548.912,-29.75
"572",549.268,-29.94
"573",549.625,-30.18
"574",549.981,-29.95
"575",550.338,-30.33
"576",550.694,-30.6
"577",551.05,-30.88
"578",551.407,-30.63
"579",551.763,-30.68
"580",552.119,-30.56
"581",552.475,-30.4
"582",552.832,-30.52
"583",553.188,-30.56
"584",553.544,-30.49
"585",553.9,-30.57
"586",554.256,-30.26
"587",554.612,-29.81
"588",554.968,-30.28
"589",555.324,-29.89
"590",555.679,-29.6
"591",556.035,-29.38
"592",556.391,-28.96
"593",556.747,-28.86
"594",557.102,-28.92
"595",557.458,-28.91
"596",557.813,-29.38
"597",558.169,-29.24
"598",558.524,-29.4
"599",558.88,-29.49
"600",559.235,-29.26
"601",559.591,-29.09
"602",559.946,-29.31
"603",560.301,-29.37
"604",560.657,-29.32
"605",561.012,-29.52
"606",561.367,-32.37
"607",561.722,-32.57
"608",562.077,-32.61
"609",562.432,-32.36
"610",562.787,-31.33
"611",563.142,-31.24
"612",563.497,-31.2
"613",563.852,-31.91
"614",564.207,-32
"615",564.562,-32.01
"616",564.916,-32.13
"617",565.271,-32.23
"618",565.626,-32.08
"619",565.98,-32.23
"620",566.335,-32.39
"621",566.689,-32.75
"622",567.044,-32.89
"623",567.398,-32.62
"624",567.753,-32.45
"625",568.107,-32.49
"626",568.462,-32.26
"627",568.816,-32.2
"628",569.17,-32.21
"629",569.524,-32.55
"630",569.878,-32.64
"631",570.233,-32.63
"632",570.587,-32.64
"633",570.941,-32.53
"634",571.295,-32.42
"635",571.649,-32.52
"636",572.003,-32.44
"637",572.357,-32.51
"638",572.71,-32.96
"639",573.064,-32.75
"640",573.418,-33.04
"641",573.772,-32.94
"642",574.125,-32.81
"643",574.479,-33.19
"644",574.832,-33.35
"645",575.186,-33.14
"646",575.54,-33.23
"647",575.893,-32.89
"648",576.246,-32.98
"649",576.6,-33.15
"650",576.953,-32.26
"651",577.306,-32.22
"652",577.66,-32.04
"653",578.013,-31.59
"654",578.366,-31.42
"655",578.719,-31.26
"656",579.072,-31.31
"657",579.425,-31.4
"658",579.778,-31.29
"659",580.131,-31.22
"660",580.484,-31.38
"661",580.837,-32.24
"662",581.19,-32.39
"663",581.543,-32.45
"664",581.895,-32.42
"665",582.248,-32.43
"666",582.601,-32.46
"667",582.953,-32.38
"668",583.306,-32.26
"669",583.658,-32.57
"670",584.011,-32.72
"671",584.363,-32.89
"672",584.716,-32.77
"673",585.068,-32.68
"674",585.42,-32.95
"675",585.773,-32.97
"676",586.125,-32.79
"677",586.477,-32.7
"678",586.829,-32.6
"679",587.181,-32.65
"680",587.534,-32.82
"681",587.886,-32.81
"682",588.238,-33
"683",588.589,-32.65
"684",588.941,-32.87
"685",589.293,-33.01
"686",589.645,-32.54
"687",589.997,-32.66
"688",590.349,-32.6
"689",590.7,-32.59
"690",591.052,-32.6
"691",591.403,-32.66
"692",591.755,-32.98
"693",592.107,-32.95
"694",592.458,-32.73
"695",592.809,-32.57
"696",593.161,-32.75
"697",593.512,-32.32
"698",593.863,-32.22
"699",594.215,-31.69
"700",594.566,-31.24
"701",594.917,-32.1
"702",595.268,-32.06
"703",595.619,-31.88
"704",595.97,-32.3
"705",596.321,-32.38
"706",596.672,-32.5
"707",597.023,-32.38
"708",597.374,-32.29
"709",597.725,-32.22
"710",598.076,-32.24
"711",598.426,-32.33
"712",598.777,-32.61
"713",599.128,-32.8
"714",599.478,-32.76
"715",599.829,-32.79
"716",600.18,-32.52
"717",600.53,-32.15
"718",600.881,-32.04
"719",601.231,-32.15
"720",601.581,-32.25
"721",601.932,-32.21
"722",602.282,-32.04
"723",602.632,-32.13
"724",602.982,-31.94
"725",603.332,-31.92
"726",603.683,-31.93
"727",604.033,-31.96
"728",604.383,-32.16
"729",604.733,-32.3
"730",605.083,-32.06
"731",605.432,-31.79
"732",605.782,-31.78
"733",606.132,-31.8
"734",606.482,-32.04
"735",606.832,-32.1
"736",607.181,-32.15
"737",607.531,-32.69
"738",607.88,-32.64
"739",608.23,-32.67
"740",608.579,-32.72
"741",608.929,-32.81
"742",609.278,-32.83
"743",609.628,-32.87
"744",609.977,-33.22
"745",610.326,-33.41
"746",610.675,-33.7
"747",611.025,-33.75
"748",611.374,-34.19
"749",611.723,-34.49
"750",612.072,-34.78
"751",612.421,-34.83
"752",612.77,-34.82
"753",613.119,-34.69
"754",613.468,-35.22
"755",613.817,-35.04
"756",614.165,-34.2
"757",614.514,-33.74
"758",614.863,-33.82
"759",615.212,-33.63
"760",615.56,-33.52
"761",615.909,-33.36
"762",616.257,-33.25
"763",616.606,-32.99
"764",616.954,-32.58
"765",617.303,-32.75
"766",617.651,-32.62
"767",617.999,-32.74
"768",618.348,-33
"769",618.696,-32.97
"770",619.044,-33.04
"771",619.392,-32.75
"772",619.74,-32.63
"773",620.088,-32.35
"774",620.436,-32.26
"775",620.784,-32.4
"776",621.132,-32.12
"777",621.48,-32.18
"778",621.828,-32.03
"779",622.176,-31.97
"780",622.524,-31.9
"781",622.871,-31.76
"782",623.219,-31.96
"783",623.567,-31.82
"784",623.914,-31.55
"785",624.262,-31.8
"786",624.609,-31.73
"787",624.957,-31.74
"788",625.304,-31.62
"789",625.651,-31.54
"790",625.999,-31.49
"791",626.346,-31.6
"792",626.693,-31.59
"793",627.04,-31.62
"794",627.388,-31.7
"795",627.735,-31.43
"796",628.082,-31.35
"797",628.429,-31.06
"798",628.776,-30.97
"799",629.123,-30.93
"800",629.469,-30.52
"801",629.816,-30.68
"802",630.163,-30.9
"803",630.51,-30.69
"804",630.857,-30.79
"805",631.203,-30.5
"806",631.55,-30.54
"807",631.896,-31.49
"808",632.243,-31.99
"809",632.589,-32.06
"810",632.936,-32.37
"811",633.282,-32.52
"812",633.629,-32.74
"813",633.975,-32.7
"814",634.321,-32.79
"815",634.667,-33.16
"816",635.013,-33.13
"817",635.36,-32.64
"818",635.706,-32.75
"819",636.052,-32.91
"820",636.398,-33.15
"821",636.744,-33.02
"822",637.09,-33.1
"823",637.435,-33.19
"824",637.781,-33.47
"825",638.127,-33.37
"826",638.473,-32.64
"827",638.818,-32.99
"828",639.164,-32.93
"829",639.51,-33.17
"830",639.855,-33.02
"831",640.201,-33.32
"832",640.546,-33.08
"833",640.891,-33
"834",641.237,-32.85
"835",641.582,-32.98
"836",641.927,-32.97
"837",642.273,-32.7
"838",642.618,-32.65
"839",642.963,-32.85
"840",643.308,-32.83
"841",643.653,-32.89
"842",643.998,-32.47
"843",644.343,-32.41
"844",644.688,-32.25
"845",645.033,-32.01
"846",645.378,-32.2
"847",645.722,-32.09
"848",646.067,-32.18
"849",646.412,-32.36
"850",646.757,-32.36
"851",647.101,-32.58
"852",647.446,-32.62
"853",647.79,-32.53
"854",648.135,-32.61
"855",648.479,-32.67
"856",648.823,-32.95
"857",649.168,-33.16
"858",649.512,-33.13
"859",649.856,-32.89
"860",650.201,-32.84
"861",650.545,-32.8
"862",650.889,-32.38
"863",651.233,-32.1
"864",651.577,-31.4
"865",651.921,-31.56
"866",652.265,-31.4
"867",652.609,-31.05
"868",652.952,-31.49
"869",653.296,-31.24
"870",653.64,-31.11
"871",653.984,-31
"872",654.327,-31.16
"873",654.671,-31.21
"874",655.015,-31.24
"875",655.358,-31.23
"876",655.702,-31.32
"877",656.045,-31.84
"878",656.388,-31.86
"879",656.732,-31.97
"880",657.075,-31.97
"881",657.418,-32.11
"882",657.761,-32.07
"883",658.105,-32.45
"884",658.448,-32.43
"885",658.791,-32.51
"886",659.134,-31.99
"887",659.477,-32.05
"888",659.82,-32.08
"889",660.163,-32.06
"890",660.505,-31.61
"891",660.848,-31.99
"892",661.191,-32.07
"893",661.534,-32.43
"894",661.876,-32.57
"895",662.219,-32.5
"896",662.562,-32.63
"897",662.904,-32.59
"898",663.247,-32.74
"899",663.589,-31.91
"900",663.931,-31.95
"901",664.274,-31.88
"902",664.616,-32.01
"903",664.958,-31.83
"904",665.3,-31.76
"905",665.643,-31.75
"906",665.985,-31.87
"907",666.327,-31.78
"908",666.669,-31.76
"909",667.011,-31.69
"910",667.353,-31.76
"911",667.695,-31.3
"912",668.036,-30.94
"913",668.378,-31.34
"914",668.72,-31.5
"915",669.062,-31.98
"916",669.403,-31.91
"917",669.745,-31.92
"918",670.086,-32.03
"919",670.428,-32.03
"920",670.769,-32.27
"921",671.111,-32.19
"922",671.452,-32.31
"923",671.794,-32.12
"924",672.135,-32.26
"925",672.476,-32.23
"926",672.817,-32.26
"927",673.158,-32.38
"928",673.499,-32.48
"929",673.841,-32.45
"930",674.182,-32.26
"931",674.523,-32.16
"932",674.863,-32.23
"933",675.204,-32.08
"934",675.545,-32.38
"935",675.886,-32.19
"936",676.227,-32.12
"937",676.567,-32.66
"938",676.908,-31.57
"939",677.249,-31.59
"940",677.589,-31.27
"941",677.93,-31.6
"942",678.27,-31.22
"943",678.61,-31.33
"944",678.951,-30.56
"945",679.291,-30.25
"946",679.631,-30.17
"947",679.972,-28.84
"948",680.312,-28.71
"949",680.652,-28.73
"950",680.992,-29.68
"951",681.332,-29.49
"952",681.672,-29.35
"953",682.012,-29.29
"954",682.352,-29.35
"955",682.692,-29.46
"956",683.032,-29.58
"957",683.371,-29.45
"958",683.711,-29.33
"959",684.051,-28.93
"960",684.39,-28.79
"961",684.73,-28.97
"962",685.069,-29.56
"963",685.409,-29.94
"964",685.748,-30.1
"965",686.088,-30.04
"966",686.427,-30.35
"967",686.766,-30.37
"968",687.106,-30.43
"969",687.445,-30.44
"970",687.784,-30.78
"971",688.123,-30.78
"972",688.462,-30.67
"973",688.801,-30.69
"974",689.14,-30.26
"975",689.479,-29.94
"976",689.818,-29.85
"977",690.157,-29.76
"978",690.495,-29.72
"979",690.834,-29.85
"980",691.173,-29.73
"981",691.512,-29.8
"982",691.85,-29.99
"983",692.189,-29.98
"984",692.527,-30.1
"985",692.866,-29.87
"986",693.204,-29.63
"987",693.542,-29.72
"988",693.881,-29.85
"989",694.219,-30.83
"990",694.557,-30.9
"991",694.895,-31.26
"992",695.233,-31.31
"993",695.572,-31.68
"994",695.91,-31.75
"995",696.248,-32.66
"996",696.586,-33.01
"997",696.923,-33.41
"998",697.261,-34.79
"999",697.599,-34.79
"1000",697.937,-34.78
"1001",698.274,-34.82
"1002",698.612,-34.7
"1003",698.95,-34.91
"1004",699.287,-34.75
"1005",699.625,-34.87
"1006",699.962,-35.04
"1007",700.3,-34.84
"1008",700.637,-34.12
"1009",700.974,-34.31
"1010",701.312,-34.61
"1011",701.649,-34.6
"1012",701.986,-34.14
"1013",702.323,-34
"1014",702.66,-33.73
"1015",702.997,-33.7
"1016",703.334,-33.76
"1017",703.671,-33.66
"1018",704.008,-33.78
"1019",704.345,-33.9
"1020",704.682,-33.89
"1021",705.019,-33.53
