"","wave","value"
"1",339.483,-7.49
"2",339.86,-8.23
"3",340.237,-8.76
"4",340.615,-9.2
"5",340.992,-9.15
"6",341.37,-9.71
"7",341.747,-10.3
"8",342.124,-10.88
"9",342.501,-11.32
"10",342.878,-11.9
"11",343.256,-12.42
"12",343.633,-12.66
"13",344.01,-13.01
"14",344.387,-13.49
"15",344.764,-13.93
"16",345.141,-14.2
"17",345.518,-14.5
"18",345.895,-14.8
"19",346.272,-15.11
"20",346.649,-15.35
"21",347.025,-15.52
"22",347.402,-15.96
"23",347.779,-16.17
"24",348.156,-16.38
"25",348.532,-16.65
"26",348.909,-16.84
"27",349.286,-17.01
"28",349.662,-17.02
"29",350.039,-17.28
"30",350.415,-17.44
"31",350.792,-17.52
"32",351.168,-17.3
"33",351.545,-17.13
"34",351.921,-17.06
"35",352.297,-17.13
"36",352.674,-17.33
"37",353.05,-17.76
"38",353.426,-18.28
"39",353.803,-18.82
"40",354.179,-19.68
"41",354.555,-20.3
"42",354.931,-20.93
"43",355.307,-21.76
"44",355.683,-22.32
"45",356.059,-22.96
"46",356.435,-23.38
"47",356.811,-23.97
"48",357.187,-24.42
"49",357.563,-25.05
"50",357.939,-25.61
"51",358.315,-26.02
"52",358.691,-26.23
"53",359.066,-26.63
"54",359.442,-27.08
"55",359.818,-27.1
"56",360.194,-27.33
"57",360.569,-27.68
"58",360.945,-27.77
"59",361.32,-27.94
"60",361.696,-28.01
"61",362.071,-28
"62",362.447,-28.13
"63",362.822,-28.05
"64",363.198,-28.1
"65",363.573,-28.17
"66",363.948,-28.57
"67",364.324,-28.54
"68",364.699,-28.51
"69",365.074,-28.11
"70",365.449,-28.05
"71",365.825,-28.07
"72",366.2,-28.07
"73",366.575,-28.38
"74",366.95,-28.49
"75",367.325,-28.47
"76",367.7,-28.26
"77",368.075,-28.33
"78",368.45,-28.31
"79",368.825,-28.31
"80",369.2,-28.33
"81",369.575,-28.33
"82",369.949,-28.22
"83",370.324,-27.86
"84",370.699,-27.8
"85",371.074,-27.85
"86",371.448,-27.83
"87",371.823,-27.81
"88",372.197,-27.82
"89",372.572,-28.15
"90",372.947,-28.21
"91",373.321,-28.18
"92",373.695,-28.33
"93",374.07,-28.46
"94",374.444,-28.5
"95",374.819,-28.28
"96",375.193,-28.29
"97",375.567,-28.25
"98",375.942,-28.05
"99",376.316,-27.96
"100",376.69,-27.8
"101",377.064,-27.87
"102",377.438,-27.92
"103",377.812,-28.05
"104",378.186,-28
"105",378.56,-27.29
"106",378.934,-27.22
"107",379.308,-27.25
"108",379.682,-27.24
"109",380.056,-27.31
"110",380.43,-27.22
"111",380.804,-27.17
"112",381.178,-27.23
"113",381.551,-27.32
"114",381.925,-27.21
"115",382.299,-27.24
"116",382.672,-27.45
"117",383.046,-27.49
"118",383.42,-27.54
"119",383.793,-27.65
"120",384.167,-27.73
"121",384.54,-27.68
"122",384.914,-27.73
"123",385.287,-27.92
"124",385.66,-28.11
"125",386.034,-28.17
"126",386.407,-28.19
"127",386.78,-28.28
"128",387.154,-28.27
"129",387.527,-28.29
"130",387.9,-28.67
"131",388.273,-28.6
"132",388.646,-28.43
"133",389.019,-28.33
"134",389.392,-28.12
"135",389.765,-28.03
"136",390.138,-28.09
"137",390.511,-28.4
"138",390.884,-28.13
"139",391.257,-28.13
"140",391.63,-28.17
"141",392.003,-28.09
"142",392.375,-28.06
"143",392.748,-28.22
"144",393.121,-28.16
"145",393.493,-28.26
"146",393.866,-28.15
"147",394.239,-28.16
"148",394.611,-28.22
"149",394.984,-28.28
"150",395.356,-27.65
"151",395.729,-27.51
"152",396.101,-27.48
"153",396.473,-27.37
"154",396.846,-27.05
"155",397.218,-26.91
"156",397.59,-26.94
"157",397.963,-26.64
"158",398.335,-26.73
"159",398.707,-26.87
"160",399.079,-26.9
"161",399.451,-26.94
"162",399.823,-26.76
"163",400.195,-26.8
"164",400.567,-26.75
"165",400.939,-26.67
"166",401.311,-27.59
"167",401.683,-27.7
"168",402.055,-27.75
"169",402.427,-27.8
"170",402.799,-27.77
"171",403.17,-27.66
"172",403.542,-27.73
"173",403.914,-27.63
"174",404.285,-27.62
"175",404.657,-27.54
"176",405.029,-27.61
"177",405.4,-27.54
"178",405.772,-27.51
"179",406.143,-27.65
"180",406.514,-27.61
"181",406.886,-27.61
"182",407.257,-27.56
"183",407.629,-27.63
"184",408,-27.51
"185",408.371,-27.36
"186",408.742,-27.35
"187",409.114,-27.29
"188",409.485,-27
"189",409.856,-26.96
"190",410.227,-26.89
"191",410.598,-26.84
"192",410.969,-26.94
"193",411.34,-27.1
"194",411.711,-27.04
"195",412.082,-27.07
"196",412.453,-27.2
"197",412.824,-27.1
"198",413.194,-26.92
"199",413.565,-27.04
"200",413.936,-27.21
"201",414.307,-27.2
"202",414.677,-27.19
"203",415.048,-27.45
"204",415.418,-27.44
"205",415.789,-27.78
"206",416.159,-27.74
"207",416.53,-27.84
"208",416.9,-27.82
"209",417.271,-27.81
"210",417.641,-27.78
"211",418.012,-28.25
"212",418.382,-28.28
"213",418.752,-28.39
"214",419.122,-28.34
"215",419.493,-28.55
"216",419.863,-28.51
"217",420.233,-28.43
"218",420.603,-28.66
"219",420.973,-28.74
"220",421.343,-28.75
"221",421.713,-28.63
"222",422.083,-28.76
"223",422.453,-28.82
"224",422.823,-28.76
"225",423.193,-28.64
"226",423.562,-28.49
"227",423.932,-28.48
"228",424.302,-28.46
"229",424.672,-28.42
"230",425.041,-28.25
"231",425.411,-28.25
"232",425.78,-28.36
"233",426.15,-28.31
"234",426.52,-28.41
"235",426.889,-28.47
"236",427.258,-28.61
"237",427.628,-28.45
"238",427.997,-28.53
"239",428.367,-28.47
"240",428.736,-28.56
"241",429.105,-28.62
"242",429.474,-28.41
"243",429.844,-28.4
"244",430.213,-28.46
"245",430.582,-28.41
"246",430.951,-28.41
"247",431.32,-28.39
"248",431.689,-28.49
"249",432.058,-28.68
"250",432.427,-28.7
"251",432.796,-28.68
"252",433.165,-28.67
"253",433.534,-28.8
"254",433.902,-28.76
"255",434.271,-28.83
"256",434.64,-28.78
"257",435.009,-28.64
"258",435.377,-28.55
"259",435.746,-28.51
"260",436.114,-28.59
"261",436.483,-28.43
"262",436.852,-28.19
"263",437.22,-28.29
"264",437.588,-28.16
"265",437.957,-28.29
"266",438.325,-28.17
