"","wave","value"
"1",339.483,-485.99
"2",339.86,-350.88
"3",340.237,-336.31
"4",340.615,-221.9
"5",340.992,-189.94
"6",341.37,-119.63
"7",341.747,-101.73
"8",342.124,-110.43
"9",342.501,-65.37
"10",342.878,-9.17
"11",343.256,60.44
"12",343.633,138.66
"13",344.01,226.43
"14",344.387,212.94
"15",344.764,214.4
"16",345.141,214.98
"17",345.518,155.9
"18",345.895,166.23
"19",346.272,429.63
"20",346.649,407.03
"21",347.025,350.44
"22",347.402,315.37
"23",347.779,334.9
"24",348.156,378.15
"25",348.532,395.83
"26",348.909,377.42
"27",349.286,341.82
"28",349.662,524.86
"29",350.039,552.42
"30",350.415,545.95
"31",350.792,503.18
"32",351.168,515.02
"33",351.545,516.87
"34",351.921,209.19
"35",352.297,195.16
"36",352.674,185.27
"37",353.05,186.44
"38",353.426,157.02
"39",353.803,182.74
"40",354.179,181.03
"41",354.555,216.25
"42",354.931,299.34
"43",355.307,139.63
"44",355.683,150.3
"45",356.059,150.98
"46",356.435,205.87
"47",356.811,177.23
"48",357.187,174.07
"49",357.563,184.69
"50",357.939,229.55
"51",358.315,373.08
"52",358.691,392.42
"53",359.066,435.87
"54",359.442,389.74
"55",359.818,408.93
"56",360.194,380.88
"57",360.569,294.37
"58",360.945,266.66
"59",361.32,274.99
"60",361.696,288.82
"61",362.071,207.77
"62",362.447,222.63
"63",362.822,236.51
"64",363.198,213.86
"65",363.573,190.09
"66",363.948,55.66
"67",364.324,246.84
"68",364.699,244.74
"69",365.074,281.71
"70",365.449,271.82
"71",365.825,259.11
"72",366.2,251.42
"73",366.575,225.06
"74",366.95,197.79
"75",367.325,182.35
"76",367.7,222.05
"77",368.075,208.46
"78",368.45,255.9
"79",368.825,271.97
"80",369.2,312.06
"81",369.575,389.5
"82",369.949,214.06
"83",370.324,184.49
"84",370.699,127.51
"85",371.074,160.58
"86",371.448,157.27
"87",371.823,173.29
"88",372.197,188
"89",372.572,153.32
"90",372.947,136.32
"91",373.321,96.14
"92",373.695,410.25
"93",374.07,376.35
"94",374.444,356.67
"95",374.819,302.9
"96",375.193,207.77
"97",375.567,175.63
"98",375.942,156.34
"99",376.316,283.22
"100",376.69,223.31
"101",377.064,291.55
"102",377.438,293.5
"103",377.812,263.45
"104",378.186,334.02
"105",378.56,386.24
"106",378.934,529.77
"107",379.308,248.35
"108",379.682,240.02
"109",380.056,245.42
"110",380.43,237.97
"111",380.804,252.19
"112",381.178,293.64
"113",381.551,290.09
"114",381.925,199.88
"115",382.299,188.78
"116",382.672,137.3
"117",383.046,214.89
"118",383.42,253.66
"119",383.793,169.69
"120",384.167,138.37
"121",384.54,46.7
"122",384.914,41.1
"123",385.287,75.15
"124",385.66,47.38
"125",386.034,65.45
"126",386.407,74.32
"127",386.78,42.46
"128",387.154,190.78
"129",387.527,180.79
"130",387.9,182.35
"131",388.273,147.48
"132",388.646,62.09
"133",389.019,58.1
"134",389.392,95.55
"135",389.765,101.11
"136",390.138,80.6
"137",390.511,60.78
"138",390.884,-9.56
"139",391.257,-4.73
"140",391.63,15.77
"141",392.003,46.21
"142",392.375,42.66
"143",392.748,-74.48
"144",393.121,-58.46
"145",393.493,-26.99
"146",393.866,7.83
"147",394.239,14.85
"148",394.611,-1.47
"149",394.984,-19.64
"150",395.356,-34.98
"151",395.729,-23.49
"152",396.101,23.61
"153",396.473,65.16
"154",396.846,94.43
"155",397.218,161.5
"156",397.59,172.8
"157",397.963,190.63
"158",398.335,224.48
"159",398.707,177.23
"160",399.079,152.05
"161",399.451,377.81
"162",399.823,444.68
"163",400.195,417.36
"164",400.567,428.76
"165",400.939,436.94
"166",401.311,448.48
"167",401.683,577.56
"168",402.055,551.3
"169",402.427,552.72
"170",402.799,456.23
"171",403.17,389.26
"172",403.542,426.22
"173",403.914,608.39
"174",404.285,686.76
"175",404.657,716.81
"176",405.029,536.84
"177",405.4,684.37
"178",405.772,714.67
"179",406.143,718.51
"180",406.514,1612.04
"181",406.886,1627.58
"182",407.257,1474.74
"183",407.629,1464.65
"184",408,1439.13
"185",408.371,1444.2
"186",408.742,1443.08
"187",409.114,1383.07
"188",409.485,1202.32
"189",409.856,1148.69
"190",410.227,1131.45
"191",410.598,1054.1
"192",410.969,819.53
"193",411.34,859.13
"194",411.711,827.47
"195",412.082,-31.81
"196",412.453,-60.11
"197",412.824,-36
"198",413.194,-2.49
"199",413.565,-14.13
"200",413.936,-18.91
"201",414.307,28.87
"202",414.677,27.12
"203",415.048,-13.16
"204",415.418,-25.29
"205",415.789,-7.41
"206",416.159,7.54
"207",416.53,39.44
"208",416.9,1.79
"209",417.271,12.31
"210",417.641,-4.54
"211",418.012,9.54
"212",418.382,-25.63
"213",418.752,-64.79
"214",419.122,-45.36
"215",419.493,-50.71
