"","wave","value"
"1",339.483,-322.47
"2",339.86,-285.73
"3",340.237,-217.1
"4",340.615,-160.99
"5",340.992,-152.55
"6",341.37,-99.19
"7",341.747,-54.63
"8",342.124,8.62
"9",342.501,55.32
"10",342.878,81.18
"11",343.256,107.96
"12",343.633,99.59
"13",344.01,108.83
"14",344.387,91.74
"15",344.764,76.6
"16",345.141,81.17
"17",345.518,34.86
"18",345.895,50.03
"19",346.272,15.58
"20",346.649,1.73
"21",347.025,148.94
"22",347.402,149.5
"23",347.779,146.35
"24",348.156,125.22
"25",348.532,117.3
"26",348.909,119.51
"27",349.286,123.35
"28",349.662,121.64
"29",350.039,84.01
"30",350.415,208.24
"31",350.792,222.54
"32",351.168,74.54
"33",351.545,81.16
"34",351.921,85.51
"35",352.297,99.66
"36",352.674,108.62
"37",353.05,79.73
"38",353.426,65.95
"39",353.803,58.8
"40",354.179,56.66
"41",354.555,-35.67
"42",354.931,-43.01
"43",355.307,-20.12
"44",355.683,10.36
"45",356.059,37.48
"46",356.435,43.38
"47",356.811,23.96
"48",357.187,72.35
"49",357.563,66.96
"50",357.939,78.11
"51",358.315,108.17
"52",358.691,91.61
"53",359.066,153.38
"54",359.442,134.16
"55",359.818,112.84
"56",360.194,89.79
"57",360.569,100.54
"58",360.945,109.75
"59",361.32,58.63
"60",361.696,84.27
"61",362.071,109.34
"62",362.447,93.31
"63",362.822,69.7
"64",363.198,-5.68
"65",363.573,2.78
"66",363.948,-4.2
"67",364.324,-12.33
"68",364.699,-33.79
"69",365.074,65.14
"70",365.449,88.24
"71",365.825,102.64
"72",366.2,92.21
"73",366.575,82.22
"74",366.95,74.65
"75",367.325,78.56
"76",367.7,81.6
"77",368.075,69.36
"78",368.45,82.28
"79",368.825,73.7
"80",369.2,6.02
"81",369.575,10.75
"82",369.949,6.53
"83",370.324,29.82
"84",370.699,44.5
"85",371.074,57.68
"86",371.448,54.58
"87",371.823,75.18
"88",372.197,76.88
"89",372.572,62.82
"90",372.947,82.48
"91",373.321,40.06
"92",373.695,11.39
"93",374.07,-21.87
"94",374.444,97.1
"95",374.819,105.15
"96",375.193,114.44
"97",375.567,113.02
"98",375.942,70.97
"99",376.316,65.26
"100",376.69,51.53
"101",377.064,107.63
"102",377.438,116.54
"103",377.812,163.67
"104",378.186,169.83
"105",378.56,10.65
"106",378.934,25.15
"107",379.308,32.15
"108",379.682,107.48
"109",380.056,124.83
"110",380.43,143.79
"111",380.804,167.7
"112",381.178,89.28
"113",381.551,83.11
"114",381.925,63.8
"115",382.299,51.68
"116",382.672,68.92
"117",383.046,33.25
"118",383.42,25.63
"119",383.793,-6.6
"120",384.167,3.04
"121",384.54,-19.08
"122",384.914,-29.25
"123",385.287,2.38
"124",385.66,13.99
"125",386.034,29.03
"126",386.407,37.51
"127",386.78,20.95
"128",387.154,28.66
"129",387.527,21.57
"130",387.9,351.32
"131",388.273,362.52
"132",388.646,373.08
"133",389.019,358.76
"134",389.392,334.52
"135",389.765,338.68
"136",390.138,316.95
"137",390.511,322.98
"138",390.884,331.41
"139",391.257,321.38
"140",391.63,316.47
"141",392.003,-57.08
"142",392.375,-75.98
"143",392.748,-55.94
"144",393.121,-45.64
"145",393.493,-39.15
"146",393.866,-29.42
"147",394.239,-23.54
"148",394.611,-19.5
"149",394.984,-33.87
"150",395.356,-22.31
"151",395.729,-16.04
"152",396.101,-18.79
"153",396.473,-11.42
"154",396.846,-8.41
"155",397.218,11.75
"156",397.59,25.69
"157",397.963,40.87
"158",398.335,54.26
"159",398.707,55.63
"160",399.079,82.92
"161",399.451,74.48
"162",399.823,74.44
"163",400.195,180.73
"164",400.567,187.2
"165",400.939,153.87
"166",401.311,143.88
"167",401.683,127.01
"168",402.055,111.21
"169",402.427,175.44
"170",402.799,161.42
"171",403.17,152.82
"172",403.542,152.85
"173",403.914,143.18
"174",404.285,70.77
"175",404.657,169.27
"176",405.029,220.56
"177",405.4,234.11
"178",405.772,264.98
"179",406.143,356.02
"180",406.514,271.07
"181",406.886,292.81
"182",407.257,747.44
"183",407.629,784.1
"184",408,802.61
"185",408.371,774.83
"186",408.742,662.1
"187",409.114,620.98
"188",409.485,591.02
"189",409.856,555.06
"190",410.227,464.55
"191",410.598,469.11
"192",410.969,461.92
"193",411.34,-17.93
"194",411.711,-63.8
"195",412.082,-44.84
"196",412.453,-53.63
"197",412.824,-45.3
"198",413.194,-28.02
"199",413.565,4.69
"200",413.936,27.04
"201",414.307,-1.15
"202",414.677,-15.51
"203",415.048,-5.45
"204",415.418,-0.64
"205",415.789,11.45
"206",416.159,-11.85
"207",416.53,17.81
"208",416.9,-2.16
"209",417.271,-10.92
"210",417.641,-22.74
"211",418.012,-42.72
"212",418.382,-25.45
"213",418.752,-0.97
"214",419.122,-12.73
"215",419.493,-10.29
"216",419.863,-6.58
"217",420.233,-14.65
"218",420.603,-32.7
"219",420.973,-11.82
"220",421.343,-22.86
"221",421.713,-25.68
"222",422.083,-34.03
"223",422.453,-4.6
"224",422.823,-9.7
"225",423.193,-16.79
"226",423.562,-21.9
"227",423.932,-10.14
"228",424.302,-3.57
"229",424.672,-7
"230",425.041,-29
"231",425.411,-27.25
"232",425.78,-20.7
"233",426.15,-15.5
"234",426.52,-51.4
"235",426.889,-73.56
"236",427.258,-64.7
"237",427.628,-53.26
"238",427.997,-55.82
"239",428.367,-3.23
"240",428.736,4.9
"241",429.105,71.83
"242",429.474,85.04
"243",429.844,95.71
"244",430.213,98.28
"245",430.582,93.5
"246",430.951,106.3
"247",431.32,113.11
"248",431.689,104.07
"249",432.058,102.87
"250",432.427,85.59
"251",432.796,177.27
"252",433.165,137.77
"253",433.534,129.41
"254",433.902,138.08
"255",434.271,163.89
"256",434.64,170.53
"257",435.009,176.11
"258",435.377,179.41
"259",435.746,191.27
"260",436.114,191.9
"261",436.483,147.87
"262",436.852,54.12
"263",437.22,38.16
"264",437.588,50.93
"265",437.957,26.86
"266",438.325,4.66
"267",438.694,48.12
"268",439.062,51.29
"269",439.43,30.89
"270",439.798,36.92
"271",440.166,14.3
"272",440.535,25.97
"273",440.903,20.89
"274",441.271,8.69
"275",441.639,24.56
"276",442.007,14.17
"277",442.375,39.98
"278",442.743,-6.92
"279",443.111,-23.78
"280",443.479,-23.71
"281",443.846,-22.41
"282",444.214,7.31
"283",444.582,18.36
"284",444.95,27.15
"285",445.317,40.62
"286",445.685,10.49
"287",446.052,64.92
"288",446.42,41.46
"289",446.788,29.22
"290",447.155,35.97
"291",447.523,49
"292",447.89,77.2
"293",448.257,65.03
"294",448.625,55.98
"295",448.992,47.68
"296",449.359,66.1
"297",449.726,78.64
"298",450.094,34.38
"299",450.461,57.82
"300",450.828,75.29
"301",451.195,92.51
"302",451.562,107.11
"303",451.929,87.43
"304",452.296,304.82
"305",452.663,339.74
"306",453.03,368.68
"307",453.397,346.69
"308",453.764,328.58
"309",454.13,379.2
"310",454.497,395.77
"311",454.864,403
"312",455.231,388.15
"313",455.597,363.26
"314",455.964,353.02
"315",456.33,135.9
"316",456.697,91.75
"317",457.063,57.28
"318",457.43,48.54
"319",457.796,151.83
"320",458.163,119.03
"321",458.529,111.8
"322",458.895,131.33
"323",459.262,129.94
"324",459.628,127.76
"325",459.994,140.71
"326",460.36,159.98
"327",460.726,157.77
"328",461.092,173.74
"329",461.458,169.32
"330",461.824,68.09
"331",462.19,54.09
"332",462.556,19
"333",462.922,10.1
"334",463.288,23.5
"335",463.654,54.38
"336",464.02,37.21
"337",464.385,24.78
"338",464.751,37.32
"339",465.117,37.15
"340",465.482,45.1
"341",465.848,44.76
"342",466.214,34.81
"343",466.579,80.4
"344",466.945,70.29
"345",467.31,65.36
"346",467.675,34.5
"347",468.041,28.23
"348",468.406,29.08
"349",468.772,28.03
"350",469.137,22.64
"351",469.502,39.7
"352",469.867,78.6
"353",470.232,113
"354",470.597,74.08
"355",470.963,69.58
"356",471.328,77.64
"357",471.693,150.05
"358",472.058,186.15
"359",472.422,197.66
"360",472.787,225.55
"361",473.152,266.63
"362",473.517,272.26
"363",473.882,255.49
"364",474.246,241.12
"365",474.611,240.58
"366",474.976,244.62
"367",475.34,227.52
"368",475.705,164.07
"369",476.07,124
"370",476.434,114.19
"371",476.799,116.2
"372",477.163,109.74
"373",477.527,99.97
"374",477.892,145.39
"375",478.256,140.29
"376",478.62,146.11
"377",478.985,148.11
"378",479.349,147.08
"379",479.713,194.42
"380",480.077,229.29
"381",480.441,246.38
"382",480.805,221.51
"383",481.169,204.93
"384",481.533,218.88
"385",481.897,179.25
"386",482.261,184.1
"387",482.625,189.25
"388",482.989,183.09
"389",483.353,211.38
"390",483.716,177.79
"391",484.08,163.74
"392",484.444,162.32
"393",484.807,162.56
"394",485.171,177.28
"395",485.534,168.86
"396",485.898,221.7
"397",486.261,226.71
"398",486.625,232.03
"399",486.988,258.45
"400",487.352,269.41
"401",487.715,277.31
"402",488.078,519.81
"403",488.442,517.71
"404",488.805,536.13
"405",489.168,525.36
"406",489.531,533.31
"407",489.894,513.09
"408",490.257,505.19
"409",490.62,635.7
"410",490.983,660.44
"411",491.346,644.3
"412",491.709,634.47
"413",492.072,405.5
"414",492.435,404.78
"415",492.798,403.75
"416",493.16,451.29
"417",493.523,466.72
"418",493.886,424.32
"419",494.248,428.76
"420",494.611,292.39
"421",494.973,265.05
"422",495.336,265.05
"423",495.698,260.45
"424",496.061,245.88
"425",496.423,245.46
"426",496.786,280.15
"427",497.148,225.91
"428",497.51,205.19
"429",497.873,231.21
"430",498.235,259.41
"431",498.597,278.61
"432",498.959,273.94
"433",499.321,265.03
"434",499.683,282.26
"435",500.045,362.41
"436",500.407,365.67
"437",500.769,333.53
"438",501.131,340.32
"439",501.493,351.59
"440",501.855,349.65
"441",502.217,334.35
"442",502.578,330.87
"443",502.94,315.78
"444",503.302,312.1
"445",503.663,305.42
"446",504.025,244.34
"447",504.386,248.08
"448",504.748,234.72
"449",505.109,226.85
"450",505.471,217.92
"451",505.832,198.86
"452",506.194,193.02
"453",506.555,184.28
"454",506.916,187.76
"455",507.277,190.06
"456",507.639,183.36
"457",508,207.9
"458",508.361,206.38
"459",508.722,211.15
"460",509.083,228.03
"461",509.444,238.22
"462",509.805,248.21
"463",510.166,244.22
"464",510.527,253.71
"465",510.888,262.6
"466",511.248,280.31
"467",511.609,301.11
"468",511.97,272.55
"469",512.331,272.63
"470",512.691,281.09
"471",513.052,283.66
"472",513.412,288.88
"473",513.773,287.73
"474",514.133,301.44
"475",514.494,314.71
"476",514.854,330.67
